,surprisals,prefix,continuation
0,5.214416,The teacher realized that the student in the first year was studying for the test<extra_id_0> ,with
1,4.5038357,The teacher realized that the student in the first year was studying for the test with<extra_id_0> ,great
2,2.8580585,The teacher realized that the student in the first year was studying for the test with great<extra_id_0> ,enthusiasm
3,1.9970424,The policeman discovered that the convict with the shaved head smuggled a gun<extra_id_0> ,into
4,0.5117432,The policeman discovered that the convict with the shaved head smuggled a gun into<extra_id_0> ,the
5,3.0646434,The policeman discovered that the convict with the shaved head smuggled a gun into the<extra_id_0> ,prison
6,4.417008,The shop owner realized that the waiter in the white jacket placed a candle<extra_id_0> ,near
7,0.5700747,The shop owner realized that the waiter in the white jacket placed a candle near<extra_id_0> ,the
8,2.2392206,The shop owner realized that the waiter in the white jacket placed a candle near the<extra_id_0> ,table
9,5.8335824,The committee asked that the banker from the big company sold a mortgage<extra_id_0> ,with
10,1.9982892,The committee asked that the banker from the big company sold a mortgage with<extra_id_0> ,faulty
11,3.3379755,The committee asked that the banker from the big company sold a mortgage with faulty<extra_id_0> ,credit
12,4.729023,The first mate said that the sailor in the rain jacket hauled a line<extra_id_0> ,with
13,6.0911465,The first mate said that the sailor in the rain jacket hauled a line with<extra_id_0> ,all
14,1.9970821,The first mate said that the sailor in the rain jacket hauled a line with all<extra_id_0> ,his
15,7.5657578,The first mate said that the sailor in the rain jacket hauled a line with all his<extra_id_0> ,might
16,4.044264,The newspaper said that the soccer player from the rival team scored a goal<extra_id_0> ,during
17,0.3076459,The newspaper said that the soccer player from the rival team scored a goal during<extra_id_0> ,the
18,7.0275755,The newspaper said that the soccer player from the rival team scored a goal during the<extra_id_0> ,championship
19,2.5979733,The husband saw that the maid from the new cleaning service broke a vase<extra_id_0> ,in
20,0.83874303,The husband saw that the maid from the new cleaning service broke a vase in<extra_id_0> ,the
21,5.247137,The husband saw that the maid from the new cleaning service broke a vase in the<extra_id_0> ,hallway
22,4.926684,The administrator discovered that the students who were all very diligent wrote about philosophy<extra_id_0> ,for
23,3.9608963,The administrator discovered that the students who were all very diligent wrote about philosophy for<extra_id_0> ,their
24,7.975677,The administrator discovered that the students who were all very diligent wrote about philosophy for their<extra_id_0> ,term
25,2.6879845,The administrator discovered that the students who were all very diligent wrote about philosophy for their term<extra_id_0> ,paper
26,1.2199552,My mother recalled that the fireman who only recently started working for the department rescued her cat<extra_id_0> ,from
27,1.2119186,My mother recalled that the fireman who only recently started working for the department rescued her cat from<extra_id_0> ,the
28,4.094253,My mother recalled that the fireman who only recently started working for the department rescued her cat from the<extra_id_0> ,burning
29,1.9246129,My mother recalled that the fireman who only recently started working for the department rescued her cat from the burning<extra_id_0> ,building
30,4.1056037,Our friend said that the customer who had never owned a vehicle before bought the new car<extra_id_0> ,on
31,5.861847,Our friend said that the customer who had never owned a vehicle before bought the new car on<extra_id_0> ,credit
32,5.492894,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve<extra_id_0> ,before
33,1.7868781,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve before<extra_id_0> ,the
34,2.455864,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve before the<extra_id_0> ,match
35,5.665886,Your father noticed that the author who the fans adored  signed a copy of his book<extra_id_0> ,after
36,2.2520523,Your father noticed that the author who the fans adored  signed a copy of his book after<extra_id_0> ,the
37,5.631682,Your father noticed that the author who the fans adored  signed a copy of his book after the<extra_id_0> ,reading
38,4.5334406,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo<extra_id_0> ,at
39,0.6079772,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo at<extra_id_0> ,the
40,2.8279936,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo at the<extra_id_0> ,zoo
41,4.716034,The reporter said that the citizens who cared about civic engagement talked about a new bill<extra_id_0> ,at
42,0.6609603,The reporter said that the citizens who cared about civic engagement talked about a new bill at<extra_id_0> ,the
43,4.77479,The reporter said that the citizens who cared about civic engagement talked about a new bill at the<extra_id_0> ,town
44,0.75682354,The reporter said that the citizens who cared about civic engagement talked about a new bill at the town<extra_id_0> ,hall
45,2.4674222,The reporter said that the citizens who cared about civic engagement talked about a new bill at the town hall<extra_id_0> ,meeting
46,3.3389075,The assistant realized that the nurse in the white uniform comforted the patient<extra_id_0> ,in
47,0.77098525,The assistant realized that the nurse in the white uniform comforted the patient in<extra_id_0> ,the
48,5.8239865,The assistant realized that the nurse in the white uniform comforted the patient in the<extra_id_0> ,waiting
49,0.08368711,The assistant realized that the nurse in the white uniform comforted the patient in the waiting<extra_id_0> ,room
50,1.980165,Your friend said that the librarian in the thick plastic glasses  placed the book<extra_id_0> ,on
51,0.80286956,Your friend said that the librarian in the thick plastic glasses  placed the book on<extra_id_0> ,the
52,6.6358614,Your friend said that the librarian in the thick plastic glasses  placed the book on the<extra_id_0> ,wrong
53,2.536068,Your friend said that the librarian in the thick plastic glasses  placed the book on the wrong<extra_id_0> ,shelf
54,8.9641,The witness realized that the lawyers in dark suits and ties shredded the documents<extra_id_0> ,late
55,3.2960086,The witness realized that the lawyers in dark suits and ties shredded the documents late<extra_id_0> ,at
56,0.41744637,The witness realized that the lawyers in dark suits and ties shredded the documents late at<extra_id_0> ,night
57,5.76918,The article said that the chef who was originally from France prepared the soup<extra_id_0> ,before
58,1.8012228,The article said that the chef who was originally from France prepared the soup before<extra_id_0> ,the
59,4.1685767,The article said that the chef who was originally from France prepared the soup before the<extra_id_0> ,dinner
60,11.068431,The article said that the chef who was originally from France prepared the soup before the dinner<extra_id_0> ,rush
61,3.903405,The insurance company concluded that the taxi driver in the checkered cap hit the deer<extra_id_0> ,while
62,1.5080328,The insurance company concluded that the taxi driver in the checkered cap hit the deer while<extra_id_0> ,driving
63,12.145042,The insurance company concluded that the taxi driver in the checkered cap hit the deer while driving<extra_id_0> ,casually
64,6.3915977,The museum director realized that the burglar who posed as a visitor stole the painting<extra_id_0> ,last
65,3.1372764,The museum director realized that the burglar who posed as a visitor stole the painting last<extra_id_0> ,night
66,9.09313,The teacher realized that the student in the first year was studying for<extra_id_0> ,with
67,5.2592025,The teacher realized that the student in the first year was studying for with<extra_id_0> ,great
68,2.9256136,The teacher realized that the student in the first year was studying for with great<extra_id_0> ,enthusiasm
69,3.348612,The policeman discovered that the convict with the shaved head smuggled<extra_id_0> ,into
70,0.69468987,The policeman discovered that the convict with the shaved head smuggled into<extra_id_0> ,the
71,2.716404,The policeman discovered that the convict with the shaved head smuggled into the<extra_id_0> ,prison
72,10.8132,The shop owner realized that the waiter in the white jacket placed<extra_id_0> ,near
73,0.5557772,The shop owner realized that the waiter in the white jacket placed near<extra_id_0> ,the
74,3.1132848,The shop owner realized that the waiter in the white jacket placed near the<extra_id_0> ,table
75,7.297332,The committee asked that the banker from the big company sold<extra_id_0> ,with
76,2.1319447,The committee asked that the banker from the big company sold with<extra_id_0> ,faulty
77,3.405116,The committee asked that the banker from the big company sold with faulty<extra_id_0> ,credit
78,7.367653,The first mate said that the sailor in the rain jacket hauled<extra_id_0> ,with
79,5.5853972,The first mate said that the sailor in the rain jacket hauled with<extra_id_0> ,all
80,2.428462,The first mate said that the sailor in the rain jacket hauled with all<extra_id_0> ,his
81,8.432317,The first mate said that the sailor in the rain jacket hauled with all his<extra_id_0> ,might
82,8.993098,The newspaper said that the soccer player from the rival team scored<extra_id_0> ,during
83,0.3252586,The newspaper said that the soccer player from the rival team scored during<extra_id_0> ,the
84,6.4561563,The newspaper said that the soccer player from the rival team scored during the<extra_id_0> ,championship
85,2.7794037,The husband saw that the maid from the new cleaning service broke<extra_id_0> ,in
86,2.192525,The husband saw that the maid from the new cleaning service broke in<extra_id_0> ,the
87,6.9748588,The husband saw that the maid from the new cleaning service broke in the<extra_id_0> ,hallway
88,7.3641148,The administrator discovered that the students who were all very diligent wrote about<extra_id_0> ,for
89,3.772398,The administrator discovered that the students who were all very diligent wrote about for<extra_id_0> ,their
90,8.152994,The administrator discovered that the students who were all very diligent wrote about for their<extra_id_0> ,term
91,3.6244237,The administrator discovered that the students who were all very diligent wrote about for their term<extra_id_0> ,paper
92,7.0217867,My mother recalled that the fireman who only recently started working for the department rescued<extra_id_0> ,from
93,1.1243643,My mother recalled that the fireman who only recently started working for the department rescued from<extra_id_0> ,the
94,5.257025,My mother recalled that the fireman who only recently started working for the department rescued from the<extra_id_0> ,burning
95,2.6075225,My mother recalled that the fireman who only recently started working for the department rescued from the burning<extra_id_0> ,building
96,7.0239897,Our friend said that the customer who had never owned a vehicle before bought<extra_id_0> ,on
97,6.814228,Our friend said that the customer who had never owned a vehicle before bought on<extra_id_0> ,credit
98,9.040424,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about<extra_id_0> ,before
99,1.6105425,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about before<extra_id_0> ,the
100,3.5466418,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about before the<extra_id_0> ,match
101,7.222727,Your father noticed that the author who the fans adored  signed<extra_id_0> ,after
102,2.0142791,Your father noticed that the author who the fans adored  signed after<extra_id_0> ,the
103,6.7448072,Your father noticed that the author who the fans adored  signed after the<extra_id_0> ,reading
104,8.532796,The report described that the zoo keeper who was sleeping on the job lost track of<extra_id_0> ,at
105,2.8687801,The report described that the zoo keeper who was sleeping on the job lost track of at<extra_id_0> ,the
106,2.8813622,The report described that the zoo keeper who was sleeping on the job lost track of at the<extra_id_0> ,zoo
107,8.291966,The reporter said that the citizens who cared about civic engagement talked about<extra_id_0> ,at
108,3.1870334,The reporter said that the citizens who cared about civic engagement talked about at<extra_id_0> ,the
109,5.6413603,The reporter said that the citizens who cared about civic engagement talked about at the<extra_id_0> ,town
110,1.8667667,The reporter said that the citizens who cared about civic engagement talked about at the town<extra_id_0> ,hall
111,2.429434,The reporter said that the citizens who cared about civic engagement talked about at the town hall<extra_id_0> ,meeting
112,7.7980185,The assistant realized that the nurse in the white uniform comforted<extra_id_0> ,in
113,0.7113727,The assistant realized that the nurse in the white uniform comforted in<extra_id_0> ,the
114,7.3031216,The assistant realized that the nurse in the white uniform comforted in the<extra_id_0> ,waiting
115,0.3657136,The assistant realized that the nurse in the white uniform comforted in the waiting<extra_id_0> ,room
116,2.7181175,Your friend said that the librarian in the thick plastic glasses  placed<extra_id_0> ,on
