,obj_that,obj_wh,pp_wh,subj_wh,pairID
0,The senator does figure out that all girls skated around that glacier for Jodi.,The senator does figure out what all girls skated around for Jodi.,The senator does figure out what all girls skated around that glacier for.,The senator does figure out what skated around that glacier.,0
1,The student hasn't discovered that this car looks like some painting for Curtis.,The student hasn't discovered what this car looks like for Curtis.,The student hasn't discovered what this car looks like some painting for.,The student hasn't discovered what looks like some painting.,1
2,William hasn't learned that all carts are hindering some guy for Carl.,William hasn't learned who all carts are hindering for Carl.,William hasn't learned who all carts are hindering some guy for.,William hasn't learned who are hindering some guy.,2
3,Christina can learn that every tutor escaped from Maria with Travis.,Christina can learn who every tutor escaped from with Travis.,Christina can learn who every tutor escaped from Maria with.,Christina can learn who escaped from Maria.,3
4,Jessica wasn't learning that most podiatrists are eating this pepper with Laura.,Jessica wasn't learning what most podiatrists are eating with Laura.,Jessica wasn't learning what most podiatrists are eating this pepper with.,Jessica wasn't learning what are eating this pepper.,4
5,Mary figures out that that partner doesn't tear the dress with Gerald.,Mary figures out what that partner doesn't tear with Gerald.,Mary figures out what that partner doesn't tear the dress with.,Mary figures out what doesn't tear the dress.,5
6,People would learn that this child isn't making a lot of carts with Karen.,People would learn what this child isn't making with Karen.,People would learn what this child isn't making a lot of carts with.,People would learn what isn't making a lot of carts.,6
7,Every waiter realized that every electrician bred hamsters with Richard.,Every waiter realized what every electrician bred with Richard.,Every waiter realized what every electrician bred hamsters with.,Every waiter realized what bred hamsters.,7
8,That podiatrist couldn't find out that the ladies weren't meeting Lawrence with Carrie.,That podiatrist couldn't find out who the ladies weren't meeting with Carrie.,That podiatrist couldn't find out who the ladies weren't meeting Lawrence with.,That podiatrist couldn't find out who weren't meeting Lawrence.,8
9,Dan finds out that many guests wouldn't fight some legislatures with Stacey.,Dan finds out what many guests wouldn't fight with Stacey.,Dan finds out what many guests wouldn't fight some legislatures with.,Dan finds out what wouldn't fight some legislatures.,9
10,Diane realized that some lawyers weren't healing Marie with most French teachers.,Diane realized who some lawyers weren't healing with most French teachers.,Diane realized who some lawyers weren't healing Marie with.,Diane realized who weren't healing Marie.,10
11,A driver will investigate that a doctor hadn't left Brian for Kevin.,A driver will investigate who a doctor hadn't left for Kevin.,A driver will investigate who a doctor hadn't left Brian for.,A driver will investigate who hadn't left Brian.,11
12,Florence reveals that that bird has broken all windows with William.,Florence reveals what that bird has broken with William.,Florence reveals what that bird has broken all windows with.,Florence reveals what has broken all windows.,12
13,Catherine figures out that the students destroyed that carriage for the waitresses.,Catherine figures out what the students destroyed for the waitresses.,Catherine figures out what the students destroyed that carriage for.,Catherine figures out what destroyed that carriage.,13
