,surprisals,prefix,continuation
0,5.099806,I know what my brother said that our aunt devoured the cake<extra_id_0> ,at
1,1.2565095,I know what my brother said that our aunt devoured the cake at<extra_id_0> ,the
2,3.497287,I know what my brother said that our aunt devoured the cake at the<extra_id_0> ,party
3,3.643321,My neighbor told me what the fireman believes that the dog caught the cat<extra_id_0> ,in
4,0.42494977,My neighbor told me what the fireman believes that the dog caught the cat in<extra_id_0> ,the
5,3.9313753,My neighbor told me what the fireman believes that the dog caught the cat in the<extra_id_0> ,garage
6,6.1715255,I know what our assistant believes that the committee delivered the report<extra_id_0> ,by
7,2.0482056,I know what our assistant believes that the committee delivered the report by<extra_id_0> ,the
8,5.0225034,I know what our assistant believes that the committee delivered the report by the<extra_id_0> ,deadline
9,7.9826465,You remember what I discovered that the water ruined the new carpet<extra_id_0> ,during
10,0.90812075,You remember what I discovered that the water ruined the new carpet during<extra_id_0> ,the
11,3.294335,You remember what I discovered that the water ruined the new carpet during the<extra_id_0> ,flood
12,7.461338,She told me what the teacher suspects that the star student stole answers to the test<extra_id_0> ,last
13,4.868704,She told me what the teacher suspects that the star student stole answers to the test last<extra_id_0> ,semester
14,5.7584267,She knows what the expert can tell that the collector forged the painting<extra_id_0> ,with
15,1.7132809,She knows what the expert can tell that the collector forged the painting with<extra_id_0> ,the
16,4.7963057,She knows what the expert can tell that the collector forged the painting with the<extra_id_0> ,help
17,0.053682603,She knows what the expert can tell that the collector forged the painting with the help<extra_id_0> ,of
18,7.750597,She knows what the expert can tell that the collector forged the painting with the help of<extra_id_0> ,modern
19,2.0470839,She knows what the expert can tell that the collector forged the painting with the help of modern<extra_id_0> ,technology
20,2.654266,We all remember what the politician said that the convict smuggled a gun<extra_id_0> ,into
21,1.0442634,We all remember what the politician said that the convict smuggled a gun into<extra_id_0> ,the
22,2.4830792,We all remember what the politician said that the convict smuggled a gun into the<extra_id_0> ,prison
23,7.1863923,My friend reported what the banker predicts that the company will sell multiple assets<extra_id_0> ,next
