,prefix,continuation,surprisals
0,The teacher realized what the student accepted before Christmas studied for the test, with,5.616303443908691
1,The teacher realized what the student accepted before Christmas studied for the test with, great,4.1053266525268555
2,The teacher realized what the student accepted before Christmas studied for the test with great, enthusiasm,2.132155656814575
3,The policeman discovered what the convict captured after investigation smuggled a gun, into,1.3198068141937256
4,The policeman discovered what the convict captured after investigation smuggled a gun into, the,0.4613986611366272
5,The policeman discovered what the convict captured after investigation smuggled a gun into the, prison,3.819101333618164
6,The shop owner realized what the waiter hired before curfew placed a candle, near,5.923983573913574
7,The shop owner realized what the waiter hired before curfew placed a candle near, the,0.8805151581764221
8,The shop owner realized what the waiter hired before curfew placed a candle near the, table,4.6007161140441895
9,The committee asked what the banker promoted after the meeting sold a mortgage, with,4.4684367179870605
10,The committee asked what the banker promoted after the meeting sold a mortgage with, faulty,9.345114707946777
11,The committee asked what the banker promoted after the meeting sold a mortgage with faulty, credit,2.609262466430664
12,The first mate said what the sailor killed after the departure hauled a line, with,5.6599955558776855
13,The first mate said what the sailor killed after the departure hauled a line with, all,5.509554862976074
14,The first mate said what the sailor killed after the departure hauled a line with all, his,2.482410192489624
15,The first mate said what the sailor killed after the departure hauled a line with all his, might,3.7733349800109863
16,The newspaper said what the soccer player injured before the game scored a goal, during,5.375635147094727
17,The newspaper said what the soccer player injured before the game scored a goal during, the,0.8601366281509399
18,The newspaper said what the soccer player injured before the game scored a goal during the, championship,7.673002243041992
19,The husband saw what the maid fired after the recession broke a vase, in,2.77017879486084
20,The husband saw what the maid fired after the recession broke a vase in, the,1.229816198348999
21,The husband saw what the maid fired after the recession broke a vase in the, hallway,5.232675552368164
22,The administrator discovered what the students taught before the pandemic wrote about philosophy, for,4.35252046585083
23,The administrator discovered what the students taught before the pandemic wrote about philosophy for, their,2.880493640899658
24,The administrator discovered what the students taught before the pandemic wrote about philosophy for their, term,9.663674354553223
25,The administrator discovered what the students taught before the pandemic wrote about philosophy for their term, paper,1.0749667882919312
26,My mother recalled what the fireman honored after the flood rescued her cat, from,1.6071715354919434
27,My mother recalled what the fireman honored after the flood rescued her cat from, the,0.6861155033111572
28,My mother recalled what the fireman honored after the flood rescued her cat from the, burning,4.184235095977783
29,My mother recalled what the fireman honored after the flood rescued her cat from the burning, building,2.0966362953186035
30,Our friend said what the customer served after the campaign bought the new car, on,5.592254161834717
31,Our friend said what the customer served after the campaign bought the new car on, credit,7.585585117340088
32,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve, before,5.632047176361084
33,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve before, the,1.0889546871185303
34,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve before the, match,2.553107976913452
35,Your father noticed what the author recognized after the event signed a copy of his book, after,6.157270431518555
36,Your father noticed what the author recognized after the event signed a copy of his book after, the,1.3361310958862305
37,Your father noticed what the author recognized after the event signed a copy of his book after the, reading,6.102387428283691
38,The report described what the zoo keeper fired after the incident lost track of a kangaroo, at,4.0735883712768555
39,The report described what the zoo keeper fired after the incident lost track of a kangaroo at, the,0.9253939390182495
40,The report described what the zoo keeper fired after the incident lost track of a kangaroo at the, zoo,0.8146994113922119
41,The reporter said what the citizens protected after the war talked about a new bill, at,5.340859889984131
42,The reporter said what the citizens protected after the war talked about a new bill at, the,0.38846006989479065
43,The reporter said what the citizens protected after the war talked about a new bill at the, town,6.8279709815979
44,The reporter said what the citizens protected after the war talked about a new bill at the town, hall,0.37131568789482117
45,The reporter said what the citizens protected after the war talked about a new bill at the town hall, meeting,1.311752438545227
46,The assistant realized what the nurse tested before the surgery comforted the patient, in,3.9528186321258545
47,The assistant realized what the nurse tested before the surgery comforted the patient in, the,1.488923192024231
48,The assistant realized what the nurse tested before the surgery comforted the patient in the, waiting,6.657413959503174
49,The assistant realized what the nurse tested before the surgery comforted the patient in the waiting, room,0.030495433136820793
50,Your friend said what the librarian paid after the demonstration placed the book, on,1.8632441759109497
51,Your friend said what the librarian paid after the demonstration placed the book on, the,0.8042333126068115
52,Your friend said what the librarian paid after the demonstration placed the book on the, wrong,7.996777534484863
53,Your friend said what the librarian paid after the demonstration placed the book on the wrong, shelf,0.6611095070838928
54,The witness realized what the lawyers hired after the probation shredded documents, late,10.340900421142578
55,The witness realized what the lawyers hired after the probation shredded documents late, at,4.74368143081665
