,item,Correct,gap,island,C1,C2,Response
0,1,FALSE,no,subj_noisland,I know that an indication caused us to recommend therapy,I know what an indication caused us to recommend therapy," ""I know what an indication caused us to recommend therapy"""
0,2,FALSE,no,subj_noisland,I remember that the gift cost a lot of money,I remember what the gift cost a lot of money," ""I remember what the gift cost a lot of money"""
0,3,TRUE,no,subj_noisland,The newspaper reported that the novel received favorable reviews,The newspaper reported what the novel received favorable reviews," ""The newspaper reported that the novel received favorable reviews"""
0,4,TRUE,no,subj_noisland,I know that the painting fetched a high price at auction,I know what the painting fetched a high price at auction," ""I know that the painting fetched a high price at auction"""
0,5,TRUE,no,subj_noisland,You remember that the instructions fell into the furnace,You remember what the instructions fell into the furnace," ""You remember that the instructions fell into the furnace"""
0,6,TRUE,no,subj_noisland,She told me that an allergy causes him to avoid dining out,She told me what an allergy causes him to avoid dining out," ""She told me that an allergy causes him to avoid dining out"""
0,7,TRUE,no,subj_noisland,She knows that the delivery arrived around noon,She knows what the delivery arrived around noon," ""She knows that the delivery arrived around noon"""
0,8,TRUE,no,subj_noisland,We all remember that the package got lost in the mail,We all remember what the package got lost in the mail," ""We all remember that the package got lost in the mail"""
0,9,TRUE,no,subj_noisland,My friend reported that the symphony moved my mother to tears,My friend reported what the symphony moved my mother to tears," ""My friend reported that the symphony moved my mother to tears"""
0,11,FALSE,no,subj_noisland,She can guess that a forward claimed that Elvis is still alive,She can guess what a forward claimed that Elvis is still alive," ""She can guess what a forward claimed that Elvis is still alive"""
0,12,FALSE,no,subj_noisland,The newspaper reported that a mix was used for the salad dressing,The newspaper reported what a mix was used for the salad dressing," ""The newspaper reported what a mix was used for the salad dressing"""
0,13,FALSE,no,subj_noisland,We recall that a critique found support online,We recall what a critique found support online," ""We recall what a critique found support online"""
0,14,FALSE,no,subj_noisland,I remember that a diatribe was published in the local newspaper,I remember what a diatribe was published in the local newspaper," ""I remember what a diatribe was published in the local newspaper"""
0,15,TRUE,no,subj_noisland,Our friend guessed that a picture appeared in the newspaper,Our friend guessed what a picture appeared in the newspaper," ""Our friend guessed that a picture appeared in the newspaper yesterday afternoon."""
0,16,TRUE,no,subj_noisland,The mayor told me that a photograph was taken by the war correspondent,The mayor told me what a photograph was taken by the war correspondent," ""The mayor told me that a photograph was taken by the war correspondent"""
0,17,FALSE,no,subj_noisland,My friend remembers that a description was disliked by the bishop,My friend remembers what a description was disliked by the bishop," ""My friend remembers what a description was disliked by the bishop"""
0,18,FALSE,no,subj_noisland,The newspaper said that the present was imported from Italy,The newspaper said what the present was imported from Italy," ""The newspaper said what the present was imported from Italy"""
0,19,TRUE,no,subj_noisland,Our neighbor said that the argument tore their marriage apart,Our neighbor said what the argument tore their marriage apart," ""Our neighbor said that the argument tore their marriage apart"""
0,20,FALSE,no,subj_noisland,My friend told me that a proposal suggested increasing employe benefits,My friend told me what a proposal suggested increasing employe benefits," ""My friend told me what a proposal suggested increasing employe benefits"""
0,21,TRUE,no,subj_noisland,She can not believe that a conference took place downtown,She can not believe what a conference took place downtown," ""She can not believe that a conference took place downtown"""
0,1,TRUE,yes,subj_noisland,I know that caused us to recommend therapy,I know what caused us to recommend therapy," ""I know what caused us to recommend therapy"""
0,2,TRUE,yes,subj_noisland,I remember that cost a lot of money,I remember what cost a lot of money," ""I remember what cost a lot of money"""
0,3,FALSE,yes,subj_noisland,The newspaper reported that received favorable reviews,The newspaper reported what received favorable reviews," ""The newspaper reported that received favorable reviews"""
0,4,TRUE,yes,subj_noisland,I know that fetched a high price at auction,I know what fetched a high price at auction," ""I know what fetched a high price at auction"""
0,5,TRUE,yes,subj_noisland,You remember that fell into the furnace,You remember what fell into the furnace," ""You remember what fell into the furnace"""
0,6,TRUE,yes,subj_noisland,She told me that causes him to avoid dining out,She told me what causes him to avoid dining out," ""She told me what causes him to avoid dining out"""
0,7,TRUE,yes,subj_noisland,She knows that arrived around noon,She knows what arrived around noon," ""She knows what arrived around noon"""
0,8,TRUE,yes,subj_noisland,We all remember that got lost in the mail,We all remember what got lost in the mail," ""We all remember what got lost in the mail"""
0,9,TRUE,yes,subj_noisland,My friend reported that moved my mother to tears,My friend reported what moved my mother to tears," ""My friend reported what moved my mother to tears"""
0,11,TRUE,yes,subj_noisland,She can guess that claimed that Elvis is still alive,She can guess what claimed that Elvis is still alive," ""She can guess what claimed that Elvis is still alive"""
0,12,TRUE,yes,subj_noisland,The newspaper reported that was used for the salad dressing,The newspaper reported what was used for the salad dressing," ""The newspaper reported what was used for the salad dressing"""
0,13,TRUE,yes,subj_noisland,We recall that found support online,We recall what found support online," ""We recall what found support online"""
0,14,TRUE,yes,subj_noisland,I remember that was published in the local newspaper,I remember what was published in the local newspaper," ""I remember what was published in the local newspaper"""
0,15,TRUE,yes,subj_noisland,Our friend guessed that appeared in the newspaper,Our friend guessed what appeared in the newspaper," ""Our friend guessed what appeared in the newspaper"""
0,16,TRUE,yes,subj_noisland,The mayor told me that was taken by the war correspondent,The mayor told me what was taken by the war correspondent," ""The mayor told me what was taken by the war correspondent"""
0,17,TRUE,yes,subj_noisland,My friend remembers that was disliked by the bishop,My friend remembers what was disliked by the bishop," ""My friend remembers what was disliked by the bishop"""
0,18,TRUE,yes,subj_noisland,The newspaper said that was imported from Italy,The newspaper said what was imported from Italy," ""The newspaper said what was imported from Italy"""
0,19,TRUE,yes,subj_noisland,Our neighbor said that tore their marriage apart,Our neighbor said what tore their marriage apart," ""Our neighbor said what tore their marriage apart"""
