,surprisals,prefix,continuation
0,5.0636425,I know what my brother said that our aunt devoured the cake<extra_id_0> ,at
1,1.3921443,I know what my brother said that our aunt devoured the cake at<extra_id_0> ,the
2,3.9351845,I know what my brother said that our aunt devoured the cake at the<extra_id_0> ,party
3,3.4073367,My neighbor told me what the fireman believes that the dog caught the cat<extra_id_0> ,in
4,0.51783895,My neighbor told me what the fireman believes that the dog caught the cat in<extra_id_0> ,the
5,4.1741924,My neighbor told me what the fireman believes that the dog caught the cat in the<extra_id_0> ,garage
6,5.8929405,I know what our assistant believes that the committee delivered the report<extra_id_0> ,by
7,1.9482645,I know what our assistant believes that the committee delivered the report by<extra_id_0> ,the
8,5.5548205,I know what our assistant believes that the committee delivered the report by the<extra_id_0> ,deadline
9,7.768097,You remember what I discovered that the water ruined the new carpet<extra_id_0> ,during
10,0.87999225,You remember what I discovered that the water ruined the new carpet during<extra_id_0> ,the
11,3.4329023,You remember what I discovered that the water ruined the new carpet during the<extra_id_0> ,flood
12,6.651905,She told me what the teacher suspects that the star student stole answers to the test<extra_id_0> ,last
13,4.8443165,She told me what the teacher suspects that the star student stole answers to the test last<extra_id_0> ,semester
14,5.0930777,She knows what the expert can tell that the collector forged the painting<extra_id_0> ,with
15,1.7169201,She knows what the expert can tell that the collector forged the painting with<extra_id_0> ,the
16,5.795552,She knows what the expert can tell that the collector forged the painting with the<extra_id_0> ,help
17,0.11917962,She knows what the expert can tell that the collector forged the painting with the help<extra_id_0> ,of
18,7.610062,She knows what the expert can tell that the collector forged the painting with the help of<extra_id_0> ,modern
19,2.182491,She knows what the expert can tell that the collector forged the painting with the help of modern<extra_id_0> ,technology
20,2.5019028,We all remember what the politician said that the convict smuggled a gun<extra_id_0> ,into
21,1.0738906,We all remember what the politician said that the convict smuggled a gun into<extra_id_0> ,the
22,2.9803712,We all remember what the politician said that the convict smuggled a gun into the<extra_id_0> ,prison
23,6.858077,My friend reported what the banker predicts that the company will sell multiple assets<extra_id_0> ,next
24,4.627531,My friend reported what the banker predicts that the company will sell multiple assets next<extra_id_0> ,quarter
25,5.791792,I have an idea about what the actor suspects that her rival sabotaged the audition<extra_id_0> ,last
26,1.7851385,I have an idea about what the actor suspects that her rival sabotaged the audition last<extra_id_0> ,week
27,2.2136624,She can guess what our friend predicts that the movie star will be awarded an oscar<extra_id_0> ,for
28,0.8820058,She can guess what our friend predicts that the movie star will be awarded an oscar for<extra_id_0> ,her
29,5.5420074,She can guess what our friend predicts that the movie star will be awarded an oscar for her<extra_id_0> ,hard
30,0.16972259,She can guess what our friend predicts that the movie star will be awarded an oscar for her hard<extra_id_0> ,work
31,2.9936285,The newspaper reported who the police know that the suspect killed the witness<extra_id_0> ,in
32,1.2546918,The newspaper reported who the police know that the suspect killed the witness in<extra_id_0> ,the
33,6.914938,The newspaper reported who the police know that the suspect killed the witness in the<extra_id_0> ,middle
34,0.08806548,The newspaper reported who the police know that the suspect killed the witness in the middle<extra_id_0> ,of
35,0.66528565,The newspaper reported who the police know that the suspect killed the witness in the middle of<extra_id_0> ,the
36,1.1435779,The newspaper reported who the police know that the suspect killed the witness in the middle of the<extra_id_0> ,night
37,6.2481117,We recall who the old lady heard that the hot tea warmed the young girl<extra_id_0> ,after
38,1.998764,We recall who the old lady heard that the hot tea warmed the young girl after<extra_id_0> ,the
39,9.553963,We recall who the old lady heard that the hot tea warmed the young girl after the<extra_id_0> ,shocking
40,2.636126,We recall who the old lady heard that the hot tea warmed the young girl after the shocking<extra_id_0> ,incident
41,2.5158653,I remember what the doctor decided that the nurse should administer the new medicine<extra_id_0> ,to
42,1.6539803,I remember what the doctor decided that the nurse should administer the new medicine to<extra_id_0> ,the
43,5.152319,I remember what the doctor decided that the nurse should administer the new medicine to the<extra_id_0> ,sick
44,3.1820614,I remember what the doctor decided that the nurse should administer the new medicine to the sick<extra_id_0> ,patient
45,3.885192,Our friend guessed what my friend discovered that the gossip column revealed family secrets<extra_id_0> ,to
46,1.7809142,Our friend guessed what my friend discovered that the gossip column revealed family secrets to<extra_id_0> ,the
47,6.8639793,Our friend guessed what my friend discovered that the gossip column revealed family secrets to the<extra_id_0> ,whole
48,5.70284,Our friend guessed what my friend discovered that the gossip column revealed family secrets to the whole<extra_id_0> ,town
49,6.367059,The mayor told me what the town clerk heard that the town repaired the parking lot<extra_id_0> ,over
50,1.088701,The mayor told me what the town clerk heard that the town repaired the parking lot over<extra_id_0> ,the
51,2.218648,The mayor told me what the town clerk heard that the town repaired the parking lot over the<extra_id_0> ,summer
52,5.650611,My friend remembers what the senator testified about that the government collected personal data<extra_id_0> ,over
53,1.276576,My friend remembers what the senator testified about that the government collected personal data over<extra_id_0> ,the
54,3.7114403,My friend remembers what the senator testified about that the government collected personal data over the<extra_id_0> ,past
55,3.2263541,My friend remembers what the senator testified about that the government collected personal data over the past<extra_id_0> ,decade
56,6.1381865,The newspaper said what the bureaucrat discovered that the manager followed company regulations<extra_id_0> ,during
57,0.79732084,The newspaper said what the bureaucrat discovered that the manager followed company regulations during<extra_id_0> ,the
58,5.867659,The newspaper said what the bureaucrat discovered that the manager followed company regulations during the<extra_id_0> ,financial
59,1.0730199,The newspaper said what the bureaucrat discovered that the manager followed company regulations during the financial<extra_id_0> ,crisis
60,8.287167,Our neighbor said what the professor intuits that the student despised the assigned materials<extra_id_0> ,last
61,3.3619246,Our neighbor said what the professor intuits that the student despised the assigned materials last<extra_id_0> ,semester
62,6.072396,My friend told me who the consultant assumes that the university hired a new administrator<extra_id_0> ,last
63,1.7857051,My friend told me who the consultant assumes that the university hired a new administrator last<extra_id_0> ,week
64,7.0931673,She can not believe who I forgot that my good friend married my cousin<extra_id_0> ,last
65,6.1222887,She can not believe who I forgot that my good friend married my cousin last<extra_id_0> ,winter
66,4.291307,Our neighbor reminded us what she remembers that the tow truck hauled the wagon<extra_id_0> ,out
67,1.0752591,Our neighbor reminded us what she remembers that the tow truck hauled the wagon out<extra_id_0> ,of
68,0.5261361,Our neighbor reminded us what she remembers that the tow truck hauled the wagon out of<extra_id_0> ,the
69,4.874555,Our neighbor reminded us what she remembers that the tow truck hauled the wagon out of the<extra_id_0> ,ditch
70,7.5007544,The shop owner told me what the baker forgot that the restaurant prepared a new recipe<extra_id_0> ,earlier
71,3.901127,The shop owner told me what the baker forgot that the restaurant prepared a new recipe earlier<extra_id_0> ,that
72,2.7189703,The shop owner told me what the baker forgot that the restaurant prepared a new recipe earlier that<extra_id_0> ,week
73,5.455365,My sister told me what our mother remembers that the newspaper published a scandalous story<extra_id_0> ,last
74,1.9443322,My sister told me what our mother remembers that the newspaper published a scandalous story last<extra_id_0> ,month
75,3.947753,We remember what the judge decided that the lawyer must shred the evidence<extra_id_0> ,before
76,1.8302963,We remember what the judge decided that the lawyer must shred the evidence before<extra_id_0> ,the
77,2.902143,We remember what the judge decided that the lawyer must shred the evidence before the<extra_id_0> ,trial
78,5.577729,I know what my brother said that our aunt devoured<extra_id_0> ,at
79,1.5834322,I know what my brother said that our aunt devoured at<extra_id_0> ,the
80,5.1132708,I know what my brother said that our aunt devoured at the<extra_id_0> ,party
81,2.922505,My neighbor told me what the fireman believes that the dog caught<extra_id_0> ,in
82,0.60779935,My neighbor told me what the fireman believes that the dog caught in<extra_id_0> ,the
83,5.025529,My neighbor told me what the fireman believes that the dog caught in the<extra_id_0> ,garage
84,6.2252617,I know what our assistant believes that the committee delivered<extra_id_0> ,by
