,prefix,continuation,surprisals
0,The teacher realized that the student accepted before Christmas studied for the test, with,6.378729343414307
1,The teacher realized that the student accepted before Christmas studied for the test with, great,9.537869453430176
2,The teacher realized that the student accepted before Christmas studied for the test with great, enthusiasm,12.510133743286133
3,The policeman discovered that the convict captured after investigation smuggled a gun, into,10.161791801452637
4,The policeman discovered that the convict captured after investigation smuggled a gun into, the,3.2541770935058594
5,The policeman discovered that the convict captured after investigation smuggled a gun into the, prison,10.84024429321289
6,The shop owner realized that the waiter hired before curfew placed a candle, near,11.201481819152832
7,The shop owner realized that the waiter hired before curfew placed a candle near, the,3.441054582595825
8,The shop owner realized that the waiter hired before curfew placed a candle near the, table,12.79702377319336
9,The committee asked that the banker promoted after the meeting sold a mortgage, with,6.214075565338135
10,The committee asked that the banker promoted after the meeting sold a mortgage with, faulty,13.122596740722656
11,The committee asked that the banker promoted after the meeting sold a mortgage with faulty, credit,12.72577953338623
12,The first mate said that the sailor killed after the departure hauled a line, with,5.785582065582275
13,The first mate said that the sailor killed after the departure hauled a line with, all,9.256864547729492
14,The first mate said that the sailor killed after the departure hauled a line with all, his,6.783616065979004
15,The first mate said that the sailor killed after the departure hauled a line with all his, might,6.659197807312012
16,The newspaper said that the soccer player injured before the game scored a goal, during,9.243444442749023
17,The newspaper said that the soccer player injured before the game scored a goal during, the,3.6736087799072266
18,The newspaper said that the soccer player injured before the game scored a goal during the, championship,13.63147258758545
19,The husband saw that the maid fired after the recession broke a vase, in,6.711085796356201
20,The husband saw that the maid fired after the recession broke a vase in, the,18.536922454833984
21,The husband saw that the maid fired after the recession broke a vase in the, hallway,21.920242309570312
22,The administrator discovered that the students taught before the pandemic wrote about philosophy, for,6.361886978149414
23,The administrator discovered that the students taught before the pandemic wrote about philosophy for, their,18.64065170288086
24,The administrator discovered that the students taught before the pandemic wrote about philosophy for their, term,13.059541702270508
25,The administrator discovered that the students taught before the pandemic wrote about philosophy for their term, paper,11.047247886657715
26,My mother recalled that the fireman honored after the flood rescued her cat, from,5.796079158782959
