,surprisals,prefix,continuation
0,5.163001,The teacher realized that the student in the first year was studying for the test<extra_id_0> ,with
1,4.502569,The teacher realized that the student in the first year was studying for the test with<extra_id_0> ,great
2,2.922504,The teacher realized that the student in the first year was studying for the test with great<extra_id_0> ,enthusiasm
3,2.0631053,The policeman discovered that the convict with the shaved head smuggled a gun<extra_id_0> ,into
4,0.52409035,The policeman discovered that the convict with the shaved head smuggled a gun into<extra_id_0> ,the
5,3.1157627,The policeman discovered that the convict with the shaved head smuggled a gun into the<extra_id_0> ,prison
6,4.44498,The shop owner realized that the waiter in the white jacket placed a candle<extra_id_0> ,near
7,0.5827673,The shop owner realized that the waiter in the white jacket placed a candle near<extra_id_0> ,the
8,2.2294729,The shop owner realized that the waiter in the white jacket placed a candle near the<extra_id_0> ,table
9,5.66658,The committee asked that the banker from the big company sold a mortgage<extra_id_0> ,with
10,2.1690679,The committee asked that the banker from the big company sold a mortgage with<extra_id_0> ,faulty
11,3.3199515,The committee asked that the banker from the big company sold a mortgage with faulty<extra_id_0> ,credit
12,4.659396,The first mate said that the sailor in the rain jacket hauled a line<extra_id_0> ,with
13,6.0387535,The first mate said that the sailor in the rain jacket hauled a line with<extra_id_0> ,all
14,1.737031,The first mate said that the sailor in the rain jacket hauled a line with all<extra_id_0> ,his
15,7.0666,The first mate said that the sailor in the rain jacket hauled a line with all his<extra_id_0> ,might
16,4.1480365,The newspaper said that the soccer player from the rival team scored a goal<extra_id_0> ,during
17,0.34542358,The newspaper said that the soccer player from the rival team scored a goal during<extra_id_0> ,the
18,7.014475,The newspaper said that the soccer player from the rival team scored a goal during the<extra_id_0> ,championship
19,2.5674665,The husband saw that the maid from the new cleaning service broke a vase<extra_id_0> ,in
20,0.84134007,The husband saw that the maid from the new cleaning service broke a vase in<extra_id_0> ,the
21,5.4371805,The husband saw that the maid from the new cleaning service broke a vase in the<extra_id_0> ,hallway
22,4.752855,The administrator discovered that the students who were all very diligent wrote about philosophy<extra_id_0> ,for
23,3.8745384,The administrator discovered that the students who were all very diligent wrote about philosophy for<extra_id_0> ,their
24,7.935869,The administrator discovered that the students who were all very diligent wrote about philosophy for their<extra_id_0> ,term
25,2.5532267,The administrator discovered that the students who were all very diligent wrote about philosophy for their term<extra_id_0> ,paper
26,1.3815953,My mother recalled that the fireman who only recently started working for the department rescued her cat<extra_id_0> ,from
27,1.2819595,My mother recalled that the fireman who only recently started working for the department rescued her cat from<extra_id_0> ,the
28,3.8521166,My mother recalled that the fireman who only recently started working for the department rescued her cat from the<extra_id_0> ,burning
29,2.1358607,My mother recalled that the fireman who only recently started working for the department rescued her cat from the burning<extra_id_0> ,building
30,4.0284834,Our friend said that the customer who had never owned a vehicle before bought the new car<extra_id_0> ,on
31,5.972361,Our friend said that the customer who had never owned a vehicle before bought the new car on<extra_id_0> ,credit
32,5.6700363,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve<extra_id_0> ,before
33,1.6324005,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve before<extra_id_0> ,the
34,2.657657,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve before the<extra_id_0> ,match
35,5.740333,Your father noticed that the author who the fans adored  signed a copy of his book<extra_id_0> ,after
36,2.091754,Your father noticed that the author who the fans adored  signed a copy of his book after<extra_id_0> ,the
37,5.642896,Your father noticed that the author who the fans adored  signed a copy of his book after the<extra_id_0> ,reading
38,4.5466366,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo<extra_id_0> ,at
39,0.6997678,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo at<extra_id_0> ,the
40,2.8630672,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo at the<extra_id_0> ,zoo
41,4.6769247,The reporter said that the citizens who cared about civic engagement talked about a new bill<extra_id_0> ,at
42,0.627751,The reporter said that the citizens who cared about civic engagement talked about a new bill at<extra_id_0> ,the
43,4.7117057,The reporter said that the citizens who cared about civic engagement talked about a new bill at the<extra_id_0> ,town
44,0.769475,The reporter said that the citizens who cared about civic engagement talked about a new bill at the town<extra_id_0> ,hall
45,2.4710336,The reporter said that the citizens who cared about civic engagement talked about a new bill at the town hall<extra_id_0> ,meeting
46,3.4128757,The assistant realized that the nurse in the white uniform comforted the patient<extra_id_0> ,in
47,0.80994374,The assistant realized that the nurse in the white uniform comforted the patient in<extra_id_0> ,the
48,5.6943774,The assistant realized that the nurse in the white uniform comforted the patient in the<extra_id_0> ,waiting
49,0.10242826,The assistant realized that the nurse in the white uniform comforted the patient in the waiting<extra_id_0> ,room
50,2.196252,Your friend said that the librarian in the thick plastic glasses  placed the book<extra_id_0> ,on
51,0.87677425,Your friend said that the librarian in the thick plastic glasses  placed the book on<extra_id_0> ,the
52,6.564498,Your friend said that the librarian in the thick plastic glasses  placed the book on the<extra_id_0> ,wrong
53,2.3786445,Your friend said that the librarian in the thick plastic glasses  placed the book on the wrong<extra_id_0> ,shelf
54,8.8344555,The witness realized that the lawyers in dark suits and ties shredded the documents<extra_id_0> ,late
55,3.4340057,The witness realized that the lawyers in dark suits and ties shredded the documents late<extra_id_0> ,at
56,0.3852321,The witness realized that the lawyers in dark suits and ties shredded the documents late at<extra_id_0> ,night
57,5.7820086,The article said that the chef who was originally from France prepared the soup<extra_id_0> ,before
58,1.6801838,The article said that the chef who was originally from France prepared the soup before<extra_id_0> ,the
59,4.2000437,The article said that the chef who was originally from France prepared the soup before the<extra_id_0> ,dinner
60,11.1355915,The article said that the chef who was originally from France prepared the soup before the dinner<extra_id_0> ,rush
61,3.9083085,The insurance company concluded that the taxi driver in the checkered cap hit the deer<extra_id_0> ,while
62,1.5083985,The insurance company concluded that the taxi driver in the checkered cap hit the deer while<extra_id_0> ,driving
63,12.228045,The insurance company concluded that the taxi driver in the checkered cap hit the deer while driving<extra_id_0> ,casually
64,6.4748354,The museum director realized that the burglar who posed as a visitor stole the painting<extra_id_0> ,last
65,3.0882003,The museum director realized that the burglar who posed as a visitor stole the painting last<extra_id_0> ,night
66,9.083646,The teacher realized that the student in the first year was studying for<extra_id_0> ,with
67,5.2152376,The teacher realized that the student in the first year was studying for with<extra_id_0> ,great
68,3.0092077,The teacher realized that the student in the first year was studying for with great<extra_id_0> ,enthusiasm
69,3.388916,The policeman discovered that the convict with the shaved head smuggled<extra_id_0> ,into
70,0.7584219,The policeman discovered that the convict with the shaved head smuggled into<extra_id_0> ,the
71,2.8246734,The policeman discovered that the convict with the shaved head smuggled into the<extra_id_0> ,prison
72,10.7517395,The shop owner realized that the waiter in the white jacket placed<extra_id_0> ,near
73,0.55341613,The shop owner realized that the waiter in the white jacket placed near<extra_id_0> ,the
74,3.1675427,The shop owner realized that the waiter in the white jacket placed near the<extra_id_0> ,table
75,7.006894,The committee asked that the banker from the big company sold<extra_id_0> ,with
76,2.2593324,The committee asked that the banker from the big company sold with<extra_id_0> ,faulty
77,3.5117984,The committee asked that the banker from the big company sold with faulty<extra_id_0> ,credit
78,7.052353,The first mate said that the sailor in the rain jacket hauled<extra_id_0> ,with
79,5.541248,The first mate said that the sailor in the rain jacket hauled with<extra_id_0> ,all
80,2.3480763,The first mate said that the sailor in the rain jacket hauled with all<extra_id_0> ,his
81,8.086078,The first mate said that the sailor in the rain jacket hauled with all his<extra_id_0> ,might
82,8.799072,The newspaper said that the soccer player from the rival team scored<extra_id_0> ,during
83,0.36854222,The newspaper said that the soccer player from the rival team scored during<extra_id_0> ,the
84,6.422706,The newspaper said that the soccer player from the rival team scored during the<extra_id_0> ,championship
85,2.7796438,The husband saw that the maid from the new cleaning service broke<extra_id_0> ,in
86,2.1298137,The husband saw that the maid from the new cleaning service broke in<extra_id_0> ,the
87,7.060429,The husband saw that the maid from the new cleaning service broke in the<extra_id_0> ,hallway
88,7.059731,The administrator discovered that the students who were all very diligent wrote about<extra_id_0> ,for
89,3.7704966,The administrator discovered that the students who were all very diligent wrote about for<extra_id_0> ,their
90,8.176246,The administrator discovered that the students who were all very diligent wrote about for their<extra_id_0> ,term
91,3.759265,The administrator discovered that the students who were all very diligent wrote about for their term<extra_id_0> ,paper
92,6.992812,My mother recalled that the fireman who only recently started working for the department rescued<extra_id_0> ,from
93,1.2646773,My mother recalled that the fireman who only recently started working for the department rescued from<extra_id_0> ,the
94,5.1363373,My mother recalled that the fireman who only recently started working for the department rescued from the<extra_id_0> ,burning
