,adj_that,adj_wh,adj_subj_that,adj_subj_wh,pairID,,,,,,,,,,,,,,,,,,,,
0,Most teenagers do know that contractors are skating around most high schools while exploring the closet.,Most teenagers do know what contractors are skating around while exploring the closet.,Most teenagers do know that contractors hunted while exploring the closet are skating around most high schools.,Most teenagers do know what contractors hunted while exploring the closet are skating around.,0,,,,,,,,,,,,,,,,,,,,
1,Andrea forgot that every goose broke most skateboards before breaking this couch.,Andrea forgot what every goose broke before breaking this couch.,Andrea forgot that every goose washed before breaking this couch broke most skateboards.,Andrea forgot what every goose washed before breaking this couch broke.,1,,,,,,,,,,,,,,,,,,,,
2,Steve discovered that women bit Grace before holding Stephen.,Steve discovered who women bit before holding Stephen.,Steve discovered that women coped before holding Stephen bit Grace.,Steve discovered who women coped before holding Stephen bit.,2,,,,,,,,,,,,,,,,,,,,
3,All doctors had realized that the actress descends every slope without choosing these newspaper articles.,All doctors had realized what the actress descends without choosing these newspaper articles.,All doctors had realized that the actress gone bad without choosing these newspaper articles descends every slope.,All doctors had realized what the actress gone bad without choosing these newspaper articles descends.,3,,,,,,,,,,,,,,,,,,,,
4,All associates realize that the student hasn't eaten these peppers after lifting the restaurants.,All associates realize what the student hasn't eaten after lifting the restaurants.,All associates realize that the student wasted away after lifting the restaurants hasn't eaten these peppers.,All associates realize what the student wasted away after lifting the restaurants hasn't eaten.,4,,,,,,,,,,,,,,,,,,,,
5,Every electrician isn't discovering that this tooth isn't aiding Bill after disgusting these organizations.,Every electrician isn't discovering who this tooth isn't aiding after disgusting these organizations.,Every electrician isn't discovering that this tooth shut after disgusting these organizations isn't aiding Bill.,Every electrician isn't discovering who this tooth shut after disgusting these organizations isn't aiding.,5,,,,,,,,,,,,,,,,,,,,
6,Jesus knows that adults were wearing most blouses after keeping these slopes.,Jesus knows what adults were wearing after keeping these slopes.,Jesus knows that adults distracted after keeping these slopes were wearing most blouses.,Jesus knows what adults distracted after keeping these slopes were wearing.,6,,,,,,,,,,,,,,,,,,,,
7,The waiters aren't realizing that some dentists healed Sabrina after worrying Jason.,The waiters aren't realizing who some dentists healed after worrying Jason.,The waiters aren't realizing that some dentists tempted after worrying Jason healed Sabrina.,The waiters aren't realizing who some dentists tempted after worrying Jason healed.,7,,,,,,,,,,,,,,,,,,,,
8,The hospitals conceal that those hairdressers were purchasing all doors after selling most pants.,The hospitals conceal what those hairdressers were purchasing after selling most pants.,The hospitals conceal that those hairdressers worked with after selling most pants were purchasing all doors.,The hospitals conceal what those hairdressers worked with after selling most pants were purchasing.,8,,,,,,,,,,,,,,,,,,,,
9,Walter has forgotten that that dancer kissed all teenagers before discovering Stacy.,Walter has forgotten who that dancer kissed before discovering Stacy.,Walter has forgotten that that dancer cooperated before discovering Stacy kissed all teenagers.,Walter has forgotten who that dancer cooperated before discovering Stacy kissed.,9,,,,,,,,,,,,,,,,,,,,
10,Rachel is revealing that many patients haven't bred the hamsters before exposing that library.,Rachel is revealing what many patients haven't bred before exposing that library.,Rachel is revealing that many patients pressured before exposing that library haven't bred the hamsters.,Rachel is revealing what many patients pressured before exposing that library haven't bred.,10,,,,,,,,,,,,,,,,,,,,
11,Carlos does remember that those pedestrians escape from people without disturbing these associations.,Carlos does remember who those pedestrians escape from without disturbing these associations.,Carlos does remember that those pedestrians communicated without disturbing these associations escape from people.,Carlos does remember who those pedestrians communicated without disturbing these associations escape from.,11,,,,,,,,,,,,,,,,,,,,
12,Some women had forgotten that those companies had upset Keith while discussing some partner.,Some women had forgotten who those companies had upset while discussing some partner.,Some women had forgotten that those companies tipped over while discussing some partner had upset Keith.,Some women had forgotten who those companies tipped over while discussing some partner had upset.,12,,,,,,,,,,,,,,,,,,,,
13,Brett does forget that a senator hadn't revealed gates while losing those waiters.,Brett does forget what a senator hadn't revealed while losing those waiters.,Brett does forget that a senator tempted while losing those waiters hadn't revealed gates.,Brett does forget what a senator tempted while losing those waiters hadn't revealed.,13,,,,,,,,,,,,,,,,,,,,
14,Every teacher didn't reveal that a tutor wasn't arriving at all hills after losing Martha.,Every teacher didn't reveal what a tutor wasn't arriving at after losing Martha.,Every teacher didn't reveal that a tutor maneuvered after losing Martha wasn't arriving at all hills.,Every teacher didn't reveal what a tutor maneuvered after losing Martha wasn't arriving at.,14,,,,,,,,,,,,,,,,,,,,
15,A piano teacher wasn't revealing that this company fights the contractors while referencing Eric.,A piano teacher wasn't revealing who this company fights while referencing Eric.,A piano teacher wasn't revealing that this company awakened while referencing Eric fights the contractors.,A piano teacher wasn't revealing who this company awakened while referencing Eric fights.,15,,,,,,,,,,,,,,,,,,,,
16,Kendra realizes that the melody bored Suzanne while worrying Christina.,Kendra realizes who the melody bored while worrying Christina.,Kendra realizes that the melody brightened while worrying Christina bored Suzanne.,Kendra realizes who the melody brightened while worrying Christina bored.,16,,,,,,,,,,,,,,,,,,,,
17,Those teachers aren't discovering that the actress was praising Michelle before healing Pamela.,Those teachers aren't discovering who the actress was praising before healing Pamela.,Those teachers aren't discovering that the actress surrendered before healing Pamela was praising Michelle.,Those teachers aren't discovering who the actress surrendered before healing Pamela was praising.,17,,,,,,,,,,,,,,,,,,,,
18,Many ladies discovered that many boys weren't keeping the tile while exposing Denise.,Many ladies discovered what many boys weren't keeping while exposing Denise.,Many ladies discovered that many boys forfeited while exposing Denise weren't keeping the tile.,Many ladies discovered what many boys forfeited while exposing Denise weren't keeping.,18,,,,,,,,,,,,,,,,,,,,
19,Mitchell can discover that that dancer won't know Sally after thinking about Richard.,Mitchell can discover who that dancer won't know after thinking about Richard.,Mitchell can discover that that dancer arisen after thinking about Richard won't know Sally.,Mitchell can discover who that dancer arisen after thinking about Richard won't know.,19,,,,,,,,,,,,,,,,,,,,
20,The partner remembers that these students know Lawrence while worrying Stephanie.,The partner remembers who these students know while worrying Stephanie.,The partner remembers that these students folded while worrying Stephanie know Lawrence.,The partner remembers who these students folded while worrying Stephanie know.,20,,,,,,,,,,,,,,,,,,,,
21,Stacy conceals that every partner drives to most closets after running around all hills.,Stacy conceals what every partner drives to after running around all hills.,Stacy conceals that every partner hurt after running around all hills drives to most closets.,Stacy conceals what every partner hurt after running around all hills drives to.,21,,,,,,,,,,,,,,,,,,,,
22,The Impressionists forget that every offspring cleans most schools after insulting Caroline.,The Impressionists forget what every offspring cleans after insulting Caroline.,The Impressionists forget that every offspring investigated after insulting Caroline cleans most schools.,The Impressionists forget what every offspring investigated after insulting Caroline cleans.,22,,,,,,,,,,,,,,,,,,,,
23,Some boy did remember that a man doesn't fire an oncologist while distracting a lot of handymen.,Some boy did remember who a man doesn't fire while distracting a lot of handymen.,Some boy did remember that a man bothered while distracting a lot of handymen doesn't fire an oncologist.,Some boy did remember who a man bothered while distracting a lot of handymen doesn't fire.,23,,,,,,,,,,,,,,,,,,,,
24,Some legislature had known that some guy had described Heather without admiring many lawyers.,Some legislature had known who some guy had described without admiring many lawyers.,Some legislature had known that some guy folded without admiring many lawyers had described Heather.,Some legislature had known who some guy folded without admiring many lawyers had described.,24,,,,,,,,,,,,,,,,,,,,
25,Most legislatures haven't learned that all children are thinking about a lot of committees while harming Keith.,Most legislatures haven't learned what all children are thinking about while harming Keith.,Most legislatures haven't learned that all children commanded while harming Keith are thinking about a lot of committees.,Most legislatures haven't learned what all children commanded while harming Keith are thinking about.,25,,,,,,,,,,,,,,,,,,,,
26,Every guest investigates that some customers observe Grace after escaping from Elaine.,Every guest investigates who some customers observe after escaping from Elaine.,Every guest investigates that some customers appeared after escaping from Elaine observe Grace.,Every guest investigates who some customers appeared after escaping from Elaine observe.,26,,,,,,,,,,,,,,,,,,,,
27,Tamara reveals that some contractor arrived at most banks before appreciating every mall.,Tamara reveals what some contractor arrived at before appreciating every mall.,Tamara reveals that some contractor struck before appreciating every mall arrived at most banks.,Tamara reveals what some contractor struck before appreciating every mall arrived at.,27,,,,,,,,,,,,,,,,,,,,
28,Andrea doesn't reveal that this public park aids that waiter while hurting Judy.,Andrea doesn't reveal who this public park aids while hurting Judy.,Andrea doesn't reveal that this public park brought while hurting Judy aids that waiter.,Andrea doesn't reveal who this public park brought while hurting Judy aids.,28,,,,,,,,,,,,,,,,,,,,
29,Many drivers might reveal that that waitress shouldn't argue about that actress after leading a lot of guests.,Many drivers might reveal who that waitress shouldn't argue about after leading a lot of guests.,Many drivers might reveal that that waitress helped after leading a lot of guests shouldn't argue about that actress.,Many drivers might reveal who that waitress helped after leading a lot of guests shouldn't argue about.,29,,,,,,,,,,,,,,,,,,,,
30,Keith discovers that the child hadn't sounded like Stacy after overwhelming Tara.,Keith discovers who the child hadn't sounded like after overwhelming Tara.,Keith discovers that the child dated after overwhelming Tara hadn't sounded like Stacy.,Keith discovers who the child dated after overwhelming Tara hadn't sounded like.,30,,,,,,,,,,,,,,,,,,,,
31,These lawyers discover that the doctor observes Adam while appreciating Rodney.,These lawyers discover who the doctor observes while appreciating Rodney.,These lawyers discover that the doctor urged while appreciating Rodney observes Adam.,These lawyers discover who the doctor urged while appreciating Rodney observes.,31,,,,,,,,,,,,,,,,,,,,
32,Jesus has figured out that this student hasn't boycotted every cafe after exposing a lady.,Jesus has figured out what this student hasn't boycotted after exposing a lady.,Jesus has figured out that this student awakened after exposing a lady hasn't boycotted every cafe.,Jesus has figured out what this student awakened after exposing a lady hasn't boycotted.,32,,,,,,,,,,,,,,,,,,,,
33,Holly was remembering that some men eat many bananas without choosing Marie.,Holly was remembering what some men eat without choosing Marie.,Holly was remembering that some men reacted without choosing Marie eat many bananas.,Holly was remembering what some men reacted without choosing Marie eat.,33,,,,,,,,,,,,,,,,,,,,
34,Ellen hasn't investigated that some doctor shouldn't wear some shirt after thinking about this shirt.,Ellen hasn't investigated what some doctor shouldn't wear after thinking about this shirt.,Ellen hasn't investigated that some doctor pushed after thinking about this shirt shouldn't wear some shirt.,Ellen hasn't investigated what some doctor pushed after thinking about this shirt shouldn't wear.,34,,,,,,,,,,,,,,,,,,,,
35,Brenda could find out that a patient has sunk that ship before losing Matt.,Brenda could find out what a patient has sunk before losing Matt.,Brenda could find out that a patient discovered before losing Matt has sunk that ship.,Brenda could find out what a patient discovered before losing Matt has sunk.,35,,,,,,,,,,,,,,,,,,,,
36,Jeffrey shouldn't figure out that that coffee looked like all drawings after looking like every print.,Jeffrey shouldn't figure out what that coffee looked like after looking like every print.,Jeffrey shouldn't figure out that that coffee suffered after looking like every print looked like all drawings.,Jeffrey shouldn't figure out what that coffee suffered after looking like every print looked like.,36,,,,,,,,,,,,,,,,,,,,
37,Many schools should learn that this partner isn't drawing all cafes without choosing some ice cream.,Many schools should learn what this partner isn't drawing without choosing some ice cream.,Many schools should learn that this partner advised without choosing some ice cream isn't drawing all cafes.,Many schools should learn what this partner advised without choosing some ice cream isn't drawing.,37,,,,,,,,,,,,,,,,,,,,
38,Nina has found out that these men have destroyed all skateboards without keeping some cake.,Nina has found out what these men have destroyed without keeping some cake.,Nina has found out that these men hidden without keeping some cake have destroyed all skateboards.,Nina has found out what these men hidden without keeping some cake have destroyed.,38,,,,,,,,,,,,,,,,,,,,
39,Maria discovers that the waitress listens to waitresses after shaking every partner.,Maria discovers who the waitress listens to after shaking every partner.,Maria discovers that the waitress enticed after shaking every partner listens to waitresses.,Maria discovers who the waitress enticed after shaking every partner listens to.,39,,,,,,,,,,,,,,,,,,,,
40,Natalie can know that the patient hadn't remembered Steven while hiding Rose.,Natalie can know who the patient hadn't remembered while hiding Rose.,Natalie can know that the patient held while hiding Rose hadn't remembered Steven.,Natalie can know who the patient held while hiding Rose hadn't remembered.,40,,,,,,,,,,,,,,,,,,,,
41,Peter isn't figuring out that some women sound like a waiter after curing George.,Peter isn't figuring out who some women sound like after curing George.,Peter isn't figuring out that some women explained everything after curing George sound like a waiter.,Peter isn't figuring out who some women explained everything after curing George sound like.,41,,,,,,,,,,,,,,,,,,,,
42,Charles isn't learning that dentists drive many carts after fixing some raft.,Charles isn't learning what dentists drive after fixing some raft.,Charles isn't learning that dentists admired after fixing some raft drive many carts.,Charles isn't learning what dentists admired after fixing some raft drive.,42,,,,,,,,,,,,,,,,,,,,
43,Vincent hadn't forgotten that the waiter hadn't concealed Benjamin after shaking some lady.,Vincent hadn't forgotten who the waiter hadn't concealed after shaking some lady.,Vincent hadn't forgotten that the waiter observed after shaking some lady hadn't concealed Benjamin.,Vincent hadn't forgotten who the waiter observed after shaking some lady hadn't concealed.,43,,,,,,,,,,,,,,,,,,,,
44,Adam wouldn't discover that most pedestrians hadn't cleaned the plates before thinking about most windows.,Adam wouldn't discover what most pedestrians hadn't cleaned before thinking about most windows.,Adam wouldn't discover that most pedestrians urged before thinking about most windows hadn't cleaned the plates.,Adam wouldn't discover what most pedestrians urged before thinking about most windows hadn't cleaned.,44,,,,,,,,,,,,,,,,,,,,
45,Most museums know that this hypothesis disturbs Heidi while bothering Craig.,Most museums know who this hypothesis disturbs while bothering Craig.,Most museums know that this hypothesis washed while bothering Craig disturbs Heidi.,Most museums know who this hypothesis washed while bothering Craig disturbs.,45,,,,,,,,,,,,,,,,,,,,
46,Every actress finds out that all doctors weren't scanning every play while praising Patricia.,Every actress finds out what all doctors weren't scanning while praising Patricia.,Every actress finds out that all doctors shrunk while praising Patricia weren't scanning every play.,Every actress finds out what all doctors shrunk while praising Patricia weren't scanning.,46,,,,,,,,,,,,,,,,,,,,
