,surprisals,prefix,continuation
0,6.4353485,The teacher realized that the student accepted before Christmas studied for the test<extra_id_0> ,with
1,5.124094,The teacher realized that the student accepted before Christmas studied for the test with<extra_id_0> ,great
2,2.585883,The teacher realized that the student accepted before Christmas studied for the test with great<extra_id_0> ,enthusiasm
3,2.3360171,The policeman discovered that the convict captured after investigation smuggled a gun<extra_id_0> ,into
4,0.78568757,The policeman discovered that the convict captured after investigation smuggled a gun into<extra_id_0> ,the
5,3.3183782,The policeman discovered that the convict captured after investigation smuggled a gun into the<extra_id_0> ,prison
6,4.4303293,The shop owner realized that the waiter hired before curfew placed a candle<extra_id_0> ,near
7,0.75360173,The shop owner realized that the waiter hired before curfew placed a candle near<extra_id_0> ,the
8,3.2015386,The shop owner realized that the waiter hired before curfew placed a candle near the<extra_id_0> ,table
9,5.683853,The committee asked that the banker promoted after the meeting sold a mortgage<extra_id_0> ,with
10,1.8163333,The committee asked that the banker promoted after the meeting sold a mortgage with<extra_id_0> ,faulty
11,3.8450863,The committee asked that the banker promoted after the meeting sold a mortgage with faulty<extra_id_0> ,credit
12,4.5632834,The first mate said that the sailor killed after the departure hauled a line<extra_id_0> ,with
13,5.880992,The first mate said that the sailor killed after the departure hauled a line with<extra_id_0> ,all
14,3.890327,The first mate said that the sailor killed after the departure hauled a line with all<extra_id_0> ,his
15,8.337048,The first mate said that the sailor killed after the departure hauled a line with all his<extra_id_0> ,might
16,4.062408,The newspaper said that the soccer player injured before the game scored a goal<extra_id_0> ,during
17,0.33362365,The newspaper said that the soccer player injured before the game scored a goal during<extra_id_0> ,the
18,7.333217,The newspaper said that the soccer player injured before the game scored a goal during the<extra_id_0> ,championship
19,3.2415636,The husband saw that the maid fired after the recession broke a vase<extra_id_0> ,in
20,1.0910567,The husband saw that the maid fired after the recession broke a vase in<extra_id_0> ,the
21,8.0371,The husband saw that the maid fired after the recession broke a vase in the<extra_id_0> ,hallway
22,5.1826487,The administrator discovered that the students taught before the pandemic wrote about philosophy<extra_id_0> ,for
23,4.6650214,The administrator discovered that the students taught before the pandemic wrote about philosophy for<extra_id_0> ,their
24,7.0184174,The administrator discovered that the students taught before the pandemic wrote about philosophy for their<extra_id_0> ,term
25,3.1236432,The administrator discovered that the students taught before the pandemic wrote about philosophy for their term<extra_id_0> ,paper
