,prefix,continuation,surprisals
0,The teacher realized that the student in the first year was studying for the test, with,5.341009140014648
1,The teacher realized that the student in the first year was studying for the test with, great,11.684494972229004
2,The teacher realized that the student in the first year was studying for the test with great, enthusiasm,16.836231231689453
3,The policeman discovered that the convict with the shaved head smuggled a gun, into,12.801345825195312
4,The policeman discovered that the convict with the shaved head smuggled a gun into, the,3.8736824989318848
5,The policeman discovered that the convict with the shaved head smuggled a gun into the, prison,10.532042503356934
6,The shop owner realized that the waiter in the white jacket placed a candle, near,14.793594360351562
7,The shop owner realized that the waiter in the white jacket placed a candle near, the,4.196679592132568
8,The shop owner realized that the waiter in the white jacket placed a candle near the, table,13.14313793182373
9,The committee asked that the banker from the big company sold a mortgage, with,4.9097514152526855
10,The committee asked that the banker from the big company sold a mortgage with, faulty,14.309183120727539
11,The committee asked that the banker from the big company sold a mortgage with faulty, credit,15.797651290893555
12,The first mate said that the sailor in the rain jacket hauled a line, with,4.731506824493408
13,The first mate said that the sailor in the rain jacket hauled a line with, all,4.847598552703857
14,The first mate said that the sailor in the rain jacket hauled a line with all, his,8.759605407714844
15,The first mate said that the sailor in the rain jacket hauled a line with all his, might,8.201200485229492
16,The newspaper said that the soccer player from the rival team scored a goal, during,12.068791389465332
17,The newspaper said that the soccer player from the rival team scored a goal during, the,3.6756372451782227
18,The newspaper said that the soccer player from the rival team scored a goal during the, championship,13.81198501586914
19,The husband saw that the maid from the new cleaning service broke a vase, in,10.310844421386719
20,The husband saw that the maid from the new cleaning service broke a vase in, the,4.1307454109191895
21,The husband saw that the maid from the new cleaning service broke a vase in the, hallway,14.147629737854004
22,The administrator discovered that the students who were all very diligent wrote about philosophy, for,4.147922515869141
23,The administrator discovered that the students who were all very diligent wrote about philosophy for, their,8.694762229919434
24,The administrator discovered that the students who were all very diligent wrote about philosophy for their, term,14.828099250793457
25,The administrator discovered that the students who were all very diligent wrote about philosophy for their term, paper,14.943441390991211
26,My mother recalled that the fireman who only recently started working for the department rescued her cat, from,7.103434085845947
27,My mother recalled that the fireman who only recently started working for the department rescued her cat from, the,4.2111029624938965
28,My mother recalled that the fireman who only recently started working for the department rescued her cat from the, burning,12.431940078735352
29,My mother recalled that the fireman who only recently started working for the department rescued her cat from the burning, building,12.077093124389648
30,Our friend said that the customer who had never owned a vehicle before bought the new car, on,6.795492649078369
31,Our friend said that the customer who had never owned a vehicle before bought the new car on, credit,14.425008773803711
32,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve, before,6.280004978179932
33,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve before, the,3.6265242099761963
34,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about her serve before the, match,12.99382209777832
35,Your father noticed that the author who the fans adored  signed a copy of his book, after,3.953573703765869
36,Your father noticed that the author who the fans adored  signed a copy of his book after, the,3.7156014442443848
37,Your father noticed that the author who the fans adored  signed a copy of his book after the, reading,12.648483276367188
38,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo, at,8.08690071105957
39,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo at, the,3.593111038208008
40,The report described that the zoo keeper who was sleeping on the job lost track of a kangaroo at the, zoo,13.12177848815918
41,The reporter said that the citizens who cared about civic engagement talked about a new bill, at,8.163789749145508
42,The reporter said that the citizens who cared about civic engagement talked about a new bill at, the,3.673198699951172
43,The reporter said that the citizens who cared about civic engagement talked about a new bill at the, town,12.025408744812012
44,The reporter said that the citizens who cared about civic engagement talked about a new bill at the town, hall,14.96158504486084
45,The reporter said that the citizens who cared about civic engagement talked about a new bill at the town hall, meeting,10.614503860473633
46,The assistant realized that the nurse in the white uniform comforted the patient, in,9.449376106262207
47,The assistant realized that the nurse in the white uniform comforted the patient in, the,5.194014072418213
48,The assistant realized that the nurse in the white uniform comforted the patient in the, waiting,12.076823234558105
49,The assistant realized that the nurse in the white uniform comforted the patient in the waiting, room,14.413069725036621
50,Your friend said that the librarian in the thick plastic glasses  placed the book, on,6.891191482543945
51,Your friend said that the librarian in the thick plastic glasses  placed the book on, the,4.73563814163208
52,Your friend said that the librarian in the thick plastic glasses  placed the book on the, wrong,12.775524139404297
53,Your friend said that the librarian in the thick plastic glasses  placed the book on the wrong, shelf,17.199920654296875
54,The witness realized that the lawyers in dark suits and ties shredded the documents, late,13.68907642364502
55,The witness realized that the lawyers in dark suits and ties shredded the documents late, at,9.186936378479004
56,The witness realized that the lawyers in dark suits and ties shredded the documents late at, night,10.941165924072266
57,The article said that the chef who was originally from France prepared the soup, before,6.966968536376953
58,The article said that the chef who was originally from France prepared the soup before, the,3.5612564086914062
59,The article said that the chef who was originally from France prepared the soup before the, dinner,11.845259666442871
60,The article said that the chef who was originally from France prepared the soup before the dinner, rush,17.005170822143555
61,The insurance company concluded that the taxi driver in the checkered cap hit the deer, while,4.669167995452881
62,The insurance company concluded that the taxi driver in the checkered cap hit the deer while, driving,12.358659744262695
63,The insurance company concluded that the taxi driver in the checkered cap hit the deer while driving, casually,15.888340950012207
64,The museum director realized that the burglar who posed as a visitor stole the painting, last,12.47726821899414
65,The museum director realized that the burglar who posed as a visitor stole the painting last, night,11.204350471496582
66,The teacher realized that the student in the first year was studying for, with,8.606040954589844
67,The teacher realized that the student in the first year was studying for with, great,11.787077903747559
68,The teacher realized that the student in the first year was studying for with great, enthusiasm,16.692974090576172
69,The policeman discovered that the convict with the shaved head smuggled, into,11.581517219543457
70,The policeman discovered that the convict with the shaved head smuggled into, the,3.840914249420166
71,The policeman discovered that the convict with the shaved head smuggled into the, prison,10.670771598815918
72,The shop owner realized that the waiter in the white jacket placed, near,14.709860801696777
73,The shop owner realized that the waiter in the white jacket placed near, the,4.11699914932251
74,The shop owner realized that the waiter in the white jacket placed near the, table,13.105910301208496
75,The committee asked that the banker from the big company sold, with,4.356303691864014
76,The committee asked that the banker from the big company sold with, faulty,14.830934524536133
77,The committee asked that the banker from the big company sold with faulty, credit,15.699450492858887
78,The first mate said that the sailor in the rain jacket hauled, with,3.691662311553955
79,The first mate said that the sailor in the rain jacket hauled with, all,4.506335258483887
80,The first mate said that the sailor in the rain jacket hauled with all, his,9.071857452392578
81,The first mate said that the sailor in the rain jacket hauled with all his, might,8.027693748474121
82,The newspaper said that the soccer player from the rival team scored, during,11.533896446228027
83,The newspaper said that the soccer player from the rival team scored during, the,3.8258860111236572
84,The newspaper said that the soccer player from the rival team scored during the, championship,13.791009902954102
85,The husband saw that the maid from the new cleaning service broke, in,9.54454517364502
86,The husband saw that the maid from the new cleaning service broke in, the,4.160883903503418
87,The husband saw that the maid from the new cleaning service broke in the, hallway,14.137306213378906
88,The administrator discovered that the students who were all very diligent wrote about, for,6.814589500427246
89,The administrator discovered that the students who were all very diligent wrote about for, their,8.499495506286621
90,The administrator discovered that the students who were all very diligent wrote about for their, term,14.624605178833008
91,The administrator discovered that the students who were all very diligent wrote about for their term, paper,14.943737030029297
92,My mother recalled that the fireman who only recently started working for the department rescued, from,6.230199337005615
93,My mother recalled that the fireman who only recently started working for the department rescued from, the,4.070204734802246
94,My mother recalled that the fireman who only recently started working for the department rescued from the, burning,12.48919677734375
95,My mother recalled that the fireman who only recently started working for the department rescued from the burning, building,12.09978199005127
96,Our friend said that the customer who had never owned a vehicle before bought, on,6.343407154083252
97,Our friend said that the customer who had never owned a vehicle before bought on, credit,14.10353946685791
98,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about, before,7.671632766723633
99,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about before, the,3.6695926189422607
100,The memoir recounted that the tennis player who hoped to win the grand island tournament was thinking about before the, match,13.001606941223145
101,Your father noticed that the author who the fans adored  signed, after,3.765770673751831
102,Your father noticed that the author who the fans adored  signed after, the,3.8988289833068848
103,Your father noticed that the author who the fans adored  signed after the, reading,12.609504699707031
104,The report described that the zoo keeper who was sleeping on the job lost track of, at,10.92695426940918
105,The report described that the zoo keeper who was sleeping on the job lost track of at, the,3.7291316986083984
106,The report described that the zoo keeper who was sleeping on the job lost track of at the, zoo,13.125018119812012
107,The reporter said that the citizens who cared about civic engagement talked about, at,9.644875526428223
108,The reporter said that the citizens who cared about civic engagement talked about at, the,3.7539000511169434
109,The reporter said that the citizens who cared about civic engagement talked about at the, town,11.843391418457031
110,The reporter said that the citizens who cared about civic engagement talked about at the town, hall,14.947155952453613
111,The reporter said that the citizens who cared about civic engagement talked about at the town hall, meeting,10.596298217773438
112,The assistant realized that the nurse in the white uniform comforted, in,9.511661529541016
113,The assistant realized that the nurse in the white uniform comforted in, the,3.919029712677002
114,The assistant realized that the nurse in the white uniform comforted in the, waiting,12.979665756225586
115,The assistant realized that the nurse in the white uniform comforted in the waiting, room,14.481337547302246
116,Your friend said that the librarian in the thick plastic glasses  placed, on,6.382457733154297
117,Your friend said that the librarian in the thick plastic glasses  placed on, the,4.089449405670166
118,Your friend said that the librarian in the thick plastic glasses  placed on the, wrong,12.851052284240723
119,Your friend said that the librarian in the thick plastic glasses  placed on the wrong, shelf,17.198505401611328
120,The witness realized that the lawyers in dark suits and ties shredded, late,13.642755508422852
121,The witness realized that the lawyers in dark suits and ties shredded late, at,8.699176788330078
