,surprisals,prefix,continuation
0,4.2561197,I know that my brother said that our aunt devoured the cake<extra_id_0> ,at
1,1.3898318,I know that my brother said that our aunt devoured the cake at<extra_id_0> ,the
2,3.8114138,I know that my brother said that our aunt devoured the cake at the<extra_id_0> ,party
3,2.7298937,My neighbor told me that the fireman believes that the dog caught the cat<extra_id_0> ,in
4,0.37960842,My neighbor told me that the fireman believes that the dog caught the cat in<extra_id_0> ,the
5,3.840061,My neighbor told me that the fireman believes that the dog caught the cat in the<extra_id_0> ,garage
6,4.824733,I know that our assistant believes that the committee delivered the report<extra_id_0> ,by
7,1.804564,I know that our assistant believes that the committee delivered the report by<extra_id_0> ,the
8,4.7015467,I know that our assistant believes that the committee delivered the report by the<extra_id_0> ,deadline
9,7.4063187,You remember that I discovered that the water ruined the new carpet<extra_id_0> ,during
10,0.92006147,You remember that I discovered that the water ruined the new carpet during<extra_id_0> ,the
11,4.129813,You remember that I discovered that the water ruined the new carpet during the<extra_id_0> ,flood
12,6.291797,She told me that the teacher suspects that the star student stole answers to the test<extra_id_0> ,last
13,5.3983626,She told me that the teacher suspects that the star student stole answers to the test last<extra_id_0> ,semester
14,5.066005,She knows that the expert can tell that the collector forged the painting<extra_id_0> ,with
15,1.5941253,She knows that the expert can tell that the collector forged the painting with<extra_id_0> ,the
16,3.7755322,She knows that the expert can tell that the collector forged the painting with the<extra_id_0> ,help
17,0.041199088,She knows that the expert can tell that the collector forged the painting with the help<extra_id_0> ,of
18,8.023824,She knows that the expert can tell that the collector forged the painting with the help of<extra_id_0> ,modern
19,1.7954429,She knows that the expert can tell that the collector forged the painting with the help of modern<extra_id_0> ,technology
20,2.2728174,We all remember that the politician said that the convict smuggled a gun<extra_id_0> ,into
21,0.9358615,We all remember that the politician said that the convict smuggled a gun into<extra_id_0> ,the
22,2.343452,We all remember that the politician said that the convict smuggled a gun into the<extra_id_0> ,prison
23,5.8364844,My friend reported that the banker predicts that the company will sell multiple assets<extra_id_0> ,next
24,4.8085194,My friend reported that the banker predicts that the company will sell multiple assets next<extra_id_0> ,quarter
27,1.4676987,She can guess that our friend predicts that the movie star will be awarded an oscar<extra_id_0> ,for
28,0.9972643,She can guess that our friend predicts that the movie star will be awarded an oscar for<extra_id_0> ,her
29,5.210854,She can guess that our friend predicts that the movie star will be awarded an oscar for her<extra_id_0> ,hard
