,prefix,continuation,surprisals
0,I know that my brother said that our aunt devoured the cake, at,4.294665813
1,I know that my brother said that our aunt devoured the cake at, the,1.234337807
2,I know that my brother said that our aunt devoured the cake at the, party,3.714115381
3,My neighbor told me that the fireman believes that the dog caught the cat, in,2.663299561
4,My neighbor told me that the fireman believes that the dog caught the cat in, the,0.421698779
5,My neighbor told me that the fireman believes that the dog caught the cat in the, garage,5.277147293
6,I know that our assistant believes that the committee delivered the report, by,5.158689499
7,I know that our assistant believes that the committee delivered the report by, the,2.109998941
8,I know that our assistant believes that the committee delivered the report by the, deadline,4.497331142
9,You remember that I discovered that the water ruined the new carpet, during,6.841924191
10,You remember that I discovered that the water ruined the new carpet during, the,0.868837059
11,You remember that I discovered that the water ruined the new carpet during the, flood,6.181680679
12,She told me that the teacher suspects that the star student stole answers to the test, last,7.260731697
13,She told me that the teacher suspects that the star student stole answers to the test last, semester,4.138484001
14,She knows that the expert can tell that the collector forged the painting, with,4.106945992
15,She knows that the expert can tell that the collector forged the painting with, the,1.874396682
16,She knows that the expert can tell that the collector forged the painting with the, help,2.036864281
17,She knows that the expert can tell that the collector forged the painting with the help, of,0.006470109
18,She knows that the expert can tell that the collector forged the painting with the help of, modern,7.448802471
19,She knows that the expert can tell that the collector forged the painting with the help of modern, technology,2.167882204
20,We all remember that the politician said that the convict smuggled a gun, into,1.384239435
21,We all remember that the politician said that the convict smuggled a gun into, the,1.013432503
22,We all remember that the politician said that the convict smuggled a gun into the, prison,2.207194328
23,My friend reported that the banker predicts that the company will sell multiple assets, next,5.759346485
24,My friend reported that the banker predicts that the company will sell multiple assets next, quarter,4.490778446
27,She can guess that our friend predicts that the movie star will be awarded an oscar, for,2.467482805
28,She can guess that our friend predicts that the movie star will be awarded an oscar for, her,2.42622447
29,She can guess that our friend predicts that the movie star will be awarded an oscar for her, hard,6.168890953
30,She can guess that our friend predicts that the movie star will be awarded an oscar for her hard, work,0.552237272
31,The newspaper reported that the police know that the suspect killed the witness, in,3.013216496
32,The newspaper reported that the police know that the suspect killed the witness in, the,1.05148828
33,The newspaper reported that the police know that the suspect killed the witness in the, middle,5.639341831
34,The newspaper reported that the police know that the suspect killed the witness in the middle, of,0.012757691
35,The newspaper reported that the police know that the suspect killed the witness in the middle of, the,0.256730407
36,The newspaper reported that the police know that the suspect killed the witness in the middle of the, night,0.433575243
37,We recall that the old lady heard that the hot tea warmed the young girl, after,7.215930462
38,We recall that the old lady heard that the hot tea warmed the young girl after, the,1.928125501
39,We recall that the old lady heard that the hot tea warmed the young girl after the, shocking,10.696455
40,We recall that the old lady heard that the hot tea warmed the young girl after the shocking, incident,1.214534998
41,I remember that the doctor decided that the nurse should administer the new medicine, to,2.232245445
42,I remember that the doctor decided that the nurse should administer the new medicine to, the,0.918563783
43,I remember that the doctor decided that the nurse should administer the new medicine to the, sick,5.449044228
44,I remember that the doctor decided that the nurse should administer the new medicine to the sick, patient,2.730496407
45,Our friend guessed that my friend discovered that the gossip column revealed family secrets, to,3.17726016
46,Our friend guessed that my friend discovered that the gossip column revealed family secrets to, the,2.348406553
47,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the, whole,5.143466949
48,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the whole, town,4.436200142
49,The mayor told me that the town clerk heard that the town repaired the parking lot, over,6.689750195
50,The mayor told me that the town clerk heard that the town repaired the parking lot over, the,0.636977494
51,The mayor told me that the town clerk heard that the town repaired the parking lot over the, summer,2.305966854
56,The newspaper said that the bureaucrat discovered that the manager followed company regulations, during,5.552442551
57,The newspaper said that the bureaucrat discovered that the manager followed company regulations during, the,1.189125657
58,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the, financial,6.585278988
59,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the financial, crisis,0.768261671
60,Our neighbor said that the professor intuits that the student despised the assigned materials, last,9.209571838
61,Our neighbor said that the professor intuits that the student despised the assigned materials last, semester,1.954410911
62,My friend told me that the consultant assumes that the university hired a new administrator, last,6.278329372
63,My friend told me that the consultant assumes that the university hired a new administrator last, week,2.17651844
64,She can not believe that I forgot that my good friend married my cousin, last,5.410728931
65,She can not believe that I forgot that my good friend married my cousin last, winter,5.44811058
66,Our neighbor reminded us that she remembers that the tow truck hauled the wagon, out,3.589102268
67,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out, of,0.413581222
