,prefix,continuation,surprisals
0,I know that an indication caused us to recommend therapy, last,7.202356815338135
1,I know that an indication caused us to recommend therapy last, night,3.0391104221343994
2,I remember that the gift cost a lot of money, at,4.592662334442139
3,I remember that the gift cost a lot of money at, the,0.8624130487442017
4,I remember that the gift cost a lot of money at the, last,6.600234508514404
5,I remember that the gift cost a lot of money at the last, minute,0.9991936683654785
6,The newspaper reported that the novel received favorable reviews, in,2.971957206726074
7,The newspaper reported that the novel received favorable reviews in, the,1.1333239078521729
8,The newspaper reported that the novel received favorable reviews in the, press,4.577198505401611
9,I know that the painting fetched a high price at auction, sometime,9.779862403869629
10,I know that the painting fetched a high price at auction sometime, last,2.58465576171875
11,I know that the painting fetched a high price at auction sometime last, year,0.4230688512325287
12,You remember that the instructions fell into the furnace, much,8.10375690460205
13,You remember that the instructions fell into the furnace much, to,4.047677040100098
14,You remember that the instructions fell into the furnace much to, our,2.776214838027954
15,You remember that the instructions fell into the furnace much to our, regret,6.2785820960998535
16,She told me that an allergy causes him to avoid dining out, ever,8.040112495422363
17,She told me that an allergy causes him to avoid dining out ever, since,0.34367069602012634
18,She told me that an allergy causes him to avoid dining out ever since, he,0.6225601434707642
19,She told me that an allergy causes him to avoid dining out ever since he, was,1.0777153968811035
20,She told me that an allergy causes him to avoid dining out ever since he was, young,3.7988121509552
21,She knows that the delivery arrived around noon, last,6.19701623916626
22,She knows that the delivery arrived around noon last, Tuesday,4.388829231262207
23,We all remember that the package got lost in the mail, in,3.239161491394043
24,We all remember that the package got lost in the mail in, the,1.677497386932373
25,We all remember that the package got lost in the mail in the, holiday,7.215701103210449
26,We all remember that the package got lost in the mail in the holiday, rush,3.157163619995117
27,My friend reported that the symphony moved my mother to tears, yesterday,7.074697494506836
28,My friend reported that the symphony moved my mother to tears yesterday, night,3.826026201248169
29,I have an idea about that the play upset me, last,6.797994613647461
30,I have an idea about that the play upset me last, night,0.8416845798492432
31,She can guess that a forward claimed that Elvis is still alive, over,8.699723243713379
32,She can guess that a forward claimed that Elvis is still alive over, the,1.0052599906921387
33,She can guess that a forward claimed that Elvis is still alive over the, weekend,2.2658135890960693
34,The newspaper reported that a mix was used for the salad dressing, every,10.313940048217773
35,The newspaper reported that a mix was used for the salad dressing every, time,1.798140287399292
36,The newspaper reported that a mix was used for the salad dressing every time, she,4.214555740356445
37,The newspaper reported that a mix was used for the salad dressing every time she, cooked,4.675960540771484
38,We recall that a critique found support online, late,6.403581142425537
39,We recall that a critique found support online late, in,2.3248088359832764
40,We recall that a critique found support online late in, the,0.814321756362915
41,We recall that a critique found support online late in the, afternoon,5.134337902069092
42,I remember that a diatribe was published in the local newspaper, yesterday,5.073182582855225
43,I remember that a diatribe was published in the local newspaper yesterday, night,4.964940547943115
44,Our friend guessed that a picture appeared in the newspaper, yesterday,5.341165542602539
45,Our friend guessed that a picture appeared in the newspaper yesterday, afternoon,4.063894748687744
46,The mayor told me that a photograph was taken by the war correspondent, two,8.173856735229492
47,The mayor told me that a photograph was taken by the war correspondent two, days,0.9354832768440247
48,The mayor told me that a photograph was taken by the war correspondent two days, after,1.313225507736206
49,The mayor told me that a photograph was taken by the war correspondent two days after, the,0.43699929118156433
50,The mayor told me that a photograph was taken by the war correspondent two days after the, battle,4.562089920043945
51,My friend remembers that a description was disliked by the bishop, over,6.991827011108398
52,My friend remembers that a description was disliked by the bishop over, a,2.5352933406829834
53,My friend remembers that a description was disliked by the bishop over a, year,4.1882195472717285
54,My friend remembers that a description was disliked by the bishop over a year, ago,0.6141352653503418
55,The newspaper said that the present was imported from Italy, while,6.2056884765625
56,The newspaper said that the present was imported from Italy while, I,6.914437770843506
57,The newspaper said that the present was imported from Italy while I, was,0.7136095762252808
58,The newspaper said that the present was imported from Italy while I was, on,3.6270763874053955
59,The newspaper said that the present was imported from Italy while I was on, vacation,1.8169584274291992
60,Our neighbor said that the argument tore their marriage apart, yesterday,9.134209632873535
61,My friend told me that a proposal suggested increasing employe benefits, last,8.33062744140625
62,My friend told me that a proposal suggested increasing employe benefits last, evening,10.181181907653809
63,She can not believe that a conference took place downtown, last,4.914241313934326
64,She can not believe that a conference took place downtown last, spring,6.0672454833984375
65,I know that caused us to recommend therapy, last,7.07022762298584
66,I know that caused us to recommend therapy last, night,3.2416138648986816
67,I remember that cost a lot of money, at,4.50446081161499
68,I remember that cost a lot of money at, the,0.9679242372512817
69,I remember that cost a lot of money at the, last,6.42479944229126
70,I remember that cost a lot of money at the last, minute,1.4345602989196777
71,The newspaper reported that received favorable reviews, in,3.3994667530059814
72,The newspaper reported that received favorable reviews in, the,1.036302089691162
73,The newspaper reported that received favorable reviews in the, press,3.935720682144165
74,I know that fetched a high price at auction, sometime,9.892518043518066
