,surprisals,prefix,continuation
0,3.4332865e-05,I know that my brother said that our aunt devoured the cake<extra_id_0> ,.
1,3.2067812e-05,My neighbor told me that the fireman believes that the dog caught the cat<extra_id_0> ,.
2,2.0265785e-05,I know that our assistant believes that the committee delivered the report<extra_id_0> ,.
3,1.9550514e-05,You remember that I discovered that the water ruined the new carpet<extra_id_0> ,.
4,0.00012648906,She told me that the teacher suspects that the star student stole answers to the test<extra_id_0> ,.
5,3.3140732e-05,She knows that the expert can tell that the collector forged the painting<extra_id_0> ,.
6,9.322601e-05,We all remember that the politician said that the convict smuggled a gun<extra_id_0> ,.
7,0.00013197339,My friend reported that the banker predicts that the company will sell multiple assets<extra_id_0> ,.
8,3.4452078e-05,I have an idea about that the actor suspects that her rival sabotaged the audition<extra_id_0> ,.
9,0.00026915118,She can guess that our friend predicts that the movie star will be awarded an oscar<extra_id_0> ,.
10,9.143771e-05,The newspaper reported that the police know that the suspect killed the witness<extra_id_0> ,.
11,0.00025639244,We recall that the old lady heard that the hot tea warmed the young girl<extra_id_0> ,.
12,3.588264e-05,I remember that the doctor decided that the nurse should administer the new medicine<extra_id_0> ,.
13,1.7881554e-05,Our friend guessed that my friend discovered that the gossip column revealed family secrets<extra_id_0> ,.
14,6.032172e-05,The mayor told me that the town clerk heard that the town repaired the parking lot<extra_id_0> ,.
15,8.273467e-05,My friend remembers that the senator testified about that the government collected personal data<extra_id_0> ,.
16,3.719399e-05,The newspaper said that the bureaucrat discovered that the manager followed company regulations<extra_id_0> ,.
17,8.988784e-05,Our neighbor said that the professor intuits that the student despised the assigned materials<extra_id_0> ,.
18,7.1528135e-05,My friend told me that the consultant assumes that the university hired a new administrator<extra_id_0> ,.
19,2.2888446e-05,She can not believe that I forgot that my good friend married my cousin<extra_id_0> ,.
20,2.53919e-05,Our neighbor reminded us that she remembers that the tow truck hauled the wagon<extra_id_0> ,.
21,5.1857387e-05,The shop owner told me that the baker forgot that the restaurant prepared a new recipe<extra_id_0> ,.
22,8.118482e-05,My sister told me that our mother remembers that the newspaper published a scandalous story<extra_id_0> ,.
23,6.365978e-05,We remember that the judge decided that the lawyer must shred the evidence<extra_id_0> ,.
24,0.0015579074,I know that my brother said that our aunt devoured<extra_id_0> ,.
25,9.5252755e-05,My neighbor told me that the fireman believes that the dog caught<extra_id_0> ,.
26,0.008397513,I know that our assistant believes that the committee delivered<extra_id_0> ,.
27,0.03706616,You remember that I discovered that the water ruined<extra_id_0> ,.
28,0.03425662,She told me that the teacher suspects that the star student stole<extra_id_0> ,.
29,0.00020702837,She knows that the expert can tell that the collector forged<extra_id_0> ,.
30,0.0014086746,We all remember that the politician said that the convict smuggled<extra_id_0> ,.
31,1.0433621,My friend reported that the banker predicts that the company will sell<extra_id_0> ,.
32,0.00070334366,I have an idea about that the actor suspects that her rival sabotaged<extra_id_0> ,.
33,0.0044236127,She can guess that our friend predicts that the movie star will be awarded<extra_id_0> ,.
34,0.18052447,The newspaper reported that the police know that the suspect killed<extra_id_0> ,.
35,0.008270755,We recall that the old lady heard that the hot tea warmed<extra_id_0> ,.
36,0.06432969,I remember that the doctor decided that the nurse should administer<extra_id_0> ,.
37,0.00018175108,Our friend guessed that my friend discovered that the gossip column revealed<extra_id_0> ,.
38,0.19646265,The mayor told me that the town clerk heard that the town repaired<extra_id_0> ,.
39,0.06252867,My friend remembers that the senator testified about that the government collected<extra_id_0> ,.
40,2.7895363e-05,The newspaper said that the bureaucrat discovered that the manager followed<extra_id_0> ,.
41,0.01596267,Our neighbor said that the professor intuits that the student despised<extra_id_0> ,.
42,1.5798146,My friend told me that the consultant assumes that the university hired<extra_id_0> ,.
43,0.38794988,She can not believe that I forgot that my good friend married<extra_id_0> ,.
44,0.0073474497,Our neighbor reminded us that she remembers that the tow truck hauled<extra_id_0> ,.
45,0.0007221325,The shop owner told me that the baker forgot that the restaurant prepared<extra_id_0> ,.
46,0.00022705986,My sister told me that our mother remembers that the newspaper published<extra_id_0> ,.
47,0.010311176,We remember that the judge decided that the lawyer must shred<extra_id_0> ,.
48,3.0994895e-05,I know that my brother said whether our aunt devoured the cake<extra_id_0> ,.
49,3.647871e-05,My neighbor told me that the fireman believes whether the dog caught the cat<extra_id_0> ,.
50,1.9550514e-05,I know that our assistant believes whether the committee delivered the report<extra_id_0> ,.
51,2.1100266e-05,You remember that I discovered whether the water ruined the new carpet<extra_id_0> ,.
52,0.00017024536,She told me that the teacher suspects whether the star student stole answers to the test<extra_id_0> ,.
53,2.9802766e-05,She knows that the expert can tell whether the collector forged the painting<extra_id_0> ,.
54,0.00012327,We all remember that the politician said whether the convict smuggled a gun<extra_id_0> ,.
