,prefix,continuation,surprisals
0,I know that your tears signaled an indication, last,12.486741065979004
1,I know that your tears signaled an indication last, night,12.18893814086914
2,I remember that we all pitched in to buy the gift, at,7.896736145019531
3,I remember that we all pitched in to buy the gift at, the,3.7784833908081055
4,I remember that we all pitched in to buy the gift at the, last,11.309853553771973
5,I remember that we all pitched in to buy the gift at the last, minute,15.363155364990234
6,The newspaper reported that the critics reviewed the novel, in,9.6000337600708
7,The newspaper reported that the critics reviewed the novel in, the,3.931735038757324
8,The newspaper reported that the critics reviewed the novel in the, press,14.088180541992188
9,I know that the family bought the painting, sometime,17.021961212158203
10,I know that the family bought the painting sometime, last,12.240578651428223
11,I know that the family bought the painting sometime last, year,13.39686107635498
12,You remember that the spy sold the instructions, much,14.395435333251953
13,You remember that the spy sold the instructions much, to,5.59478759765625
14,You remember that the spy sold the instructions much to, our,10.523441314697266
15,You remember that the spy sold the instructions much to our, regret,14.557902336120605
16,She told me that he has had an allergy, ever,13.9812650680542
17,She told me that he has had an allergy ever, since,13.299384117126465
18,She told me that he has had an allergy ever since, he,10.430160522460938
19,She told me that he has had an allergy ever since he, was,6.656478404998779
20,She told me that he has had an allergy ever since he was, young,11.139335632324219
21,She knows that the doorman accepted the delivery, last,12.512681007385254
22,She knows that the doorman accepted the delivery last, Tuesday,14.128706932067871
23,We all remember that the mailman lost the package, in,9.179659843444824
24,We all remember that the mailman lost the package in, the,3.779418706893921
25,We all remember that the mailman lost the package in the, holiday,12.628190994262695
26,We all remember that the mailman lost the package in the holiday, rush,16.870532989501953
27,My friend reported that we listened to the symphony, yesterday,14.496997833251953
28,My friend reported that we listened to the symphony yesterday, night,13.32898235321045
29,I have an idea about that I saw the play, last,12.065253257751465
30,I have an idea about that I saw the play last, night,11.912979125976562
31,She can guess that my friend wrote a forward, over,8.918157577514648
32,She can guess that my friend wrote a forward over, the,3.7552096843719482
33,She can guess that my friend wrote a forward over the, weekend,14.12675952911377
34,The newspaper reported that she made the salad dressing from a mix, every,4.825159072875977
35,The newspaper reported that she made the salad dressing from a mix every, time,11.995420455932617
36,The newspaper reported that she made the salad dressing from a mix every time, she,11.196663856506348
37,The newspaper reported that she made the salad dressing from a mix every time she, cooked,16.016006469726562
38,We recall that the blogger drafted a critique, late,14.123527526855469
39,We recall that the blogger drafted a critique late, in,9.467534065246582
40,We recall that the blogger drafted a critique late in, the,3.8538451194763184
41,We recall that the blogger drafted a critique late in the, afternoon,14.7698974609375
42,I remember that the politician wrote a diatribe, yesterday,14.433760643005371
43,I remember that the politician wrote a diatribe yesterday, night,13.448596000671387
44,Our friend guessed that we saw a picture, yesterday,14.004916191101074
45,Our friend guessed that we saw a picture yesterday, afternoon,15.648695945739746
46,The mayor told me that the newspapers printed a photograph, two,12.944344520568848
47,The mayor told me that the newspapers printed a photograph two, days,14.399988174438477
48,The mayor told me that the newspapers printed a photograph two days, after,3.454418659210205
49,The mayor told me that the newspapers printed a photograph two days after, the,3.667862892150879
50,The mayor told me that the newspapers printed a photograph two days after the, battle,12.715097427368164
51,My friend remembers that the monk penned a description, over,9.174398422241211
52,My friend remembers that the monk penned a description over, a,3.5604333877563477
53,My friend remembers that the monk penned a description over a, year,13.27007007598877
54,My friend remembers that the monk penned a description over a year, ago,15.150859832763672
55,The newspaper said that I picked out the present, while,4.6553544998168945
56,The newspaper said that I picked out the present while, I,11.763964653015137
57,The newspaper said that I picked out the present while I, was,7.1856608390808105
58,The newspaper said that I picked out the present while I was, on,7.166754722595215
59,The newspaper said that I picked out the present while I was on, vacation,12.458648681640625
60,Our neighbor said that she won the argument, yesterday,14.125723838806152
61,My friend told me that he wrote a proposal, last,12.387094497680664
62,My friend told me that he wrote a proposal last, evening,13.895465850830078
63,She can not believe that we attended a conference, last,12.323797225952148
64,She can not believe that we attended a conference last, spring,13.352867126464844
65,I know that your tears signaled, last,12.133450508117676
66,I know that your tears signaled last, night,12.379240989685059
67,I remember that we all pitched in to buy, at,7.38020658493042
68,I remember that we all pitched in to buy at, the,3.7899060249328613
69,I remember that we all pitched in to buy at the, last,11.700729370117188
70,I remember that we all pitched in to buy at the last, minute,15.98555850982666
71,The newspaper reported that the critics reviewed, in,9.411364555358887
72,The newspaper reported that the critics reviewed in, the,3.9085090160369873
73,The newspaper reported that the critics reviewed in the, press,14.164140701293945
74,I know that the family bought, sometime,16.9038143157959
75,I know that the family bought sometime, last,12.25922679901123
76,I know that the family bought sometime last, year,13.477248191833496
77,You remember that the spy sold, much,13.792609214782715
78,You remember that the spy sold much, to,5.7780375480651855
79,You remember that the spy sold much to, our,10.750965118408203
80,You remember that the spy sold much to our, regret,14.589664459228516
81,She told me that he has had, ever,13.09221363067627
82,She told me that he has had ever, since,13.30548095703125
83,She told me that he has had ever since, he,10.45124626159668
84,She told me that he has had ever since he, was,6.662123680114746
85,She told me that he has had ever since he was, young,11.202068328857422
86,She knows that the doorman accepted, last,12.388543128967285
87,She knows that the doorman accepted last, Tuesday,14.36807632446289
88,We all remember that the mailman lost, in,9.249910354614258
89,We all remember that the mailman lost in, the,3.9857122898101807
90,We all remember that the mailman lost in the, holiday,12.722408294677734
91,We all remember that the mailman lost in the holiday, rush,16.66433334350586
92,My friend reported that we listened to, yesterday,14.17561149597168
93,My friend reported that we listened to yesterday, night,13.168451309204102
94,I have an idea about that I saw, last,11.907170295715332
95,I have an idea about that I saw last, night,12.177197456359863
96,She can guess that my friend wrote, over,8.890915870666504
97,She can guess that my friend wrote over, the,3.929438352584839
98,She can guess that my friend wrote over the, weekend,14.202998161315918
99,The newspaper reported that she made the salad dressing from, every,4.157444477081299
100,The newspaper reported that she made the salad dressing from every, time,12.294398307800293
101,The newspaper reported that she made the salad dressing from every time, she,11.34687328338623
102,The newspaper reported that she made the salad dressing from every time she, cooked,16.091907501220703
103,We recall that the blogger drafted, late,13.997032165527344
104,We recall that the blogger drafted late, in,9.577789306640625
105,We recall that the blogger drafted late in, the,3.9601588249206543
106,We recall that the blogger drafted late in the, afternoon,14.657804489135742
107,I remember that the politician wrote, yesterday,14.274895668029785
108,I remember that the politician wrote yesterday, night,13.478738784790039
109,Our friend guessed that we saw, yesterday,13.90084171295166
110,Our friend guessed that we saw yesterday, afternoon,15.674093246459961
111,The mayor told me that the newspapers printed, two,13.0230131149292
112,The mayor told me that the newspapers printed two, days,14.323960304260254
113,The mayor told me that the newspapers printed two days, after,3.6125295162200928
114,The mayor told me that the newspapers printed two days after, the,3.8486664295196533
115,The mayor told me that the newspapers printed two days after the, battle,12.870563507080078
116,My friend remembers that the monk penned, over,8.444022178649902
117,My friend remembers that the monk penned over, a,3.564124345779419
118,My friend remembers that the monk penned over a, year,13.298128128051758
119,My friend remembers that the monk penned over a year, ago,15.178618431091309
120,The newspaper said that I picked out, while,4.766977787017822
121,The newspaper said that I picked out while, I,11.877470970153809
122,The newspaper said that I picked out while I, was,6.632507801055908
123,The newspaper said that I picked out while I was, on,6.860438346862793
124,The newspaper said that I picked out while I was on, vacation,13.276810646057129
125,Our neighbor said that she won, yesterday,14.377861976623535
126,My friend told me that he wrote, last,12.266979217529297
127,My friend told me that he wrote last, evening,14.457910537719727
128,She can not believe that we attended, last,11.94692325592041
129,She can not believe that we attended last, spring,13.527827262878418
130,I know what your tears signaled an indication, last,12.53303050994873
131,I know what your tears signaled an indication last, night,12.479354858398438
132,I remember what we all pitched in to buy the gift, at,7.730844020843506
133,I remember what we all pitched in to buy the gift at, the,3.7740423679351807
134,I remember what we all pitched in to buy the gift at the, last,11.136053085327148
135,I remember what we all pitched in to buy the gift at the last, minute,15.365934371948242
136,The newspaper reported what the critics reviewed the novel, in,9.484911918640137
137,The newspaper reported what the critics reviewed the novel in, the,3.914832592010498
138,The newspaper reported what the critics reviewed the novel in the, press,13.995038986206055
139,I know what the family bought the painting, sometime,16.885427474975586
140,I know what the family bought the painting sometime, last,12.211125373840332
141,I know what the family bought the painting sometime last, year,13.415902137756348
142,You remember what the spy sold the instructions, much,14.30878734588623
143,You remember what the spy sold the instructions much, to,5.465583324432373
144,You remember what the spy sold the instructions much to, our,10.427815437316895
145,You remember what the spy sold the instructions much to our, regret,14.58050537109375
146,She told me what he has had an allergy, ever,13.98597526550293
147,She told me what he has had an allergy ever, since,12.99086856842041
148,She told me what he has had an allergy ever since, he,10.402402877807617
149,She told me what he has had an allergy ever since he, was,6.399728775024414
150,She told me what he has had an allergy ever since he was, young,11.215883255004883
151,She knows what the doorman accepted the delivery, last,12.482217788696289
152,She knows what the doorman accepted the delivery last, Tuesday,14.073835372924805
153,We all remember what the mailman lost the package, in,9.090657234191895
154,We all remember what the mailman lost the package in, the,3.862159490585327
155,We all remember what the mailman lost the package in the, holiday,12.518447875976562
156,We all remember what the mailman lost the package in the holiday, rush,16.88202667236328
157,My friend reported what we listened to the symphony, yesterday,14.449076652526855
158,My friend reported what we listened to the symphony yesterday, night,13.487374305725098
159,I have an idea about what I saw the play, last,12.043163299560547
160,I have an idea about what I saw the play last, night,12.089954376220703
161,She can guess what my friend wrote a forward, over,8.807781219482422
162,She can guess what my friend wrote a forward over, the,3.75911808013916
163,She can guess what my friend wrote a forward over the, weekend,13.899953842163086
164,The newspaper reported what she made the salad dressing from a mix, every,4.822499752044678
165,The newspaper reported what she made the salad dressing from a mix every, time,12.062163352966309
166,The newspaper reported what she made the salad dressing from a mix every time, she,11.229540824890137
167,The newspaper reported what she made the salad dressing from a mix every time she, cooked,16.017738342285156
168,We recall what the blogger drafted a critique, late,14.104316711425781
169,We recall what the blogger drafted a critique late, in,9.361641883850098
170,We recall what the blogger drafted a critique late in, the,3.8510220050811768
171,We recall what the blogger drafted a critique late in the, afternoon,14.654149055480957
172,I remember what the politician wrote a diatribe, yesterday,14.365158081054688
173,I remember what the politician wrote a diatribe yesterday, night,13.51053237915039
174,Our friend guessed what we saw a picture, yesterday,13.82735824584961
175,Our friend guessed what we saw a picture yesterday, afternoon,15.695518493652344
176,The mayor told me what the newspapers printed a photograph, two,12.824438095092773
177,The mayor told me what the newspapers printed a photograph two, days,14.491007804870605
178,The mayor told me what the newspapers printed a photograph two days, after,3.4592528343200684
179,The mayor told me what the newspapers printed a photograph two days after, the,3.7668826580047607
180,The mayor told me what the newspapers printed a photograph two days after the, battle,12.382662773132324
181,My friend remembers what the monk penned a description, over,9.108993530273438
182,My friend remembers what the monk penned a description over, a,3.5477535724639893
183,My friend remembers what the monk penned a description over a, year,13.182914733886719
184,My friend remembers what the monk penned a description over a year, ago,15.194439888000488
185,The newspaper said what I picked out the present, while,4.689625263214111
186,The newspaper said what I picked out the present while, I,11.58303451538086
187,The newspaper said what I picked out the present while I, was,6.943380832672119
188,The newspaper said what I picked out the present while I was, on,7.025410175323486
189,The newspaper said what I picked out the present while I was on, vacation,12.58226490020752
190,Our neighbor said what she won the argument, yesterday,13.96790885925293
191,My friend told me what he wrote a proposal, last,12.393105506896973
192,My friend told me what he wrote a proposal last, evening,14.11791706085205
193,She can not believe what we attended a conference, last,12.329901695251465
194,She can not believe what we attended a conference last, spring,13.387584686279297
195,I know what your tears signaled, last,12.03699016571045
196,I know what your tears signaled last, night,12.84538745880127
197,I remember what we all pitched in to buy, at,7.152127742767334
198,I remember what we all pitched in to buy at, the,3.737785816192627
199,I remember what we all pitched in to buy at the, last,11.64590835571289
200,I remember what we all pitched in to buy at the last, minute,15.951784133911133
201,The newspaper reported what the critics reviewed, in,9.299137115478516
202,The newspaper reported what the critics reviewed in, the,3.8754591941833496
203,The newspaper reported what the critics reviewed in the, press,14.072078704833984
204,I know what the family bought, sometime,16.717023849487305
205,I know what the family bought sometime, last,12.218318939208984
206,I know what the family bought sometime last, year,13.525410652160645
207,You remember what the spy sold, much,13.729125022888184
208,You remember what the spy sold much, to,5.58712100982666
209,You remember what the spy sold much to, our,10.610977172851562
210,You remember what the spy sold much to our, regret,14.644346237182617
211,She told me what he has had, ever,13.128421783447266
212,She told me what he has had ever, since,12.910890579223633
213,She told me what he has had ever since, he,10.414278030395508
214,She told me what he has had ever since he, was,6.37037992477417
215,She told me what he has had ever since he was, young,11.301216125488281
216,She knows what the doorman accepted, last,12.357332229614258
217,She knows what the doorman accepted last, Tuesday,14.37110710144043
218,We all remember what the mailman lost, in,9.109626770019531
219,We all remember what the mailman lost in, the,3.9369750022888184
220,We all remember what the mailman lost in the, holiday,12.641558647155762
221,We all remember what the mailman lost in the holiday, rush,16.65401268005371
222,My friend reported what we listened to, yesterday,14.00438404083252
223,My friend reported what we listened to yesterday, night,13.452800750732422
224,I have an idea about what I saw, last,11.88822078704834
225,I have an idea about what I saw last, night,12.55288028717041
226,She can guess what my friend wrote, over,8.611275672912598
227,She can guess what my friend wrote over, the,4.014090538024902
228,She can guess what my friend wrote over the, weekend,13.996142387390137
229,The newspaper reported what she made the salad dressing from, every,4.145663261413574
230,The newspaper reported what she made the salad dressing from every, time,12.377431869506836
231,The newspaper reported what she made the salad dressing from every time, she,11.392631530761719
232,The newspaper reported what she made the salad dressing from every time she, cooked,16.131322860717773
233,We recall what the blogger drafted, late,13.982088088989258
234,We recall what the blogger drafted late, in,9.391416549682617
235,We recall what the blogger drafted late in, the,3.940128803253174
236,We recall what the blogger drafted late in the, afternoon,14.461007118225098
237,I remember what the politician wrote, yesterday,14.162992477416992
238,I remember what the politician wrote yesterday, night,13.60977840423584
239,Our friend guessed what we saw, yesterday,13.60910701751709
240,Our friend guessed what we saw yesterday, afternoon,15.824134826660156
241,The mayor told me what the newspapers printed, two,12.934030532836914
242,The mayor told me what the newspapers printed two, days,14.430204391479492
243,The mayor told me what the newspapers printed two days, after,3.6316416263580322
244,The mayor told me what the newspapers printed two days after, the,3.821298599243164
245,The mayor told me what the newspapers printed two days after the, battle,12.557328224182129
246,My friend remembers what the monk penned, over,8.3075590133667
247,My friend remembers what the monk penned over, a,3.5675220489501953
248,My friend remembers what the monk penned over a, year,13.246387481689453
249,My friend remembers what the monk penned over a year, ago,15.24360179901123
250,The newspaper said what I picked out, while,4.707468509674072
251,The newspaper said what I picked out while, I,11.63779354095459
252,The newspaper said what I picked out while I, was,6.231552600860596
253,The newspaper said what I picked out while I was, on,6.717309474945068
254,The newspaper said what I picked out while I was on, vacation,13.360068321228027
255,Our neighbor said what she won, yesterday,14.122530937194824
256,My friend told me what he wrote, last,12.302872657775879
257,My friend told me what he wrote last, evening,14.909722328186035
258,She can not believe what we attended, last,11.899394035339355
259,She can not believe what we attended last, spring,13.63822078704834
