,prefix,continuation,surprisals
0,I know that your tears signaled an indication, last,12.490434646606445
1,I know that your tears signaled an indication last, night,11.959948539733887
2,I remember that we all pitched in to buy the gift, at,7.6955342292785645
3,I remember that we all pitched in to buy the gift at, the,3.1636953353881836
4,I remember that we all pitched in to buy the gift at the, last,11.451562881469727
5,I remember that we all pitched in to buy the gift at the last, minute,15.285250663757324
6,The newspaper reported that the critics reviewed the novel, in,9.642051696777344
7,The newspaper reported that the critics reviewed the novel in, the,3.548694610595703
8,The newspaper reported that the critics reviewed the novel in the, press,14.215429306030273
9,I know that the family bought the painting, sometime,16.995025634765625
10,I know that the family bought the painting sometime, last,12.282712936401367
11,I know that the family bought the painting sometime last, year,13.439286231994629
12,You remember that the spy sold the instructions, much,14.324771881103516
13,You remember that the spy sold the instructions much, to,5.100285530090332
14,You remember that the spy sold the instructions much to, our,10.449596405029297
15,You remember that the spy sold the instructions much to our, regret,14.672948837280273
16,She told me that he has had an allergy, ever,13.915956497192383
17,She told me that he has had an allergy ever, since,13.563350677490234
18,She told me that he has had an allergy ever since, he,10.527060508728027
19,She told me that he has had an allergy ever since he, was,7.459918022155762
20,She told me that he has had an allergy ever since he was, young,11.196866989135742
21,She knows that the doorman accepted the delivery, last,12.479076385498047
22,She knows that the doorman accepted the delivery last, Tuesday,13.99593448638916
23,We all remember that the mailman lost the package, in,9.18450927734375
24,We all remember that the mailman lost the package in, the,3.1022861003875732
25,We all remember that the mailman lost the package in the, holiday,12.617175102233887
26,We all remember that the mailman lost the package in the holiday, rush,16.853256225585938
27,My friend reported that we listened to the symphony, yesterday,14.685983657836914
28,My friend reported that we listened to the symphony yesterday, night,13.255010604858398
29,I have an idea about that I saw the play, last,12.138142585754395
30,I have an idea about that I saw the play last, night,11.824153900146484
31,She can guess that my friend wrote a forward, over,8.71389389038086
32,She can guess that my friend wrote a forward over, the,3.2870941162109375
33,She can guess that my friend wrote a forward over the, weekend,13.96176815032959
34,The newspaper reported that she made the salad dressing from a mix, every,5.036144733428955
35,The newspaper reported that she made the salad dressing from a mix every, time,11.617720603942871
36,The newspaper reported that she made the salad dressing from a mix every time, she,11.156261444091797
37,The newspaper reported that she made the salad dressing from a mix every time she, cooked,15.953967094421387
38,We recall that the blogger drafted a critique, late,13.939314842224121
39,We recall that the blogger drafted a critique late, in,9.520228385925293
40,We recall that the blogger drafted a critique late in, the,3.385399341583252
41,We recall that the blogger drafted a critique late in the, afternoon,14.794042587280273
42,I remember that the politician wrote a diatribe, yesterday,14.567075729370117
43,I remember that the politician wrote a diatribe yesterday, night,13.33993911743164
44,Our friend guessed that we saw a picture, yesterday,14.229341506958008
45,Our friend guessed that we saw a picture yesterday, afternoon,15.814632415771484
46,The mayor told me that the newspapers printed a photograph, two,12.838181495666504
47,The mayor told me that the newspapers printed a photograph two, days,14.238585472106934
48,The mayor told me that the newspapers printed a photograph two days, after,3.803825616836548
49,The mayor told me that the newspapers printed a photograph two days after, the,3.125551700592041
50,The mayor told me that the newspapers printed a photograph two days after the, battle,12.472495079040527
51,My friend remembers that the monk penned a description, over,8.88971996307373
52,My friend remembers that the monk penned a description over, a,3.0350193977355957
53,My friend remembers that the monk penned a description over a, year,13.361387252807617
54,My friend remembers that the monk penned a description over a year, ago,15.478174209594727
55,The newspaper said that I picked out the present, while,5.0186333656311035
56,The newspaper said that I picked out the present while, I,11.958386421203613
57,The newspaper said that I picked out the present while I, was,7.872856140136719
58,The newspaper said that I picked out the present while I was, on,6.775791645050049
59,The newspaper said that I picked out the present while I was on, vacation,12.212404251098633
60,Our neighbor said that she won the argument, yesterday,14.371058464050293
61,My friend told me that he wrote a proposal, last,12.38271427154541
62,My friend told me that he wrote a proposal last, evening,13.861568450927734
63,She can not believe that we attended a conference, last,12.350953102111816
64,She can not believe that we attended a conference last, spring,13.28023624420166
65,I know that your tears signaled, last,12.220677375793457
66,I know that your tears signaled last, night,12.089888572692871
67,I remember that we all pitched in to buy, at,7.240102291107178
68,I remember that we all pitched in to buy at, the,3.275582790374756
69,I remember that we all pitched in to buy at the, last,11.623823165893555
70,I remember that we all pitched in to buy at the last, minute,15.867704391479492
71,The newspaper reported that the critics reviewed, in,9.509455680847168
72,The newspaper reported that the critics reviewed in, the,3.504390239715576
73,The newspaper reported that the critics reviewed in the, press,14.22846508026123
74,I know that the family bought, sometime,16.96813201904297
75,I know that the family bought sometime, last,12.289823532104492
76,I know that the family bought sometime last, year,13.518798828125
77,You remember that the spy sold, much,13.762825012207031
78,You remember that the spy sold much, to,5.351117134094238
79,You remember that the spy sold much to, our,10.732157707214355
80,You remember that the spy sold much to our, regret,14.665157318115234
81,She told me that he has had, ever,13.078119277954102
82,She told me that he has had ever, since,13.613180160522461
83,She told me that he has had ever since, he,10.528626441955566
84,She told me that he has had ever since he, was,7.46882438659668
85,She told me that he has had ever since he was, young,11.236827850341797
86,She knows that the doorman accepted, last,12.357353210449219
87,She knows that the doorman accepted last, Tuesday,14.151433944702148
88,We all remember that the mailman lost, in,9.363590240478516
89,We all remember that the mailman lost in, the,3.3193976879119873
90,We all remember that the mailman lost in the, holiday,12.66191291809082
91,We all remember that the mailman lost in the holiday, rush,16.67169189453125
92,My friend reported that we listened to, yesterday,14.424643516540527
93,My friend reported that we listened to yesterday, night,13.069353103637695
94,I have an idea about that I saw, last,11.9881591796875
95,I have an idea about that I saw last, night,12.046058654785156
96,She can guess that my friend wrote, over,8.76620101928711
97,She can guess that my friend wrote over, the,3.345623016357422
98,She can guess that my friend wrote over the, weekend,14.019824028015137
99,The newspaper reported that she made the salad dressing from, every,4.286428451538086
100,The newspaper reported that she made the salad dressing from every, time,11.9547700881958
101,The newspaper reported that she made the salad dressing from every time, she,11.290477752685547
102,The newspaper reported that she made the salad dressing from every time she, cooked,15.965381622314453
103,We recall that the blogger drafted, late,13.872010231018066
104,We recall that the blogger drafted late, in,9.70998764038086
105,We recall that the blogger drafted late in, the,3.4387166500091553
106,We recall that the blogger drafted late in the, afternoon,14.759496688842773
107,I remember that the politician wrote, yesterday,14.484516143798828
108,I remember that the politician wrote yesterday, night,13.315799713134766
109,Our friend guessed that we saw, yesterday,14.203036308288574
110,Our friend guessed that we saw yesterday, afternoon,15.815751075744629
111,The mayor told me that the newspapers printed, two,12.928266525268555
112,The mayor told me that the newspapers printed two, days,14.166542053222656
113,The mayor told me that the newspapers printed two days, after,3.967039108276367
114,The mayor told me that the newspapers printed two days after, the,3.3525278568267822
115,The mayor told me that the newspapers printed two days after the, battle,12.71813678741455
116,My friend remembers that the monk penned, over,8.21225643157959
117,My friend remembers that the monk penned over, a,3.0295138359069824
118,My friend remembers that the monk penned over a, year,13.34388542175293
119,My friend remembers that the monk penned over a year, ago,15.468262672424316
120,The newspaper said that I picked out, while,5.3250627517700195
121,The newspaper said that I picked out while, I,12.152265548706055
122,The newspaper said that I picked out while I, was,7.337222099304199
123,The newspaper said that I picked out while I was, on,6.516841411590576
124,The newspaper said that I picked out while I was on, vacation,13.080514907836914
125,Our neighbor said that she won, yesterday,14.664724349975586
126,My friend told me that he wrote, last,12.28958511352539
127,My friend told me that he wrote last, evening,14.366897583007812
128,She can not believe that we attended, last,12.042254447937012
129,She can not believe that we attended last, spring,13.412322998046875
130,I know what your tears signaled an indication, last,12.508825302124023
131,I know what your tears signaled an indication last, night,12.20656967163086
132,I remember what we all pitched in to buy the gift, at,7.513940334320068
133,I remember what we all pitched in to buy the gift at, the,3.1309072971343994
134,I remember what we all pitched in to buy the gift at the, last,11.206766128540039
135,I remember what we all pitched in to buy the gift at the last, minute,15.244017601013184
136,The newspaper reported what the critics reviewed the novel, in,9.524298667907715
137,The newspaper reported what the critics reviewed the novel in, the,3.480431318283081
138,The newspaper reported what the critics reviewed the novel in the, press,14.101516723632812
139,I know what the family bought the painting, sometime,16.830026626586914
140,I know what the family bought the painting sometime, last,12.244695663452148
141,I know what the family bought the painting sometime last, year,13.432355880737305
142,You remember what the spy sold the instructions, much,14.22900104522705
143,You remember what the spy sold the instructions much, to,4.922998905181885
144,You remember what the spy sold the instructions much to, our,10.317497253417969
145,You remember what the spy sold the instructions much to our, regret,14.683073043823242
146,She told me what he has had an allergy, ever,13.935041427612305
147,She told me what he has had an allergy ever, since,13.203733444213867
148,She told me what he has had an allergy ever since, he,10.51093864440918
149,She told me what he has had an allergy ever since he, was,7.134483814239502
150,She told me what he has had an allergy ever since he was, young,11.27528190612793
151,She knows what the doorman accepted the delivery, last,12.454633712768555
152,She knows what the doorman accepted the delivery last, Tuesday,13.920561790466309
153,We all remember what the mailman lost the package, in,9.093332290649414
154,We all remember what the mailman lost the package in, the,3.070000648498535
155,We all remember what the mailman lost the package in the, holiday,12.426326751708984
156,We all remember what the mailman lost the package in the holiday, rush,16.85784149169922
157,My friend reported what we listened to the symphony, yesterday,14.586524963378906
158,My friend reported what we listened to the symphony yesterday, night,13.361067771911621
159,I have an idea about what I saw the play, last,12.091014862060547
160,I have an idea about what I saw the play last, night,11.934770584106445
161,She can guess what my friend wrote a forward, over,8.569035530090332
162,She can guess what my friend wrote a forward over, the,3.2080698013305664
163,She can guess what my friend wrote a forward over the, weekend,13.624523162841797
164,The newspaper reported what she made the salad dressing from a mix, every,5.006040573120117
165,The newspaper reported what she made the salad dressing from a mix every, time,11.666814804077148
166,The newspaper reported what she made the salad dressing from a mix every time, she,11.13913631439209
167,The newspaper reported what she made the salad dressing from a mix every time she, cooked,15.894869804382324
168,We recall what the blogger drafted a critique, late,13.913522720336914
169,We recall what the blogger drafted a critique late, in,9.410042762756348
170,We recall what the blogger drafted a critique late in, the,3.3380818367004395
171,We recall what the blogger drafted a critique late in the, afternoon,14.661884307861328
172,I remember what the politician wrote a diatribe, yesterday,14.487752914428711
173,I remember what the politician wrote a diatribe yesterday, night,13.394311904907227
174,Our friend guessed what we saw a picture, yesterday,14.029664993286133
175,Our friend guessed what we saw a picture yesterday, afternoon,15.819849014282227
176,The mayor told me what the newspapers printed a photograph, two,12.698692321777344
177,The mayor told me what the newspapers printed a photograph two, days,14.28920841217041
178,The mayor told me what the newspapers printed a photograph two days, after,3.809872627258301
179,The mayor told me what the newspapers printed a photograph two days after, the,3.161867141723633
180,The mayor told me what the newspapers printed a photograph two days after the, battle,12.1192626953125
181,My friend remembers what the monk penned a description, over,8.804452896118164
182,My friend remembers what the monk penned a description over, a,2.983041763305664
183,My friend remembers what the monk penned a description over a, year,13.195019721984863
184,My friend remembers what the monk penned a description over a year, ago,15.502935409545898
185,The newspaper said what I picked out the present, while,5.035015106201172
186,The newspaper said what I picked out the present while, I,11.85407543182373
187,The newspaper said what I picked out the present while I, was,7.707427501678467
188,The newspaper said what I picked out the present while I was, on,6.677104473114014
189,The newspaper said what I picked out the present while I was on, vacation,12.263656616210938
190,Our neighbor said what she won the argument, yesterday,14.183439254760742
191,My friend told me what he wrote a proposal, last,12.3983736038208
192,My friend told me what he wrote a proposal last, evening,14.034347534179688
193,She can not believe what we attended a conference, last,12.329930305480957
194,She can not believe what we attended a conference last, spring,13.225793838500977
195,I know what your tears signaled, last,12.165987968444824
196,I know what your tears signaled last, night,12.534453392028809
197,I remember what we all pitched in to buy, at,7.01938009262085
198,I remember what we all pitched in to buy at, the,3.200697183609009
199,I remember what we all pitched in to buy at the, last,11.53131103515625
200,I remember what we all pitched in to buy at the last, minute,15.852558135986328
201,The newspaper reported what the critics reviewed, in,9.393719673156738
202,The newspaper reported what the critics reviewed in, the,3.3861141204833984
203,The newspaper reported what the critics reviewed in the, press,14.096182823181152
204,I know what the family bought, sometime,16.78200340270996
205,I know what the family bought sometime, last,12.248988151550293
206,I know what the family bought sometime last, year,13.51474380493164
207,You remember what the spy sold, much,13.682929992675781
208,You remember what the spy sold much, to,5.093769550323486
209,You remember what the spy sold much to, our,10.581448554992676
210,You remember what the spy sold much to our, regret,14.678757667541504
211,She told me what he has had, ever,13.142607688903809
212,She told me what he has had ever, since,13.200213432312012
