,obj_that,obj_wh,pp_wh,subj_wh,emb_that,emb_wh,emb_whether,adj_that,adj_wh,adj_subj_that,adj_subj_wh,np_that,np_wh,pairID
0,The senator does figure out that all girls skated around that glacier for Jodi.,The senator does figure out what all girls skated around for Jodi.,The senator does figure out what all girls skated around that glacier for.,The senator does figure out what skated around that glacier.,Carl will find out that Roger figures out that every government found a cafe.,Carl will find out what Roger figures out that every government found.,Carl will find out that Roger figures out whether every government found a cafe.,Most teenagers do know that contractors are skating around most high schools while exploring the closet.,Most teenagers do know what contractors are skating around while exploring the closet.,Most teenagers do know that contractors hunted while exploring the closet are skating around most high schools.,Most teenagers do know what contractors hunted while exploring the closet are skating around.,Patrick investigated that a woman who shouldn't walk through a movie theater conceals the book.,Patrick investigated what a woman who shouldn't walk through a movie theater conceals.,0
1,The student hasn't discovered that this car looks like some painting for Curtis.,The student hasn't discovered what this car looks like for Curtis.,The student hasn't discovered what this car looks like some painting for.,The student hasn't discovered what looks like some painting.,Kristen would find out that Kendra forgot that those women go to those hills.,Kristen would find out what Kendra forgot that those women go to.,Kristen would find out that Kendra forgot whether those women go to those hills.,Andrea forgot that every goose broke most skateboards before breaking this couch.,Andrea forgot what every goose broke before breaking this couch.,Andrea forgot that every goose washed before breaking this couch broke most skateboards.,Andrea forgot what every goose washed before breaking this couch broke.,Every man might discover that all hats what weren't confusing that organization hinder Theodore.,Every man might discover who all hats what weren't confusing that organization hinder.,1
2,William hasn't learned that all carts are hindering some guy for Carl.,William hasn't learned who all carts are hindering for Carl.,William hasn't learned who all carts are hindering some guy for.,William hasn't learned who are hindering some guy.,Some committees investigate that that waitress discovered that some guy confused Omar.,Some committees investigate who that waitress discovered that some guy confused.,Some committees investigate that that waitress discovered whether some guy confused Omar.,Steve discovered that women bit Grace before holding Stephen.,Steve discovered who women bit before holding Stephen.,Steve discovered that women coped before holding Stephen bit Grace.,Steve discovered who women coped before holding Stephen bit.,Nancy wasn't finding out that these mirrors what resemble most paintings hurt Janet.,Nancy wasn't finding out who these mirrors what resemble most paintings hurt.,2
3,Christina can learn that every tutor escaped from Maria with Travis.,Christina can learn who every tutor escaped from with Travis.,Christina can learn who every tutor escaped from Maria with.,Christina can learn who escaped from Maria.,Scott hadn't revealed that Teresa isn't figuring out that a committee approached Meredith.,Scott hadn't revealed who Teresa isn't figuring out that a committee approached.,Scott hadn't revealed that Teresa isn't figuring out whether a committee approached Meredith.,All doctors had realized that the actress descends every slope without choosing these newspaper articles.,All doctors had realized what the actress descends without choosing these newspaper articles.,All doctors had realized that the actress gone bad without choosing these newspaper articles descends every slope.,All doctors had realized what the actress gone bad without choosing these newspaper articles descends.,Every guest hadn't learned that many waiters who exited this library weren't aggravating most lawyers.,Every guest hadn't learned who many waiters who exited this library weren't aggravating.,3
4,Jessica wasn't learning that most podiatrists are eating this pepper with Laura.,Jessica wasn't learning what most podiatrists are eating with Laura.,Jessica wasn't learning what most podiatrists are eating this pepper with.,Jessica wasn't learning what are eating this pepper.,Matt wasn't revealing that Amanda concealed that many students argue about that guest.,Matt wasn't revealing who Amanda concealed that many students argue about.,Matt wasn't revealing that Amanda concealed whether many students argue about that guest.,All associates realize that the student hasn't eaten these peppers after lifting the restaurants.,All associates realize what the student hasn't eaten after lifting the restaurants.,All associates realize that the student wasted away after lifting the restaurants hasn't eaten these peppers.,All associates realize what the student wasted away after lifting the restaurants hasn't eaten.,Pamela investigates that many teachers who hadn't hidden this vase haven't annoyed Katherine.,Pamela investigates who many teachers who hadn't hidden this vase haven't annoyed.,4
5,Mary figures out that that partner doesn't tear the dress with Gerald.,Mary figures out what that partner doesn't tear with Gerald.,Mary figures out what that partner doesn't tear the dress with.,Mary figures out what doesn't tear the dress.,The students remember that all associations investigate that some teachers observe Joseph.,The students remember who all associations investigate that some teachers observe.,The students remember that all associations investigate whether some teachers observe Joseph.,Every electrician isn't discovering that this tooth isn't aiding Bill after disgusting these organizations.,Every electrician isn't discovering who this tooth isn't aiding after disgusting these organizations.,Every electrician isn't discovering that this tooth shut after disgusting these organizations isn't aiding Bill.,Every electrician isn't discovering who this tooth shut after disgusting these organizations isn't aiding.,Those guests remember that that vase what resembled many sketches helps all guys.,Those guests remember who that vase what resembled many sketches helps.,5
6,People would learn that this child isn't making a lot of carts with Karen.,People would learn what this child isn't making with Karen.,People would learn what this child isn't making a lot of carts with.,People would learn what isn't making a lot of carts.,Theresa might realize that some library is finding out that most offspring drives that skateboard.,Theresa might realize what some library is finding out that most offspring drives.,Theresa might realize that some library is finding out whether most offspring drives that skateboard.,Jesus knows that adults were wearing most blouses after keeping these slopes.,Jesus knows what adults were wearing after keeping these slopes.,Jesus knows that adults distracted after keeping these slopes were wearing most blouses.,Jesus knows what adults distracted after keeping these slopes were wearing.,Dennis couldn't forget that those dentists who drive to that movie theater bent some dish.,Dennis couldn't forget what those dentists who drive to that movie theater bent.,6
7,Every waiter realized that every electrician bred hamsters with Richard.,Every waiter realized what every electrician bred with Richard.,Every waiter realized what every electrician bred hamsters with.,Every waiter realized what bred hamsters.,Amy does remember that many guests find out that these children sound like Douglas.,Amy does remember who many guests find out that these children sound like.,Amy does remember that many guests find out whether these children sound like Douglas.,The waiters aren't realizing that some dentists healed Sabrina after worrying Jason.,The waiters aren't realizing who some dentists healed after worrying Jason.,The waiters aren't realizing that some dentists tempted after worrying Jason healed Sabrina.,The waiters aren't realizing who some dentists tempted after worrying Jason healed.,Teenagers figure out that these actresses who upset Laurie aid Robert.,Teenagers figure out who these actresses who upset Laurie aid.,7
8,That podiatrist couldn't find out that the ladies weren't meeting Lawrence with Carrie.,That podiatrist couldn't find out who the ladies weren't meeting with Carrie.,That podiatrist couldn't find out who the ladies weren't meeting Lawrence with.,That podiatrist couldn't find out who weren't meeting Lawrence.,April didn't find out that a lot of organizations revealed that many partners examines this report.,April didn't find out what a lot of organizations revealed that many partners examines.,April didn't find out that a lot of organizations revealed whether many partners examines this report.,The hospitals conceal that those hairdressers were purchasing all doors after selling most pants.,The hospitals conceal what those hairdressers were purchasing after selling most pants.,The hospitals conceal that those hairdressers worked with after selling most pants were purchasing all doors.,The hospitals conceal what those hairdressers worked with after selling most pants were purchasing.,These ladies know that a print what looks like that waitress bores Carmen.,These ladies know who a print what looks like that waitress bores.,8
9,Dan finds out that many guests wouldn't fight some legislatures with Stacey.,Dan finds out what many guests wouldn't fight with Stacey.,Dan finds out what many guests wouldn't fight some legislatures with.,Dan finds out what wouldn't fight some legislatures.,Some guests know that a government was figuring out that every boy help Larry.,Some guests know who a government was figuring out that every boy help.,Some guests know that a government was figuring out whether every boy help Larry.,Walter has forgotten that that dancer kissed all teenagers before discovering Stacy.,Walter has forgotten who that dancer kissed before discovering Stacy.,Walter has forgotten that that dancer cooperated before discovering Stacy kissed all teenagers.,Walter has forgotten who that dancer cooperated before discovering Stacy kissed.,Judy isn't revealing that the mouse what bored Linda had hurt the actress.,Judy isn't revealing who the mouse what bored Linda had hurt.,9
