,prefix,continuation,surprisals
0,I know what my brother said that our aunt devoured the cake, at,4.753424644
1,I know what my brother said that our aunt devoured the cake at, the,0.649280131
2,I know what my brother said that our aunt devoured the cake at the, party,7.058772564
3,My neighbor told me what the fireman believes that the dog caught the cat, in,3.570546627
4,My neighbor told me what the fireman believes that the dog caught the cat in, the,0.899898291
5,My neighbor told me what the fireman believes that the dog caught the cat in the, garage,8.553092003
6,I know what our assistant believes that the committee delivered the report, by,6.278613567
7,I know what our assistant believes that the committee delivered the report by, the,0.861200631
8,I know what our assistant believes that the committee delivered the report by the, deadline,11.53522873
9,You remember what I discovered that the water ruined the new carpet, during,8.56606102
10,You remember what I discovered that the water ruined the new carpet during, the,0.573516965
11,You remember what I discovered that the water ruined the new carpet during the, flood,9.208081245
12,She told me what the teacher suspects that the star student stole answers to the test, last,7.019305229
13,She told me what the teacher suspects that the star student stole answers to the test last, semester,10.78475571
14,She knows what the expert can tell that the collector forged the painting, with,5.901216984
15,She knows what the expert can tell that the collector forged the painting with, the,0.759409904
16,She knows what the expert can tell that the collector forged the painting with the, help,10.43342304
17,She knows what the expert can tell that the collector forged the painting with the help, of,1.918195009
18,She knows what the expert can tell that the collector forged the painting with the help of, modern,8.94393158
19,She knows what the expert can tell that the collector forged the painting with the help of modern, technology,4.516541004
20,We all remember what the politician said that the convict smuggled a gun, into,6.164818287
21,We all remember what the politician said that the convict smuggled a gun into, the,0.647127569
22,We all remember what the politician said that the convict smuggled a gun into the, prison,6.668962479
23,My friend reported what the banker predicts that the company will sell multiple assets, next,10.30240822
24,My friend reported what the banker predicts that the company will sell multiple assets next, quarter,10.97912502
27,She can guess what our friend predicts that the movie star will be awarded an oscar, for,4.389517307
28,She can guess what our friend predicts that the movie star will be awarded an oscar for, her,4.763112545
29,She can guess what our friend predicts that the movie star will be awarded an oscar for her, hard,7.973882198
30,She can guess what our friend predicts that the movie star will be awarded an oscar for her hard, work,4.573927879
31,The newspaper reported who the police know that the suspect killed the witness, in,2.928918362
32,The newspaper reported who the police know that the suspect killed the witness in, the,0.711316168
33,The newspaper reported who the police know that the suspect killed the witness in the, middle,8.908518791
34,The newspaper reported who the police know that the suspect killed the witness in the middle, of,2.559399605
