,prefix,continuation,surprisals
0,The teacher realized what the student accepted before Christmas studied for the test, with,3.8675103187561035
1,The teacher realized what the student accepted before Christmas studied for the test with, great,11.821660041809082
2,The teacher realized what the student accepted before Christmas studied for the test with great, enthusiasm,16.5047664642334
3,The policeman discovered what the convict captured after investigation smuggled a gun, into,12.527076721191406
4,The policeman discovered what the convict captured after investigation smuggled a gun into, the,3.257322311401367
5,The policeman discovered what the convict captured after investigation smuggled a gun into the, prison,10.418366432189941
6,The shop owner realized what the waiter hired before curfew placed a candle, near,14.850504875183105
7,The shop owner realized what the waiter hired before curfew placed a candle near, the,3.5948257446289062
8,The shop owner realized what the waiter hired before curfew placed a candle near the, table,13.018542289733887
9,The committee asked what the banker promoted after the meeting sold a mortgage, with,3.7769968509674072
10,The committee asked what the banker promoted after the meeting sold a mortgage with, faulty,14.463661193847656
11,The committee asked what the banker promoted after the meeting sold a mortgage with faulty, credit,15.702336311340332
12,The first mate said what the sailor killed after the departure hauled a line, with,3.6133737564086914
13,The first mate said what the sailor killed after the departure hauled a line with, all,4.872015476226807
14,The first mate said what the sailor killed after the departure hauled a line with all, his,8.493261337280273
15,The first mate said what the sailor killed after the departure hauled a line with all his, might,8.765227317810059
16,The newspaper said what the soccer player injured before the game scored a goal, during,12.132681846618652
17,The newspaper said what the soccer player injured before the game scored a goal during, the,3.1839964389801025
18,The newspaper said what the soccer player injured before the game scored a goal during the, championship,13.855525970458984
19,The husband saw what the maid fired after the recession broke a vase, in,9.840959548950195
20,The husband saw what the maid fired after the recession broke a vase in, the,5.171054840087891
21,The husband saw what the maid fired after the recession broke a vase in the, hallway,13.8096342086792
22,The administrator discovered what the students taught before the pandemic wrote about philosophy, for,3.2255332469940186
23,The administrator discovered what the students taught before the pandemic wrote about philosophy for, their,8.720232963562012
24,The administrator discovered what the students taught before the pandemic wrote about philosophy for their, term,14.598944664001465
25,The administrator discovered what the students taught before the pandemic wrote about philosophy for their term, paper,14.552412986755371
26,My mother recalled what the fireman honored after the flood rescued her cat, from,6.820377349853516
27,My mother recalled what the fireman honored after the flood rescued her cat from, the,3.5414791107177734
28,My mother recalled what the fireman honored after the flood rescued her cat from the, burning,12.3330659866333
29,My mother recalled what the fireman honored after the flood rescued her cat from the burning, building,11.206646919250488
30,Our friend said what the customer served after the campaign bought the new car, on,6.3504557609558105
31,Our friend said what the customer served after the campaign bought the new car on, credit,14.165114402770996
32,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve, before,6.818596363067627
33,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve before, the,3.140500545501709
34,The memoir recounted what the tennis player trained before the Olympics was thinking about her serve before the, match,13.180032730102539
35,Your father noticed what the author recognized after the event signed a copy of his book, after,4.442829608917236
36,Your father noticed what the author recognized after the event signed a copy of his book after, the,3.1128129959106445
