,surprisals,prefix,continuation
0,9.104074,I know that an indication what depression caused us to recommend therapy<extra_id_0> ,last
1,4.311889,I know that an indication what depression caused us to recommend therapy last<extra_id_0> ,night
2,5.7364745,I remember that the gift who Mary cost a lot of money<extra_id_0> ,at
3,1.2825677,I remember that the gift who Mary cost a lot of money at<extra_id_0> ,the
4,5.90797,I remember that the gift who Mary cost a lot of money at the<extra_id_0> ,last
5,1.4495211,I remember that the gift who Mary cost a lot of money at the last<extra_id_0> ,minute
6,3.0349991,The newspaper reported that the novel who the famous author received favorable reviews<extra_id_0> ,in
7,1.0495671,The newspaper reported that the novel who the famous author received favorable reviews in<extra_id_0> ,the
8,2.9976487,The newspaper reported that the novel who the famous author received favorable reviews in the<extra_id_0> ,press
9,8.764865,I know that the painting who Monet fetched a high price at auction<extra_id_0> ,sometime
10,3.8486826,I know that the painting who Monet fetched a high price at auction sometime<extra_id_0> ,last
11,0.43387184,I know that the painting who Monet fetched a high price at auction sometime last<extra_id_0> ,year
12,10.636014,You remember that the instructions what the submarine fell into the furnace<extra_id_0> ,much
13,4.4968166,You remember that the instructions what the submarine fell into the furnace much<extra_id_0> ,to
14,4.6832895,You remember that the instructions what the submarine fell into the furnace much to<extra_id_0> ,our
15,6.4331255,You remember that the instructions what the submarine fell into the furnace much to our<extra_id_0> ,regret
16,7.951836,She told me that an allergy what peanuts causes him to avoid dining out<extra_id_0> ,ever
17,2.332469,She told me that an allergy what peanuts causes him to avoid dining out ever<extra_id_0> ,since
18,2.5335104,She told me that an allergy what peanuts causes him to avoid dining out ever since<extra_id_0> ,he
19,1.0644413,She told me that an allergy what peanuts causes him to avoid dining out ever since he<extra_id_0> ,was
20,4.0205674,She told me that an allergy what peanuts causes him to avoid dining out ever since he was<extra_id_0> ,young
21,5.5479693,She knows that the delivery who Sarah arrived around noon<extra_id_0> ,last
22,3.175287,She knows that the delivery who Sarah arrived around noon last<extra_id_0> ,Tuesday
23,4.927127,We all remember that the package who Robert got lost in the mail<extra_id_0> ,in
24,2.374119,We all remember that the package who Robert got lost in the mail in<extra_id_0> ,the
25,8.391,We all remember that the package who Robert got lost in the mail in the<extra_id_0> ,holiday
26,5.58805,We all remember that the package who Robert got lost in the mail in the holiday<extra_id_0> ,rush
27,8.1557665,My friend reported that the symphony who Mozart moved my mother to tears<extra_id_0> ,yesterday
28,3.257501,My friend reported that the symphony who Mozart moved my mother to tears yesterday<extra_id_0> ,night
29,6.6842833,I have an idea about that the play who the amateur comedian upset me<extra_id_0> ,last
30,1.6384656,I have an idea about that the play who the amateur comedian upset me last<extra_id_0> ,night
31,8.131628,She can guess that a forward what the new manuscript claimed that Elvis is still alive<extra_id_0> ,over
32,2.0051591,She can guess that a forward what the new manuscript claimed that Elvis is still alive over<extra_id_0> ,the
33,5.436003,She can guess that a forward what the new manuscript claimed that Elvis is still alive over the<extra_id_0> ,weekend
34,10.75677,The newspaper reported that a mix what oil and vinegar was used for the salad dressing<extra_id_0> ,every
35,2.8803957,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every<extra_id_0> ,time
36,5.147502,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every time<extra_id_0> ,she
37,4.4730034,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every time she<extra_id_0> ,cooked
38,10.955768,We recall that a critique what the fossil fuel industry found support online<extra_id_0> ,late
39,3.507994,We recall that a critique what the fossil fuel industry found support online late<extra_id_0> ,in
40,1.5079452,We recall that a critique what the fossil fuel industry found support online late in<extra_id_0> ,the
41,6.0935993,We recall that a critique what the fossil fuel industry found support online late in the<extra_id_0> ,afternoon
42,5.884613,I remember that a diatribe who the mayor was published in the local newspaper<extra_id_0> ,yesterday
43,3.9695644,I remember that a diatribe who the mayor was published in the local newspaper yesterday<extra_id_0> ,night
44,6.6223702,Our friend guessed that a picture who the convict appeared in the newspaper<extra_id_0> ,yesterday
45,6.0921183,Our friend guessed that a picture who the convict appeared in the newspaper yesterday<extra_id_0> ,afternoon
46,8.755666,The mayor told me that a photograph who the public was taken by the war correspondent<extra_id_0> ,two
47,1.891094,The mayor told me that a photograph who the public was taken by the war correspondent two<extra_id_0> ,days
48,2.3344998,The mayor told me that a photograph who the public was taken by the war correspondent two days<extra_id_0> ,after
49,0.69036525,The mayor told me that a photograph who the public was taken by the war correspondent two days after<extra_id_0> ,the
50,4.4839554,The mayor told me that a photograph who the public was taken by the war correspondent two days after the<extra_id_0> ,battle
51,7.868102,My friend remembers that a description what abbey life was disliked by the bishop<extra_id_0> ,over
52,2.7124085,My friend remembers that a description what abbey life was disliked by the bishop over<extra_id_0> ,a
53,3.4732566,My friend remembers that a description what abbey life was disliked by the bishop over a<extra_id_0> ,year
54,1.5755916,My friend remembers that a description what abbey life was disliked by the bishop over a year<extra_id_0> ,ago
55,9.5379715,The newspaper said that the present who Simon was imported from Italy<extra_id_0> ,while
56,5.439123,The newspaper said that the present who Simon was imported from Italy while<extra_id_0> ,I
57,4.02835,The newspaper said that the present who Simon was imported from Italy while I<extra_id_0> ,was
58,4.2318954,The newspaper said that the present who Simon was imported from Italy while I was<extra_id_0> ,on
59,1.279736,The newspaper said that the present who Simon was imported from Italy while I was on<extra_id_0> ,vacation
60,8.370923,Our neighbor said that the argument what childcare tore their marriage apart<extra_id_0> ,yesterday
61,8.569708,My friend told me that a proposal who the board suggested increasing employe benefits<extra_id_0> ,last
62,6.70263,My friend told me that a proposal who the board suggested increasing employe benefits last<extra_id_0> ,evening
63,7.5764356,She can not believe that a conference what cell evolution took place downtown<extra_id_0> ,last
64,5.4656816,She can not believe that a conference what cell evolution took place downtown last<extra_id_0> ,spring
65,8.674285,I know that an indication what caused us to recommend therapy<extra_id_0> ,last
66,4.293181,I know that an indication what caused us to recommend therapy last<extra_id_0> ,night
67,5.859683,I remember that the gift who cost a lot of money<extra_id_0> ,at
68,1.3527452,I remember that the gift who cost a lot of money at<extra_id_0> ,the
69,4.7963004,I remember that the gift who cost a lot of money at the<extra_id_0> ,last
70,2.1068447,I remember that the gift who cost a lot of money at the last<extra_id_0> ,minute
71,3.7712283,The newspaper reported that the novel who received favorable reviews<extra_id_0> ,in
72,1.531546,The newspaper reported that the novel who received favorable reviews in<extra_id_0> ,the
73,3.8383305,The newspaper reported that the novel who received favorable reviews in the<extra_id_0> ,press
74,9.565928,I know that the painting who fetched a high price at auction<extra_id_0> ,sometime
75,3.634968,I know that the painting who fetched a high price at auction sometime<extra_id_0> ,last
76,0.6533424,I know that the painting who fetched a high price at auction sometime last<extra_id_0> ,year
77,10.764593,You remember that the instructions what fell into the furnace<extra_id_0> ,much
78,5.2631674,You remember that the instructions what fell into the furnace much<extra_id_0> ,to
79,5.210995,You remember that the instructions what fell into the furnace much to<extra_id_0> ,our
80,7.5053196,You remember that the instructions what fell into the furnace much to our<extra_id_0> ,regret
81,8.362034,She told me that an allergy what causes him to avoid dining out<extra_id_0> ,ever
82,2.088006,She told me that an allergy what causes him to avoid dining out ever<extra_id_0> ,since
83,2.6396496,She told me that an allergy what causes him to avoid dining out ever since<extra_id_0> ,he
84,1.5709517,She told me that an allergy what causes him to avoid dining out ever since he<extra_id_0> ,was
85,4.0461993,She told me that an allergy what causes him to avoid dining out ever since he was<extra_id_0> ,young
86,5.9919834,She knows that the delivery who arrived around noon<extra_id_0> ,last
87,3.2920718,She knows that the delivery who arrived around noon last<extra_id_0> ,Tuesday
88,5.6263103,We all remember that the package who got lost in the mail<extra_id_0> ,in
89,1.2687612,We all remember that the package who got lost in the mail in<extra_id_0> ,the
90,8.507877,We all remember that the package who got lost in the mail in the<extra_id_0> ,holiday
91,5.3702817,We all remember that the package who got lost in the mail in the holiday<extra_id_0> ,rush
92,8.301997,My friend reported that the symphony who moved my mother to tears<extra_id_0> ,yesterday
93,3.3599617,My friend reported that the symphony who moved my mother to tears yesterday<extra_id_0> ,night
94,5.898673,I have an idea about that the play who upset me<extra_id_0> ,last
95,1.154146,I have an idea about that the play who upset me last<extra_id_0> ,night
96,8.009567,She can guess that a forward what claimed that Elvis is still alive<extra_id_0> ,over
97,2.011258,She can guess that a forward what claimed that Elvis is still alive over<extra_id_0> ,the
98,4.528415,She can guess that a forward what claimed that Elvis is still alive over the<extra_id_0> ,weekend
99,9.788829,The newspaper reported that a mix what was used for the salad dressing<extra_id_0> ,every
100,3.2135992,The newspaper reported that a mix what was used for the salad dressing every<extra_id_0> ,time
101,5.1919403,The newspaper reported that a mix what was used for the salad dressing every time<extra_id_0> ,she
102,5.0338864,The newspaper reported that a mix what was used for the salad dressing every time she<extra_id_0> ,cooked
103,9.871466,We recall that a critique what found support online<extra_id_0> ,late
104,3.669204,We recall that a critique what found support online late<extra_id_0> ,in
105,1.4638946,We recall that a critique what found support online late in<extra_id_0> ,the
106,5.7733126,We recall that a critique what found support online late in the<extra_id_0> ,afternoon
107,6.9292088,I remember that a diatribe who was published in the local newspaper<extra_id_0> ,yesterday
108,4.4543824,I remember that a diatribe who was published in the local newspaper yesterday<extra_id_0> ,night
109,6.551185,Our friend guessed that a picture who appeared in the newspaper<extra_id_0> ,yesterday
110,6.2570653,Our friend guessed that a picture who appeared in the newspaper yesterday<extra_id_0> ,afternoon
111,9.038722,The mayor told me that a photograph who was taken by the war correspondent<extra_id_0> ,two
112,1.8817198,The mayor told me that a photograph who was taken by the war correspondent two<extra_id_0> ,days
113,2.5391493,The mayor told me that a photograph who was taken by the war correspondent two days<extra_id_0> ,after
114,0.73791814,The mayor told me that a photograph who was taken by the war correspondent two days after<extra_id_0> ,the
115,4.3956347,The mayor told me that a photograph who was taken by the war correspondent two days after the<extra_id_0> ,battle
116,8.326947,My friend remembers that a description what was disliked by the bishop<extra_id_0> ,over
117,2.8000398,My friend remembers that a description what was disliked by the bishop over<extra_id_0> ,a
118,3.6575437,My friend remembers that a description what was disliked by the bishop over a<extra_id_0> ,year
119,1.4319319,My friend remembers that a description what was disliked by the bishop over a year<extra_id_0> ,ago
120,9.222832,The newspaper said that the present who was imported from Italy<extra_id_0> ,while
121,6.4171157,The newspaper said that the present who was imported from Italy while<extra_id_0> ,I
122,3.5682116,The newspaper said that the present who was imported from Italy while I<extra_id_0> ,was
123,4.2095656,The newspaper said that the present who was imported from Italy while I was<extra_id_0> ,on
124,0.83703196,The newspaper said that the present who was imported from Italy while I was on<extra_id_0> ,vacation
125,8.511576,Our neighbor said that the argument what tore their marriage apart<extra_id_0> ,yesterday
126,8.666782,My friend told me that a proposal who suggested increasing employe benefits<extra_id_0> ,last
127,6.0584407,My friend told me that a proposal who suggested increasing employe benefits last<extra_id_0> ,evening
128,6.9982123,She can not believe that a conference what took place downtown<extra_id_0> ,last
129,5.9366164,She can not believe that a conference what took place downtown last<extra_id_0> ,spring
130,8.49322,I know what an indication what depression caused us to recommend therapy<extra_id_0> ,last
131,3.9221764,I know what an indication what depression caused us to recommend therapy last<extra_id_0> ,night
132,5.871108,I remember who the gift who Mary cost a lot of money<extra_id_0> ,at
133,1.5488673,I remember who the gift who Mary cost a lot of money at<extra_id_0> ,the
134,5.449055,I remember who the gift who Mary cost a lot of money at the<extra_id_0> ,last
135,2.9065735,I remember who the gift who Mary cost a lot of money at the last<extra_id_0> ,minute
136,3.775457,The newspaper reported who the novel who the famous author received favorable reviews<extra_id_0> ,in
137,1.34625,The newspaper reported who the novel who the famous author received favorable reviews in<extra_id_0> ,the
138,3.3953884,The newspaper reported who the novel who the famous author received favorable reviews in the<extra_id_0> ,press
139,9.484279,I know who the painting who Monet fetched a high price at auction<extra_id_0> ,sometime
140,3.7890155,I know who the painting who Monet fetched a high price at auction sometime<extra_id_0> ,last
141,0.6191834,I know who the painting who Monet fetched a high price at auction sometime last<extra_id_0> ,year
142,10.35326,You remember what the instructions what the submarine fell into the furnace<extra_id_0> ,much
143,4.106765,You remember what the instructions what the submarine fell into the furnace much<extra_id_0> ,to
144,3.9951375,You remember what the instructions what the submarine fell into the furnace much to<extra_id_0> ,our
145,5.4878716,You remember what the instructions what the submarine fell into the furnace much to our<extra_id_0> ,regret
146,7.829565,She told me what an allergy what peanuts causes him to avoid dining out<extra_id_0> ,ever
147,2.8199537,She told me what an allergy what peanuts causes him to avoid dining out ever<extra_id_0> ,since
