,surprisals,prefix,continuation
0,4.847896,The teacher realized that the student in the first year was studying for the test<extra_id_0> ,with
1,4.9656644,The teacher realized that the student in the first year was studying for the test with<extra_id_0> ,great
2,2.996016,The teacher realized that the student in the first year was studying for the test with great<extra_id_0> ,enthusiasm
3,1.8463724,The policeman discovered that the convict with the shaved head smuggled a gun<extra_id_0> ,into
4,0.5728682,The policeman discovered that the convict with the shaved head smuggled a gun into<extra_id_0> ,the
5,3.2510974,The policeman discovered that the convict with the shaved head smuggled a gun into the<extra_id_0> ,prison
6,4.1920676,The shop owner realized that the waiter in the white jacket placed a candle<extra_id_0> ,near
7,0.6168294,The shop owner realized that the waiter in the white jacket placed a candle near<extra_id_0> ,the
8,2.552619,The shop owner realized that the waiter in the white jacket placed a candle near the<extra_id_0> ,table
9,5.28964,The committee asked that the banker from the big company sold a mortgage<extra_id_0> ,with
10,1.9603511,The committee asked that the banker from the big company sold a mortgage with<extra_id_0> ,faulty
11,3.2269645,The committee asked that the banker from the big company sold a mortgage with faulty<extra_id_0> ,credit
12,4.435125,The first mate said that the sailor in the rain jacket hauled a line<extra_id_0> ,with
13,5.9580607,The first mate said that the sailor in the rain jacket hauled a line with<extra_id_0> ,all
14,1.7810454,The first mate said that the sailor in the rain jacket hauled a line with all<extra_id_0> ,his
15,6.804917,The first mate said that the sailor in the rain jacket hauled a line with all his<extra_id_0> ,might
16,4.08877,The newspaper said that the soccer player from the rival team scored a goal<extra_id_0> ,during
17,0.4182657,The newspaper said that the soccer player from the rival team scored a goal during<extra_id_0> ,the
18,6.989067,The newspaper said that the soccer player from the rival team scored a goal during the<extra_id_0> ,championship
19,2.234891,The husband saw that the maid from the new cleaning service broke a vase<extra_id_0> ,in
20,0.9224924,The husband saw that the maid from the new cleaning service broke a vase in<extra_id_0> ,the
21,5.3847647,The husband saw that the maid from the new cleaning service broke a vase in the<extra_id_0> ,hallway
22,4.693277,The administrator discovered that the students who were all very diligent wrote about philosophy<extra_id_0> ,for
23,3.8932827,The administrator discovered that the students who were all very diligent wrote about philosophy for<extra_id_0> ,their
24,8.017515,The administrator discovered that the students who were all very diligent wrote about philosophy for their<extra_id_0> ,term
25,2.1428697,The administrator discovered that the students who were all very diligent wrote about philosophy for their term<extra_id_0> ,paper
26,1.3372734,My mother recalled that the fireman who only recently started working for the department rescued her cat<extra_id_0> ,from
27,1.4231893,My mother recalled that the fireman who only recently started working for the department rescued her cat from<extra_id_0> ,the
28,4.2084417,My mother recalled that the fireman who only recently started working for the department rescued her cat from the<extra_id_0> ,burning
