,surprisals,prefix,continuation
0,9.292067,I know that your tears signaled an indication which signaled depression<extra_id_0> ,last
1,1.7278463,I know that your tears signaled an indication which signaled depression last<extra_id_0> ,night
2,5.645059,I remember that we all pitched in to buy the gift which we bought Mary<extra_id_0> ,at
3,1.4412309,I remember that we all pitched in to buy the gift which we bought Mary at<extra_id_0> ,the
4,4.990939,I remember that we all pitched in to buy the gift which we bought Mary at the<extra_id_0> ,last
5,2.490896,I remember that we all pitched in to buy the gift which we bought Mary at the last<extra_id_0> ,minute
6,4.7482686,The newspaper reported that the critics reviewed the novel which provoked the famous author<extra_id_0> ,in
7,1.8009365,The newspaper reported that the critics reviewed the novel which provoked the famous author in<extra_id_0> ,the
8,3.883891,The newspaper reported that the critics reviewed the novel which provoked the famous author in the<extra_id_0> ,press
9,9.405078,I know that the family bought the painting which depicted Monet<extra_id_0> ,sometime
10,5.955534,I know that the family bought the painting which depicted Monet sometime<extra_id_0> ,last
11,0.44865763,I know that the family bought the painting which depicted Monet sometime last<extra_id_0> ,year
12,10.356637,You remember that the spy sold the instructions which showed how to operate the submarine<extra_id_0> ,much
13,3.135346,You remember that the spy sold the instructions which showed how to operate the submarine much<extra_id_0> ,to
14,4.7929,You remember that the spy sold the instructions which showed how to operate the submarine much to<extra_id_0> ,our
15,4.9657135,You remember that the spy sold the instructions which showed how to operate the submarine much to our<extra_id_0> ,regret
16,10.868667,She told me that he has had an allergy which is caused by peanuts<extra_id_0> ,ever
17,0.05594644,She told me that he has had an allergy which is caused by peanuts ever<extra_id_0> ,since
18,1.5780678,She told me that he has had an allergy which is caused by peanuts ever since<extra_id_0> ,he
19,0.29282492,She told me that he has had an allergy which is caused by peanuts ever since he<extra_id_0> ,was
20,4.3051643,She told me that he has had an allergy which is caused by peanuts ever since he was<extra_id_0> ,young
21,8.464301,She knows that the doorman accepted the delivery which shocked Sarah<extra_id_0> ,last
22,5.092015,She knows that the doorman accepted the delivery which shocked Sarah last<extra_id_0> ,Tuesday
23,3.1355703,We all remember that the mailman lost the package which Sarah described to Robert<extra_id_0> ,in
24,1.6351075,We all remember that the mailman lost the package which Sarah described to Robert in<extra_id_0> ,the
25,7.8499017,We all remember that the mailman lost the package which Sarah described to Robert in the<extra_id_0> ,holiday
26,8.825825,We all remember that the mailman lost the package which Sarah described to Robert in the holiday<extra_id_0> ,rush
27,8.34008,My friend reported that we listened to the symphony which was dedicated to Mozart<extra_id_0> ,yesterday
28,3.4588418,My friend reported that we listened to the symphony which was dedicated to Mozart yesterday<extra_id_0> ,night
29,7.165508,I have an idea about that I saw the play which delighted the amateur comedian<extra_id_0> ,last
30,1.2404467,I have an idea about that I saw the play which delighted the amateur comedian last<extra_id_0> ,night
31,8.449778,She can guess that my friend wrote a forward which introduced the new manuscript<extra_id_0> ,over
32,1.1754572,She can guess that my friend wrote a forward which introduced the new manuscript over<extra_id_0> ,the
33,3.9472632,She can guess that my friend wrote a forward which introduced the new manuscript over the<extra_id_0> ,weekend
34,11.884071,The newspaper reported that she made the salad dressing from a mix which included oil and vinegar<extra_id_0> ,every
35,1.8716078,The newspaper reported that she made the salad dressing from a mix which included oil and vinegar every<extra_id_0> ,time
36,0.6766508,The newspaper reported that she made the salad dressing from a mix which included oil and vinegar every time<extra_id_0> ,she
37,2.5750062,The newspaper reported that she made the salad dressing from a mix which included oil and vinegar every time she<extra_id_0> ,cooked
38,13.907634,We recall that the blogger drafted a critique which was aimed at the fossil fuel industry .<extra_id_0> ,late
39,3.003341,We recall that the blogger drafted a critique which was aimed at the fossil fuel industry . late<extra_id_0> ,in
40,1.135216,We recall that the blogger drafted a critique which was aimed at the fossil fuel industry . late in<extra_id_0> ,the
41,5.379576,We recall that the blogger drafted a critique which was aimed at the fossil fuel industry . late in the<extra_id_0> ,afternoon
42,8.248145,I remember that the politician wrote a diatribe that criticized the mayor<extra_id_0> ,yesterday
43,4.029855,I remember that the politician wrote a diatribe that criticized the mayor yesterday<extra_id_0> ,night
44,9.02342,Our friend guessed that we saw a picture which showed the convict<extra_id_0> ,yesterday
45,5.210515,Our friend guessed that we saw a picture which showed the convict yesterday<extra_id_0> ,afternoon
46,7.713081,The mayor told me that the newspapers printed a photograph which shocked the public<extra_id_0> ,two
47,1.0057347,The mayor told me that the newspapers printed a photograph which shocked the public two<extra_id_0> ,days
48,1.496271,The mayor told me that the newspapers printed a photograph which shocked the public two days<extra_id_0> ,after
49,0.8066038,The mayor told me that the newspapers printed a photograph which shocked the public two days after<extra_id_0> ,the
50,7.1956506,The mayor told me that the newspapers printed a photograph which shocked the public two days after the<extra_id_0> ,battle
51,8.118649,My friend remembers that the monk penned a description which mocked abbey life<extra_id_0> ,over
52,2.3699694,My friend remembers that the monk penned a description which mocked abbey life over<extra_id_0> ,a
53,3.1446567,My friend remembers that the monk penned a description which mocked abbey life over a<extra_id_0> ,year
54,0.53018284,My friend remembers that the monk penned a description which mocked abbey life over a year<extra_id_0> ,ago
55,7.5775294,The newspaper said that I picked out the present that we gave Simon<extra_id_0> ,while
56,1.9436562,The newspaper said that I picked out the present that we gave Simon while<extra_id_0> ,I
57,0.64242774,The newspaper said that I picked out the present that we gave Simon while I<extra_id_0> ,was
58,3.1930072,The newspaper said that I picked out the present that we gave Simon while I was<extra_id_0> ,on
59,2.2708538,The newspaper said that I picked out the present that we gave Simon while I was on<extra_id_0> ,vacation
60,8.781926,Our neighbor said that she won the argument which concerned childcare<extra_id_0> ,yesterday
61,7.3594155,My friend told me that he wrote a proposal which he will deliver to the board<extra_id_0> ,last
62,4.979104,My friend told me that he wrote a proposal which he will deliver to the board last<extra_id_0> ,evening
63,7.2891483,She can not believe that we attended a conference which popularized cell evolution<extra_id_0> ,last
64,5.024535,She can not believe that we attended a conference which popularized cell evolution last<extra_id_0> ,spring
65,9.094086,I know that your tears signaled an indication which signaled<extra_id_0> ,last
66,1.8427913,I know that your tears signaled an indication which signaled last<extra_id_0> ,night
67,3.424715,I remember that we all pitched in to buy the gift which we bought<extra_id_0> ,at
68,1.0507832,I remember that we all pitched in to buy the gift which we bought at<extra_id_0> ,the
69,4.9611325,I remember that we all pitched in to buy the gift which we bought at the<extra_id_0> ,last
70,2.257102,I remember that we all pitched in to buy the gift which we bought at the last<extra_id_0> ,minute
71,6.641616,The newspaper reported that the critics reviewed the novel which provoked<extra_id_0> ,in
72,2.2211204,The newspaper reported that the critics reviewed the novel which provoked in<extra_id_0> ,the
73,4.1346784,The newspaper reported that the critics reviewed the novel which provoked in the<extra_id_0> ,press
74,12.169767,I know that the family bought the painting which depicted<extra_id_0> ,sometime
75,6.9268775,I know that the family bought the painting which depicted sometime<extra_id_0> ,last
76,0.76394814,I know that the family bought the painting which depicted sometime last<extra_id_0> ,year
77,10.612263,You remember that the spy sold the instructions which showed how to operate<extra_id_0> ,much
78,6.279736,You remember that the spy sold the instructions which showed how to operate much<extra_id_0> ,to
79,5.611642,You remember that the spy sold the instructions which showed how to operate much to<extra_id_0> ,our
80,8.315484,You remember that the spy sold the instructions which showed how to operate much to our<extra_id_0> ,regret
81,11.365335,She told me that he has had an allergy which is caused by<extra_id_0> ,ever
82,2.5080934,She told me that he has had an allergy which is caused by ever<extra_id_0> ,since
83,1.8664601,She told me that he has had an allergy which is caused by ever since<extra_id_0> ,he
84,0.37139338,She told me that he has had an allergy which is caused by ever since he<extra_id_0> ,was
85,4.3615503,She told me that he has had an allergy which is caused by ever since he was<extra_id_0> ,young
86,9.855255,She knows that the doorman accepted the delivery which shocked<extra_id_0> ,last
87,6.7395997,She knows that the doorman accepted the delivery which shocked last<extra_id_0> ,Tuesday
88,8.18271,We all remember that the mailman lost the package which Sarah described to<extra_id_0> ,in
89,1.6301622,We all remember that the mailman lost the package which Sarah described to in<extra_id_0> ,the
90,7.769772,We all remember that the mailman lost the package which Sarah described to in the<extra_id_0> ,holiday
91,9.070143,We all remember that the mailman lost the package which Sarah described to in the holiday<extra_id_0> ,rush
92,10.682821,My friend reported that we listened to the symphony which was dedicated to<extra_id_0> ,yesterday
93,4.3052063,My friend reported that we listened to the symphony which was dedicated to yesterday<extra_id_0> ,night
94,9.479026,I have an idea about that I saw the play which delighted<extra_id_0> ,last
95,1.2688262,I have an idea about that I saw the play which delighted last<extra_id_0> ,night
96,8.8929825,She can guess that my friend wrote a forward which introduced<extra_id_0> ,over
97,2.4942117,She can guess that my friend wrote a forward which introduced over<extra_id_0> ,the
98,4.8787766,She can guess that my friend wrote a forward which introduced over the<extra_id_0> ,weekend
99,9.568616,The newspaper reported that she made the salad dressing from a mix which included<extra_id_0> ,every
100,9.000182,The newspaper reported that she made the salad dressing from a mix which included every<extra_id_0> ,time
101,1.2653146,The newspaper reported that she made the salad dressing from a mix which included every time<extra_id_0> ,she
