,surprisals,prefix,continuation
0,4.960389,I know that my brother said that our aunt devoured the cake<extra_id_0> ,at
1,1.5495734,I know that my brother said that our aunt devoured the cake at<extra_id_0> ,the
2,3.8077419,I know that my brother said that our aunt devoured the cake at the<extra_id_0> ,party
3,2.960818,My neighbor told me that the fireman believes that the dog caught the cat<extra_id_0> ,in
4,0.39711803,My neighbor told me that the fireman believes that the dog caught the cat in<extra_id_0> ,the
5,3.9843664,My neighbor told me that the fireman believes that the dog caught the cat in the<extra_id_0> ,garage
6,6.0451527,I know that our assistant believes that the committee delivered the report<extra_id_0> ,by
7,2.196256,I know that our assistant believes that the committee delivered the report by<extra_id_0> ,the
8,4.3617835,I know that our assistant believes that the committee delivered the report by the<extra_id_0> ,deadline
9,7.889903,You remember that I discovered that the water ruined the new carpet<extra_id_0> ,during
10,0.96662086,You remember that I discovered that the water ruined the new carpet during<extra_id_0> ,the
11,3.6879938,You remember that I discovered that the water ruined the new carpet during the<extra_id_0> ,flood
12,7.0144076,She told me that the teacher suspects that the star student stole answers to the test<extra_id_0> ,last
13,4.937399,She told me that the teacher suspects that the star student stole answers to the test last<extra_id_0> ,semester
14,5.8753552,She knows that the expert can tell that the collector forged the painting<extra_id_0> ,with
15,1.8883129,She knows that the expert can tell that the collector forged the painting with<extra_id_0> ,the
16,4.3357835,She knows that the expert can tell that the collector forged the painting with the<extra_id_0> ,help
17,0.052331407,She knows that the expert can tell that the collector forged the painting with the help<extra_id_0> ,of
18,7.710158,She knows that the expert can tell that the collector forged the painting with the help of<extra_id_0> ,modern
19,1.8286734,She knows that the expert can tell that the collector forged the painting with the help of modern<extra_id_0> ,technology
20,2.430543,We all remember that the politician said that the convict smuggled a gun<extra_id_0> ,into
21,1.0053692,We all remember that the politician said that the convict smuggled a gun into<extra_id_0> ,the
22,2.230658,We all remember that the politician said that the convict smuggled a gun into the<extra_id_0> ,prison
23,5.7049465,My friend reported that the banker predicts that the company will sell multiple assets<extra_id_0> ,next
24,4.734722,My friend reported that the banker predicts that the company will sell multiple assets next<extra_id_0> ,quarter
27,1.8533294,She can guess that our friend predicts that the movie star will be awarded an oscar<extra_id_0> ,for
28,1.18641,She can guess that our friend predicts that the movie star will be awarded an oscar for<extra_id_0> ,her
29,5.2851467,She can guess that our friend predicts that the movie star will be awarded an oscar for her<extra_id_0> ,hard
30,0.1534777,She can guess that our friend predicts that the movie star will be awarded an oscar for her hard<extra_id_0> ,work
31,3.0536265,The newspaper reported that the police know that the suspect killed the witness<extra_id_0> ,in
32,1.3521514,The newspaper reported that the police know that the suspect killed the witness in<extra_id_0> ,the
33,7.9197664,The newspaper reported that the police know that the suspect killed the witness in the<extra_id_0> ,middle
34,0.041906603,The newspaper reported that the police know that the suspect killed the witness in the middle<extra_id_0> ,of
35,0.6307359,The newspaper reported that the police know that the suspect killed the witness in the middle of<extra_id_0> ,the
36,1.348916,The newspaper reported that the police know that the suspect killed the witness in the middle of the<extra_id_0> ,night
37,6.3753715,We recall that the old lady heard that the hot tea warmed the young girl<extra_id_0> ,after
38,2.2732136,We recall that the old lady heard that the hot tea warmed the young girl after<extra_id_0> ,the
39,10.67169,We recall that the old lady heard that the hot tea warmed the young girl after the<extra_id_0> ,shocking
40,1.9549509,We recall that the old lady heard that the hot tea warmed the young girl after the shocking<extra_id_0> ,incident
41,2.6886306,I remember that the doctor decided that the nurse should administer the new medicine<extra_id_0> ,to
42,1.4046938,I remember that the doctor decided that the nurse should administer the new medicine to<extra_id_0> ,the
43,5.007743,I remember that the doctor decided that the nurse should administer the new medicine to the<extra_id_0> ,sick
44,2.4051468,I remember that the doctor decided that the nurse should administer the new medicine to the sick<extra_id_0> ,patient
45,4.463238,Our friend guessed that my friend discovered that the gossip column revealed family secrets<extra_id_0> ,to
46,1.9554144,Our friend guessed that my friend discovered that the gossip column revealed family secrets to<extra_id_0> ,the
47,6.715323,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the<extra_id_0> ,whole
48,5.639976,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the whole<extra_id_0> ,town
49,6.0258374,The mayor told me that the town clerk heard that the town repaired the parking lot<extra_id_0> ,over
50,0.8181122,The mayor told me that the town clerk heard that the town repaired the parking lot over<extra_id_0> ,the
51,1.557342,The mayor told me that the town clerk heard that the town repaired the parking lot over the<extra_id_0> ,summer
56,5.3114514,The newspaper said that the bureaucrat discovered that the manager followed company regulations<extra_id_0> ,during
57,0.8785786,The newspaper said that the bureaucrat discovered that the manager followed company regulations during<extra_id_0> ,the
58,5.7940526,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the<extra_id_0> ,financial
59,1.6982986,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the financial<extra_id_0> ,crisis
60,8.770873,Our neighbor said that the professor intuits that the student despised the assigned materials<extra_id_0> ,last
61,2.7639673,Our neighbor said that the professor intuits that the student despised the assigned materials last<extra_id_0> ,semester
62,4.951863,My friend told me that the consultant assumes that the university hired a new administrator<extra_id_0> ,last
63,1.9818597,My friend told me that the consultant assumes that the university hired a new administrator last<extra_id_0> ,week
64,6.1422315,She can not believe that I forgot that my good friend married my cousin<extra_id_0> ,last
65,6.193316,She can not believe that I forgot that my good friend married my cousin last<extra_id_0> ,winter
66,3.8241906,Our neighbor reminded us that she remembers that the tow truck hauled the wagon<extra_id_0> ,out
67,0.9279329,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out<extra_id_0> ,of
68,0.5078088,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of<extra_id_0> ,the
69,4.5199146,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of the<extra_id_0> ,ditch
70,6.512,The shop owner told me that the baker forgot that the restaurant prepared a new recipe<extra_id_0> ,earlier
71,3.0167146,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier<extra_id_0> ,that
