,surprisals,prefix,continuation
0,6.5869136,The teacher realized what the student in the first year was studying for the test<extra_id_0> ,with
1,4.170896,The teacher realized what the student in the first year was studying for the test with<extra_id_0> ,great
2,2.4900198,The teacher realized what the student in the first year was studying for the test with great<extra_id_0> ,enthusiasm
3,2.5473835,The policeman discovered what the convict with the shaved head smuggled a gun<extra_id_0> ,into
4,0.98914754,The policeman discovered what the convict with the shaved head smuggled a gun into<extra_id_0> ,the
5,3.1240673,The policeman discovered what the convict with the shaved head smuggled a gun into the<extra_id_0> ,prison
6,4.9838343,The shop owner realized what the waiter in the white jacket placed a candle<extra_id_0> ,near
7,1.6000868,The shop owner realized what the waiter in the white jacket placed a candle near<extra_id_0> ,the
8,1.4231751,The shop owner realized what the waiter in the white jacket placed a candle near the<extra_id_0> ,table
9,5.4375186,The committee asked what the banker from the big company sold a mortgage<extra_id_0> ,with
10,4.779936,The committee asked what the banker from the big company sold a mortgage with<extra_id_0> ,faulty
11,2.6363816,The committee asked what the banker from the big company sold a mortgage with faulty<extra_id_0> ,credit
12,4.2646494,The first mate said what the sailor in the rain jacket hauled a line<extra_id_0> ,with
13,6.768592,The first mate said what the sailor in the rain jacket hauled a line with<extra_id_0> ,all
14,1.4966222,The first mate said what the sailor in the rain jacket hauled a line with all<extra_id_0> ,his
15,5.465271,The first mate said what the sailor in the rain jacket hauled a line with all his<extra_id_0> ,might
16,5.7748137,The newspaper said what the soccer player from the rival team scored a goal<extra_id_0> ,during
17,0.44468486,The newspaper said what the soccer player from the rival team scored a goal during<extra_id_0> ,the
18,6.3599415,The newspaper said what the soccer player from the rival team scored a goal during the<extra_id_0> ,championship
19,2.6139379,The husband saw what the maid from the new cleaning service broke a vase<extra_id_0> ,in
20,1.1695919,The husband saw what the maid from the new cleaning service broke a vase in<extra_id_0> ,the
21,4.7039566,The husband saw what the maid from the new cleaning service broke a vase in the<extra_id_0> ,hallway
22,5.8654175,The administrator discovered what the students who were all very diligent wrote about philosophy<extra_id_0> ,for
23,2.8248878,The administrator discovered what the students who were all very diligent wrote about philosophy for<extra_id_0> ,their
24,8.651758,The administrator discovered what the students who were all very diligent wrote about philosophy for their<extra_id_0> ,term
25,2.4691172,The administrator discovered what the students who were all very diligent wrote about philosophy for their term<extra_id_0> ,paper
26,0.4803759,My mother recalled what the fireman who only recently started working for the department rescued her cat<extra_id_0> ,from
27,5.4667015,My mother recalled what the fireman who only recently started working for the department rescued her cat from<extra_id_0> ,the
28,3.81371,My mother recalled what the fireman who only recently started working for the department rescued her cat from the<extra_id_0> ,burning
29,2.1582675,My mother recalled what the fireman who only recently started working for the department rescued her cat from the burning<extra_id_0> ,building
30,5.2759027,Our friend said what the customer who had never owned a vehicle before bought the new car<extra_id_0> ,on
31,6.3161373,Our friend said what the customer who had never owned a vehicle before bought the new car on<extra_id_0> ,credit
32,7.5265565,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about her serve<extra_id_0> ,before
33,1.3928041,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about her serve before<extra_id_0> ,the
34,2.945378,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about her serve before the<extra_id_0> ,match
35,6.845082,Your father noticed what the author who the fans adored  signed a copy of his book<extra_id_0> ,after
36,2.584392,Your father noticed what the author who the fans adored  signed a copy of his book after<extra_id_0> ,the
37,5.3649235,Your father noticed what the author who the fans adored  signed a copy of his book after the<extra_id_0> ,reading
38,5.599812,The report described what the zoo keeper who was sleeping on the job lost track of a kangaroo<extra_id_0> ,at
39,1.2406296,The report described what the zoo keeper who was sleeping on the job lost track of a kangaroo at<extra_id_0> ,the
40,3.2097323,The report described what the zoo keeper who was sleeping on the job lost track of a kangaroo at the<extra_id_0> ,zoo
41,5.8899198,The reporter said what the citizens who cared about civic engagement talked about a new bill<extra_id_0> ,at
42,0.5959968,The reporter said what the citizens who cared about civic engagement talked about a new bill at<extra_id_0> ,the
43,5.5510416,The reporter said what the citizens who cared about civic engagement talked about a new bill at the<extra_id_0> ,town
44,0.2572736,The reporter said what the citizens who cared about civic engagement talked about a new bill at the town<extra_id_0> ,hall
45,2.9107742,The reporter said what the citizens who cared about civic engagement talked about a new bill at the town hall<extra_id_0> ,meeting
46,3.8075802,The assistant realized what the nurse in the white uniform comforted the patient<extra_id_0> ,in
47,1.6378312,The assistant realized what the nurse in the white uniform comforted the patient in<extra_id_0> ,the
48,5.6373234,The assistant realized what the nurse in the white uniform comforted the patient in the<extra_id_0> ,waiting
49,0.07265035,The assistant realized what the nurse in the white uniform comforted the patient in the waiting<extra_id_0> ,room
50,1.2032661,Your friend said what the librarian in the thick plastic glasses  placed the book<extra_id_0> ,on
51,3.3320477,Your friend said what the librarian in the thick plastic glasses  placed the book on<extra_id_0> ,the
52,6.117926,Your friend said what the librarian in the thick plastic glasses  placed the book on the<extra_id_0> ,wrong
53,1.6849186,Your friend said what the librarian in the thick plastic glasses  placed the book on the wrong<extra_id_0> ,shelf
54,11.645373,The witness realized what the lawyers in dark suits and ties shredded the documents<extra_id_0> ,late
55,2.847044,The witness realized what the lawyers in dark suits and ties shredded the documents late<extra_id_0> ,at
56,0.02776046,The witness realized what the lawyers in dark suits and ties shredded the documents late at<extra_id_0> ,night
57,7.026686,The article said what the chef who was originally from France prepared the soup<extra_id_0> ,before
58,2.7828019,The article said what the chef who was originally from France prepared the soup before<extra_id_0> ,the
59,3.5084493,The article said what the chef who was originally from France prepared the soup before the<extra_id_0> ,dinner
60,11.220283,The article said what the chef who was originally from France prepared the soup before the dinner<extra_id_0> ,rush
61,6.36459,The insurance company concluded what the taxi driver in the checkered cap hit the deer<extra_id_0> ,while
62,1.0203366,The insurance company concluded what the taxi driver in the checkered cap hit the deer while<extra_id_0> ,driving
63,11.750825,The insurance company concluded what the taxi driver in the checkered cap hit the deer while driving<extra_id_0> ,casually
64,8.388363,The museum director realized what the burglar who posed as a visitor stole the painting<extra_id_0> ,last
65,1.9472884,The museum director realized what the burglar who posed as a visitor stole the painting last<extra_id_0> ,night
66,7.1069036,The teacher realized what the student in the first year was studying for<extra_id_0> ,with
67,2.3548136,The teacher realized what the student in the first year was studying for with<extra_id_0> ,great
68,2.3315215,The teacher realized what the student in the first year was studying for with great<extra_id_0> ,enthusiasm
69,1.5168276,The policeman discovered what the convict with the shaved head smuggled<extra_id_0> ,into
70,0.7155369,The policeman discovered what the convict with the shaved head smuggled into<extra_id_0> ,the
71,2.8968225,The policeman discovered what the convict with the shaved head smuggled into the<extra_id_0> ,prison
72,7.3834176,The shop owner realized what the waiter in the white jacket placed<extra_id_0> ,near
73,0.97716033,The shop owner realized what the waiter in the white jacket placed near<extra_id_0> ,the
74,1.3430771,The shop owner realized what the waiter in the white jacket placed near the<extra_id_0> ,table
75,6.777043,The committee asked what the banker from the big company sold<extra_id_0> ,with
76,4.6680145,The committee asked what the banker from the big company sold with<extra_id_0> ,faulty
77,2.841376,The committee asked what the banker from the big company sold with faulty<extra_id_0> ,credit
78,4.3346963,The first mate said what the sailor in the rain jacket hauled<extra_id_0> ,with
79,7.6389647,The first mate said what the sailor in the rain jacket hauled with<extra_id_0> ,all
80,0.72438145,The first mate said what the sailor in the rain jacket hauled with all<extra_id_0> ,his
81,5.7814097,The first mate said what the sailor in the rain jacket hauled with all his<extra_id_0> ,might
82,6.538628,The newspaper said what the soccer player from the rival team scored<extra_id_0> ,during
83,0.40425935,The newspaper said what the soccer player from the rival team scored during<extra_id_0> ,the
84,6.5181,The newspaper said what the soccer player from the rival team scored during the<extra_id_0> ,championship
85,3.483473,The husband saw what the maid from the new cleaning service broke<extra_id_0> ,in
86,2.0950823,The husband saw what the maid from the new cleaning service broke in<extra_id_0> ,the
87,3.8349566,The husband saw what the maid from the new cleaning service broke in the<extra_id_0> ,hallway
88,6.1589074,The administrator discovered what the students who were all very diligent wrote about<extra_id_0> ,for
89,2.840099,The administrator discovered what the students who were all very diligent wrote about for<extra_id_0> ,their
90,8.464024,The administrator discovered what the students who were all very diligent wrote about for their<extra_id_0> ,term
91,3.647309,The administrator discovered what the students who were all very diligent wrote about for their term<extra_id_0> ,paper
92,1.8580954,My mother recalled what the fireman who only recently started working for the department rescued<extra_id_0> ,from
93,1.146294,My mother recalled what the fireman who only recently started working for the department rescued from<extra_id_0> ,the
94,2.9980125,My mother recalled what the fireman who only recently started working for the department rescued from the<extra_id_0> ,burning
95,2.1874108,My mother recalled what the fireman who only recently started working for the department rescued from the burning<extra_id_0> ,building
96,5.815104,Our friend said what the customer who had never owned a vehicle before bought<extra_id_0> ,on
97,7.5794997,Our friend said what the customer who had never owned a vehicle before bought on<extra_id_0> ,credit
98,5.758004,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about<extra_id_0> ,before
99,1.2808988,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about before<extra_id_0> ,the
100,3.8433652,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about before the<extra_id_0> ,match
101,6.834929,Your father noticed what the author who the fans adored  signed<extra_id_0> ,after
102,2.4541473,Your father noticed what the author who the fans adored  signed after<extra_id_0> ,the
103,5.3949013,Your father noticed what the author who the fans adored  signed after the<extra_id_0> ,reading
104,5.237676,The report described what the zoo keeper who was sleeping on the job lost track of<extra_id_0> ,at
105,0.809838,The report described what the zoo keeper who was sleeping on the job lost track of at<extra_id_0> ,the
106,4.740361,The report described what the zoo keeper who was sleeping on the job lost track of at the<extra_id_0> ,zoo
107,4.7978854,The reporter said what the citizens who cared about civic engagement talked about<extra_id_0> ,at
108,0.48449564,The reporter said what the citizens who cared about civic engagement talked about at<extra_id_0> ,the
109,5.3738513,The reporter said what the citizens who cared about civic engagement talked about at the<extra_id_0> ,town
110,0.25120085,The reporter said what the citizens who cared about civic engagement talked about at the town<extra_id_0> ,hall
111,2.163639,The reporter said what the citizens who cared about civic engagement talked about at the town hall<extra_id_0> ,meeting
112,6.561811,The assistant realized what the nurse in the white uniform comforted<extra_id_0> ,in
113,1.5644293,The assistant realized what the nurse in the white uniform comforted in<extra_id_0> ,the
