,surprisals,prefix,continuation
0,16.421612,I know that my brother said that our aunt devoured the cake<extra_id_0> ,at
1,9.929385,I know that my brother said that our aunt devoured the cake at<extra_id_0> ,the
2,7.7471714,I know that my brother said that our aunt devoured the cake at the<extra_id_0> ,party
3,13.81559,My neighbor told me that the fireman believes that the dog caught the cat<extra_id_0> ,in
4,7.096721,My neighbor told me that the fireman believes that the dog caught the cat in<extra_id_0> ,the
5,4.112553,My neighbor told me that the fireman believes that the dog caught the cat in the<extra_id_0> ,garage
6,17.818663,I know that our assistant believes that the committee delivered the report<extra_id_0> ,by
7,9.674321,I know that our assistant believes that the committee delivered the report by<extra_id_0> ,the
8,11.733751,I know that our assistant believes that the committee delivered the report by the<extra_id_0> ,deadline
9,17.466679,You remember that I discovered that the water ruined the new carpet<extra_id_0> ,during
10,7.95988,You remember that I discovered that the water ruined the new carpet during<extra_id_0> ,the
11,4.2354355,You remember that I discovered that the water ruined the new carpet during the<extra_id_0> ,flood
12,17.104004,She told me that the teacher suspects that the star student stole answers to the test<extra_id_0> ,last
13,14.917753,She told me that the teacher suspects that the star student stole answers to the test last<extra_id_0> ,semester
14,15.363709,She knows that the expert can tell that the collector forged the painting<extra_id_0> ,with
15,13.565749,She knows that the expert can tell that the collector forged the painting with<extra_id_0> ,the
16,5.7545295,She knows that the expert can tell that the collector forged the painting with the<extra_id_0> ,help
17,6.677215,She knows that the expert can tell that the collector forged the painting with the help<extra_id_0> ,of
18,17.349916,She knows that the expert can tell that the collector forged the painting with the help of<extra_id_0> ,modern
19,2.4657748,She knows that the expert can tell that the collector forged the painting with the help of modern<extra_id_0> ,technology
20,15.537951,We all remember that the politician said that the convict smuggled a gun<extra_id_0> ,into
21,4.7632666,We all remember that the politician said that the convict smuggled a gun into<extra_id_0> ,the
22,11.349928,We all remember that the politician said that the convict smuggled a gun into the<extra_id_0> ,prison
23,17.154888,My friend reported that the banker predicts that the company will sell multiple assets<extra_id_0> ,next
24,14.478881,My friend reported that the banker predicts that the company will sell multiple assets next<extra_id_0> ,quarter
25,17.797853,I have an idea about that the actor suspects that her rival sabotaged the audition<extra_id_0> ,last
26,7.612561,I have an idea about that the actor suspects that her rival sabotaged the audition last<extra_id_0> ,week
27,9.189079,She can guess that our friend predicts that the movie star will be awarded an oscar<extra_id_0> ,for
28,10.791015,She can guess that our friend predicts that the movie star will be awarded an oscar for<extra_id_0> ,her
29,17.223837,She can guess that our friend predicts that the movie star will be awarded an oscar for her<extra_id_0> ,hard
