,prefix,continuation,surprisals
0,I know that my brother said that our aunt devoured the cake, at,7.828573226928711
1,I know that my brother said that our aunt devoured the cake at, the,3.1488354206085205
2,I know that my brother said that our aunt devoured the cake at the, party,12.119048118591309
3,My neighbor told me that the fireman believes that the dog caught the cat, in,9.674867630004883
4,My neighbor told me that the fireman believes that the dog caught the cat in, the,4.010907173156738
5,My neighbor told me that the fireman believes that the dog caught the cat in the, garage,14.126995086669922
6,I know that our assistant believes that the committee delivered the report, by,8.526060104370117
7,I know that our assistant believes that the committee delivered the report by, the,3.3539910316467285
8,I know that our assistant believes that the committee delivered the report by the, deadline,14.570425987243652
9,You remember that I discovered that the water ruined the new carpet, during,11.79893970489502
10,You remember that I discovered that the water ruined the new carpet during, the,3.4110891819000244
11,You remember that I discovered that the water ruined the new carpet during the, flood,12.624312400817871
12,She told me that the teacher suspects that the star student stole answers to the test, last,12.416119575500488
13,She told me that the teacher suspects that the star student stole answers to the test last, semester,14.784122467041016
14,She knows that the expert can tell that the collector forged the painting, with,3.6810243129730225
15,She knows that the expert can tell that the collector forged the painting with, the,3.2227249145507812
16,She knows that the expert can tell that the collector forged the painting with the, help,9.98117446899414
17,She knows that the expert can tell that the collector forged the painting with the help, of,2.8913185596466064
18,She knows that the expert can tell that the collector forged the painting with the help of, modern,12.914156913757324
19,She knows that the expert can tell that the collector forged the painting with the help of modern, technology,14.479143142700195
20,We all remember that the politician said that the convict smuggled a gun, into,12.810506820678711
21,We all remember that the politician said that the convict smuggled a gun into, the,3.40091609954834
22,We all remember that the politician said that the convict smuggled a gun into the, prison,10.270210266113281
23,My friend reported that the banker predicts that the company will sell multiple assets, next,14.52267837524414
24,My friend reported that the banker predicts that the company will sell multiple assets next, quarter,14.661346435546875
25,I have an idea about that the actor suspects that her rival sabotaged the audition, last,12.347786903381348
26,I have an idea about that the actor suspects that her rival sabotaged the audition last, week,14.107425689697266
27,She can guess that our friend predicts that the movie star will be awarded an oscar, for,3.327482223510742
28,She can guess that our friend predicts that the movie star will be awarded an oscar for, her,7.804620742797852
29,She can guess that our friend predicts that the movie star will be awarded an oscar for her, hard,12.254705429077148
30,She can guess that our friend predicts that the movie star will be awarded an oscar for her hard, work,8.71066665649414
31,The newspaper reported that the police know that the suspect killed the witness, in,9.187520027160645
32,The newspaper reported that the police know that the suspect killed the witness in, the,3.9961636066436768
33,The newspaper reported that the police know that the suspect killed the witness in the, middle,12.25562858581543
34,The newspaper reported that the police know that the suspect killed the witness in the middle, of,3.7235708236694336
35,The newspaper reported that the police know that the suspect killed the witness in the middle of, the,3.6272966861724854
36,The newspaper reported that the police know that the suspect killed the witness in the middle of the, night,11.840624809265137
37,We recall that the old lady heard that the hot tea warmed the young girl, after,3.915682077407837
38,We recall that the old lady heard that the hot tea warmed the young girl after, the,3.2447097301483154
39,We recall that the old lady heard that the hot tea warmed the young girl after the, shocking,7.34989070892334
40,We recall that the old lady heard that the hot tea warmed the young girl after the shocking, incident,14.937939643859863
41,I remember that the doctor decided that the nurse should administer the new medicine, to,5.005836486816406
42,I remember that the doctor decided that the nurse should administer the new medicine to, the,3.5028398036956787
43,I remember that the doctor decided that the nurse should administer the new medicine to the, sick,11.456038475036621
44,I remember that the doctor decided that the nurse should administer the new medicine to the sick, patient,8.20410442352295
45,Our friend guessed that my friend discovered that the gossip column revealed family secrets, to,4.517717361450195
46,Our friend guessed that my friend discovered that the gossip column revealed family secrets to, the,3.4705893993377686
47,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the, whole,12.02929973602295
48,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the whole, town,13.97093677520752
49,The mayor told me that the town clerk heard that the town repaired the parking lot, over,9.12368106842041
50,The mayor told me that the town clerk heard that the town repaired the parking lot over, the,3.128911018371582
51,The mayor told me that the town clerk heard that the town repaired the parking lot over the, summer,12.485783576965332
52,My friend remembers that the senator testified about that the government collected personal data, over,9.36631965637207
53,My friend remembers that the senator testified about that the government collected personal data over, the,3.5208492279052734
54,My friend remembers that the senator testified about that the government collected personal data over the, past,12.412581443786621
55,My friend remembers that the senator testified about that the government collected personal data over the past, decade,16.110424041748047
56,The newspaper said that the bureaucrat discovered that the manager followed company regulations, during,12.408340454101562
57,The newspaper said that the bureaucrat discovered that the manager followed company regulations during, the,3.335320472717285
58,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the, financial,12.009627342224121
59,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the financial, crisis,13.718631744384766
60,Our neighbor said that the professor intuits that the student despised the assigned materials, last,12.551678657531738
61,Our neighbor said that the professor intuits that the student despised the assigned materials last, semester,14.214632034301758
62,My friend told me that the consultant assumes that the university hired a new administrator, last,12.804409980773926
63,My friend told me that the consultant assumes that the university hired a new administrator last, week,14.055580139160156
64,She can not believe that I forgot that my good friend married my cousin, last,12.525969505310059
65,She can not believe that I forgot that my good friend married my cousin last, winter,12.54482650756836
66,Our neighbor reminded us that she remembers that the tow truck hauled the wagon, out,5.36976957321167
67,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out, of,5.672898292541504
68,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of, the,3.14188814163208
69,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of the, ditch,14.75153923034668
70,The shop owner told me that the baker forgot that the restaurant prepared a new recipe, earlier,14.241681098937988
71,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier, that,3.285595178604126
72,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier that, week,14.902118682861328
73,My sister told me that our mother remembers that the newspaper published a scandalous story, last,12.358943939208984
74,My sister told me that our mother remembers that the newspaper published a scandalous story last, month,14.962052345275879
75,We remember that the judge decided that the lawyer must shred the evidence, before,6.435850143432617
76,We remember that the judge decided that the lawyer must shred the evidence before, the,3.105229377746582
77,We remember that the judge decided that the lawyer must shred the evidence before the, trial,11.89300537109375
78,I know that my brother said that our aunt devoured, at,7.944235801696777
79,I know that my brother said that our aunt devoured at, the,3.357372760772705
80,I know that my brother said that our aunt devoured at the, party,12.079549789428711
81,My neighbor told me that the fireman believes that the dog caught, in,9.465859413146973
82,My neighbor told me that the fireman believes that the dog caught in, the,3.232619047164917
83,My neighbor told me that the fireman believes that the dog caught in the, garage,14.225241661071777
84,I know that our assistant believes that the committee delivered, by,8.087255477905273
85,I know that our assistant believes that the committee delivered by, the,3.4094293117523193
86,I know that our assistant believes that the committee delivered by the, deadline,14.54895305633545
87,You remember that I discovered that the water ruined, during,11.709948539733887
88,You remember that I discovered that the water ruined during, the,3.5710132122039795
89,You remember that I discovered that the water ruined during the, flood,13.046344757080078
90,She told me that the teacher suspects that the star student stole, last,12.382193565368652
91,She told me that the teacher suspects that the star student stole last, semester,15.038185119628906
92,She knows that the expert can tell that the collector forged, with,3.026587724685669
93,She knows that the expert can tell that the collector forged with, the,3.263918876647949
94,She knows that the expert can tell that the collector forged with the, help,9.828152656555176
95,She knows that the expert can tell that the collector forged with the help, of,2.935331344604492
96,She knows that the expert can tell that the collector forged with the help of, modern,13.068239212036133
97,She knows that the expert can tell that the collector forged with the help of modern, technology,14.387103080749512
98,We all remember that the politician said that the convict smuggled, into,11.42319393157959
99,We all remember that the politician said that the convict smuggled into, the,3.39214825630188
100,We all remember that the politician said that the convict smuggled into the, prison,10.42561149597168
101,My friend reported that the banker predicts that the company will sell, next,14.513272285461426
102,My friend reported that the banker predicts that the company will sell next, quarter,14.687098503112793
103,I have an idea about that the actor suspects that her rival sabotaged, last,12.428733825683594
104,I have an idea about that the actor suspects that her rival sabotaged last, week,14.645791053771973
105,She can guess that our friend predicts that the movie star will be awarded, for,3.1268696784973145
106,She can guess that our friend predicts that the movie star will be awarded for, her,7.85879373550415
107,She can guess that our friend predicts that the movie star will be awarded for her, hard,13.20727252960205
108,She can guess that our friend predicts that the movie star will be awarded for her hard, work,10.007338523864746
109,The newspaper reported that the police know that the suspect killed, in,9.314982414245605
110,The newspaper reported that the police know that the suspect killed in, the,3.58742618560791
111,The newspaper reported that the police know that the suspect killed in the, middle,12.379803657531738
112,The newspaper reported that the police know that the suspect killed in the middle, of,3.788212537765503
113,The newspaper reported that the police know that the suspect killed in the middle of, the,3.5525476932525635
114,The newspaper reported that the police know that the suspect killed in the middle of the, night,11.770270347595215
115,We recall that the old lady heard that the hot tea warmed, after,4.2582244873046875
116,We recall that the old lady heard that the hot tea warmed after, the,3.1753222942352295
117,We recall that the old lady heard that the hot tea warmed after the, shocking,7.37117862701416
118,We recall that the old lady heard that the hot tea warmed after the shocking, incident,14.995495796203613
119,I remember that the doctor decided that the nurse should administer, to,4.255061149597168
120,I remember that the doctor decided that the nurse should administer to, the,3.306771993637085
121,I remember that the doctor decided that the nurse should administer to the, sick,11.598031997680664
122,I remember that the doctor decided that the nurse should administer to the sick, patient,8.883926391601562
123,Our friend guessed that my friend discovered that the gossip column revealed, to,4.421004295349121
124,Our friend guessed that my friend discovered that the gossip column revealed to, the,3.279017210006714
125,Our friend guessed that my friend discovered that the gossip column revealed to the, whole,12.362552642822266
126,Our friend guessed that my friend discovered that the gossip column revealed to the whole, town,13.695001602172852
127,The mayor told me that the town clerk heard that the town repaired, over,8.808740615844727
128,The mayor told me that the town clerk heard that the town repaired over, the,3.20181941986084
129,The mayor told me that the town clerk heard that the town repaired over the, summer,12.169096946716309
130,My friend remembers that the senator testified about that the government collected, over,8.686962127685547
131,My friend remembers that the senator testified about that the government collected over, the,3.3688507080078125
132,My friend remembers that the senator testified about that the government collected over the, past,12.452333450317383
133,My friend remembers that the senator testified about that the government collected over the past, decade,16.17218017578125
134,The newspaper said that the bureaucrat discovered that the manager followed, during,12.352413177490234
135,The newspaper said that the bureaucrat discovered that the manager followed during, the,3.2430410385131836
136,The newspaper said that the bureaucrat discovered that the manager followed during the, financial,11.873335838317871
137,The newspaper said that the bureaucrat discovered that the manager followed during the financial, crisis,13.531418800354004
138,Our neighbor said that the professor intuits that the student despised, last,12.372279167175293
139,Our neighbor said that the professor intuits that the student despised last, semester,14.740945816040039
140,My friend told me that the consultant assumes that the university hired, last,12.304731369018555
141,My friend told me that the consultant assumes that the university hired last, week,14.314753532409668
142,She can not believe that I forgot that my good friend married, last,12.686633110046387
143,She can not believe that I forgot that my good friend married last, winter,12.54847240447998
144,Our neighbor reminded us that she remembers that the tow truck hauled, out,4.626612663269043
145,Our neighbor reminded us that she remembers that the tow truck hauled out, of,4.199046611785889
146,Our neighbor reminded us that she remembers that the tow truck hauled out of, the,3.306208372116089
147,Our neighbor reminded us that she remembers that the tow truck hauled out of the, ditch,14.812036514282227
148,The shop owner told me that the baker forgot that the restaurant prepared, earlier,14.378829956054688
149,The shop owner told me that the baker forgot that the restaurant prepared earlier, that,3.1409053802490234
150,The shop owner told me that the baker forgot that the restaurant prepared earlier that, week,14.920760154724121
151,My sister told me that our mother remembers that the newspaper published, last,12.308377265930176
152,My sister told me that our mother remembers that the newspaper published last, month,14.673529624938965
153,We remember that the judge decided that the lawyer must shred, before,8.142875671386719
154,We remember that the judge decided that the lawyer must shred before, the,3.1387839317321777
155,We remember that the judge decided that the lawyer must shred before the, trial,12.034666061401367
156,I know that my brother said whether our aunt devoured the cake, at,7.729117393493652
157,I know that my brother said whether our aunt devoured the cake at, the,3.120267629623413
158,I know that my brother said whether our aunt devoured the cake at the, party,11.895658493041992
159,My neighbor told me that the fireman believes whether the dog caught the cat, in,9.607110977172852
160,My neighbor told me that the fireman believes whether the dog caught the cat in, the,3.808692455291748
161,My neighbor told me that the fireman believes whether the dog caught the cat in the, garage,14.007379531860352
162,I know that our assistant believes whether the committee delivered the report, by,8.394329071044922
163,I know that our assistant believes whether the committee delivered the report by, the,3.3102338314056396
164,I know that our assistant believes whether the committee delivered the report by the, deadline,14.505524635314941
165,You remember that I discovered whether the water ruined the new carpet, during,11.748443603515625
166,You remember that I discovered whether the water ruined the new carpet during, the,3.3938305377960205
167,You remember that I discovered whether the water ruined the new carpet during the, flood,12.588764190673828
168,She told me that the teacher suspects whether the star student stole answers to the test, last,12.421109199523926
169,She told me that the teacher suspects whether the star student stole answers to the test last, semester,14.721059799194336
170,She knows that the expert can tell whether the collector forged the painting, with,3.637519359588623
171,She knows that the expert can tell whether the collector forged the painting with, the,3.2342255115509033
172,She knows that the expert can tell whether the collector forged the painting with the, help,9.795083999633789
173,She knows that the expert can tell whether the collector forged the painting with the help, of,2.887146234512329
174,She knows that the expert can tell whether the collector forged the painting with the help of, modern,12.786567687988281
175,She knows that the expert can tell whether the collector forged the painting with the help of modern, technology,14.484013557434082
