,surprisals,prefix,continuation
0,5.140278,I know what my brother said that our aunt devoured the cake<extra_id_0> ,at
1,1.3632476,I know what my brother said that our aunt devoured the cake at<extra_id_0> ,the
2,3.674124,I know what my brother said that our aunt devoured the cake at the<extra_id_0> ,party
3,3.6315799,My neighbor told me what the fireman believes that the dog caught the cat<extra_id_0> ,in
4,0.61660165,My neighbor told me what the fireman believes that the dog caught the cat in<extra_id_0> ,the
5,4.2239375,My neighbor told me what the fireman believes that the dog caught the cat in the<extra_id_0> ,garage
6,5.8130293,I know what our assistant believes that the committee delivered the report<extra_id_0> ,by
7,2.0612254,I know what our assistant believes that the committee delivered the report by<extra_id_0> ,the
8,6.092318,I know what our assistant believes that the committee delivered the report by the<extra_id_0> ,deadline
9,7.8849225,You remember what I discovered that the water ruined the new carpet<extra_id_0> ,during
10,0.87047297,You remember what I discovered that the water ruined the new carpet during<extra_id_0> ,the
11,3.561949,You remember what I discovered that the water ruined the new carpet during the<extra_id_0> ,flood
12,6.9121346,She told me what the teacher suspects that the star student stole answers to the test<extra_id_0> ,last
13,5.190357,She told me what the teacher suspects that the star student stole answers to the test last<extra_id_0> ,semester
14,5.442587,She knows what the expert can tell that the collector forged the painting<extra_id_0> ,with
15,1.814038,She knows what the expert can tell that the collector forged the painting with<extra_id_0> ,the
16,4.669588,She knows what the expert can tell that the collector forged the painting with the<extra_id_0> ,help
17,0.10938811,She knows what the expert can tell that the collector forged the painting with the help<extra_id_0> ,of
18,7.7714577,She knows what the expert can tell that the collector forged the painting with the help of<extra_id_0> ,modern
19,2.4502401,She knows what the expert can tell that the collector forged the painting with the help of modern<extra_id_0> ,technology
20,2.6916606,We all remember what the politician said that the convict smuggled a gun<extra_id_0> ,into
21,1.0665851,We all remember what the politician said that the convict smuggled a gun into<extra_id_0> ,the
22,2.9113846,We all remember what the politician said that the convict smuggled a gun into the<extra_id_0> ,prison
23,7.070854,My friend reported what the banker predicts that the company will sell multiple assets<extra_id_0> ,next
24,4.628813,My friend reported what the banker predicts that the company will sell multiple assets next<extra_id_0> ,quarter
27,2.2277296,She can guess what our friend predicts that the movie star will be awarded an oscar<extra_id_0> ,for
28,0.8116549,She can guess what our friend predicts that the movie star will be awarded an oscar for<extra_id_0> ,her
29,5.3683777,She can guess what our friend predicts that the movie star will be awarded an oscar for her<extra_id_0> ,hard
30,0.16243035,She can guess what our friend predicts that the movie star will be awarded an oscar for her hard<extra_id_0> ,work
31,3.1007562,The newspaper reported who the police know that the suspect killed the witness<extra_id_0> ,in
32,1.2299942,The newspaper reported who the police know that the suspect killed the witness in<extra_id_0> ,the
33,7.6972938,The newspaper reported who the police know that the suspect killed the witness in the<extra_id_0> ,middle
34,0.10200851,The newspaper reported who the police know that the suspect killed the witness in the middle<extra_id_0> ,of
35,0.694925,The newspaper reported who the police know that the suspect killed the witness in the middle of<extra_id_0> ,the
36,1.4366646,The newspaper reported who the police know that the suspect killed the witness in the middle of the<extra_id_0> ,night
