,item,Correct,gap,island,C1,C2,Response
0,1,TRUE,no,that,I know what my brother said that our aunt devoured the cake,I know that my brother said that our aunt devoured the cake," ""I know that my brother said that our aunt devoured the cake"""
0,2,TRUE,no,that,My neighbor told me what the fireman believes that the dog caught the cat,My neighbor told me that the fireman believes that the dog caught the cat," ""My neighbor told me that the fireman believes that the dog caught the cat"""
0,3,TRUE,no,that,I know what our assistant believes that the committee delivered the report,I know that our assistant believes that the committee delivered the report," ""I know that our assistant believes that the committee delivered the report"""
0,4,TRUE,no,that,You remember what I discovered that the water ruined the new carpet,You remember that I discovered that the water ruined the new carpet," ""You remember that I discovered that the water ruined the new carpet"""
0,5,TRUE,no,that,She told me what the teacher suspects that the star student stole answers to the test,She told me that the teacher suspects that the star student stole answers to the test," ""She told me that the teacher suspects that the star student stole answers to the test"""
0,6,TRUE,no,that,She knows what the expert can tell that the collector forged the painting,She knows that the expert can tell that the collector forged the painting," ""She knows that the expert can tell that the collector forged the painting"""
0,7,TRUE,no,that,We all remember what the politician said that the convict smuggled a gun,We all remember that the politician said that the convict smuggled a gun," ""We all remember that the politician said that the convict smuggled a gun"""
0,8,TRUE,no,that,My friend reported what the banker predicts that the company will sell multiple assets,My friend reported that the banker predicts that the company will sell multiple assets," ""My friend reported that the banker predicts that the company will sell multiple assets"""
0,10,TRUE,no,that,She can guess what our friend predicts that the movie star will be awarded an oscar,She can guess that our friend predicts that the movie star will be awarded an oscar," ""She can guess that our friend predicts that the movie star will be awarded an oscar"""
0,11,TRUE,no,that,The newspaper reported who the police know that the suspect killed the witness,The newspaper reported that the police know that the suspect killed the witness," ""The newspaper reported that the police know that the suspect killed the witness"""
0,12,TRUE,no,that,We recall who the old lady heard that the hot tea warmed the young girl,We recall that the old lady heard that the hot tea warmed the young girl," ""We recall that the old lady heard that the hot tea warmed the young girl"""
0,13,TRUE,no,that,I remember what the doctor decided that the nurse should administer the new medicine,I remember that the doctor decided that the nurse should administer the new medicine," ""I remember that the doctor decided that the nurse should administer the new medicine"""
0,14,TRUE,no,that,Our friend guessed what my friend discovered that the gossip column revealed family secrets,Our friend guessed that my friend discovered that the gossip column revealed family secrets," ""Our friend guessed that my friend discovered that the gossip column revealed family secrets"""
0,15,TRUE,no,that,The mayor told me what the town clerk heard that the town repaired the parking lot,The mayor told me that the town clerk heard that the town repaired the parking lot," ""The mayor told me that the town clerk heard that the town repaired the parking lot"""
0,17,TRUE,no,that,The newspaper said what the bureaucrat discovered that the manager followed company regulations,The newspaper said that the bureaucrat discovered that the manager followed company regulations," ""The newspaper said that the bureaucrat discovered that the manager followed company regulations"""
0,18,TRUE,no,that,Our neighbor said what the professor intuits that the student despised the assigned materials,Our neighbor said that the professor intuits that the student despised the assigned materials," ""Our neighbor said that the professor intuits that the student despised the assigned materials"""
0,19,TRUE,no,that,My friend told me who the consultant assumes that the university hired a new administrator,My friend told me that the consultant assumes that the university hired a new administrator," ""My friend told me that the consultant assumes that the university hired a new administrator"""
0,20,TRUE,no,that,She can not believe who I forgot that my good friend married my cousin,She can not believe that I forgot that my good friend married my cousin," ""She can not believe that I forgot that my good friend married my cousin"""
0,21,TRUE,no,that,Our neighbor reminded us what she remembers that the tow truck hauled the wagon,Our neighbor reminded us that she remembers that the tow truck hauled the wagon," ""Our neighbor reminded us that she remembers that the tow truck hauled the wagon"""
0,22,TRUE,no,that,The shop owner told me what the baker forgot that the restaurant prepared a new recipe,The shop owner told me that the baker forgot that the restaurant prepared a new recipe," ""The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier that week."""
0,23,TRUE,no,that,My sister told me what our mother remembers that the newspaper published a scandalous story,My sister told me that our mother remembers that the newspaper published a scandalous story," ""My sister told me that our mother remembers that the newspaper published a scandalous story"""
0,24,TRUE,no,that,We remember what the judge decided that the lawyer must shred the evidence,We remember that the judge decided that the lawyer must shred the evidence," ""We remember that the judge decided that the lawyer must shred the evidence"""
0,1,FALSE,yes,that,I know what my brother said that our aunt devoured,I know that my brother said that our aunt devoured," ""I know that my brother said that our aunt devoured"""
0,2,FALSE,yes,that,My neighbor told me what the fireman believes that the dog caught,My neighbor told me that the fireman believes that the dog caught," ""My neighbor told me that the fireman believes that the dog caught"""
0,3,FALSE,yes,that,I know what our assistant believes that the committee delivered,I know that our assistant believes that the committee delivered," ""I know that our assistant believes that the committee delivered"""
0,4,FALSE,yes,that,You remember what I discovered that the water ruined,You remember that I discovered that the water ruined," ""You remember that I discovered that the water ruined"""
0,5,FALSE,yes,that,She told me what the teacher suspects that the star student stole,She told me that the teacher suspects that the star student stole," ""She told me that the teacher suspects that the star student stole"""
0,6,FALSE,yes,that,She knows what the expert can tell that the collector forged,She knows that the expert can tell that the collector forged," ""She knows that the expert can tell that the collector forged"""
0,7,FALSE,yes,that,We all remember what the politician said that the convict smuggled,We all remember that the politician said that the convict smuggled," ""We all remember that the politician said that the convict smuggled"""
0,8,FALSE,yes,that,My friend reported what the banker predicts that the company will sell,My friend reported that the banker predicts that the company will sell," ""My friend reported that the banker predicts that the company will sell"""
0,10,FALSE,yes,that,She can guess what our friend predicts that the movie star will be awarded,She can guess that our friend predicts that the movie star will be awarded," ""She can guess that our friend predicts that the movie star will be awarded""  for her hard work."
0,11,FALSE,yes,that,The newspaper reported who the police know that the suspect killed,The newspaper reported that the police know that the suspect killed," ""The newspaper reported that the police know that the suspect killed"""
0,12,FALSE,yes,that,We recall who the old lady heard that the hot tea warmed,We recall that the old lady heard that the hot tea warmed," ""We recall that the old lady heard that the hot tea warmed"""
0,13,FALSE,yes,that,I remember what the doctor decided that the nurse should administer,I remember that the doctor decided that the nurse should administer," ""I remember that the doctor decided that the nurse should administer"""
0,14,FALSE,yes,that,Our friend guessed what my friend discovered that the gossip column revealed,Our friend guessed that my friend discovered that the gossip column revealed," ""Our friend guessed that my friend discovered that the gossip column revealed"""
0,15,FALSE,yes,that,The mayor told me what the town clerk heard that the town repaired,The mayor told me that the town clerk heard that the town repaired," ""The mayor told me that the town clerk heard that the town repaired"""
0,17,FALSE,yes,that,The newspaper said what the bureaucrat discovered that the manager followed,The newspaper said that the bureaucrat discovered that the manager followed," ""The newspaper said that the bureaucrat discovered that the manager followed"""
