,emb_that,emb_wh,emb_whether,pairID
0,Carl will find out that Roger figures out that every government found a cafe.,Carl will find out what Roger figures out that every government found.,Carl will find out that Roger figures out whether every government found a cafe.,0
1,Kristen would find out that Kendra forgot that those women go to those hills.,Kristen would find out what Kendra forgot that those women go to.,Kristen would find out that Kendra forgot whether those women go to those hills.,1
2,Some committees investigate that that waitress discovered that some guy confused Omar.,Some committees investigate who that waitress discovered that some guy confused.,Some committees investigate that that waitress discovered whether some guy confused Omar.,2
3,Scott hadn't revealed that Teresa isn't figuring out that a committee approached Meredith.,Scott hadn't revealed who Teresa isn't figuring out that a committee approached.,Scott hadn't revealed that Teresa isn't figuring out whether a committee approached Meredith.,3
4,Matt wasn't revealing that Amanda concealed that many students argue about that guest.,Matt wasn't revealing who Amanda concealed that many students argue about.,Matt wasn't revealing that Amanda concealed whether many students argue about that guest.,4
5,The students remember that all associations investigate that some teachers observe Joseph.,The students remember who all associations investigate that some teachers observe.,The students remember that all associations investigate whether some teachers observe Joseph.,5
6,Theresa might realize that some library is finding out that most offspring drives that skateboard.,Theresa might realize what some library is finding out that most offspring drives.,Theresa might realize that some library is finding out whether most offspring drives that skateboard.,6
7,Amy does remember that many guests find out that these children sound like Douglas.,Amy does remember who many guests find out that these children sound like.,Amy does remember that many guests find out whether these children sound like Douglas.,7
8,April didn't find out that a lot of organizations revealed that many partners examines this report.,April didn't find out what a lot of organizations revealed that many partners examines.,April didn't find out that a lot of organizations revealed whether many partners examines this report.,8
9,Some guests know that a government was figuring out that every boy help Larry.,Some guests know who a government was figuring out that every boy help.,Some guests know that a government was figuring out whether every boy help Larry.,9
10,Russell wouldn't learn that some tutor figured out that those legislatures weren't listening to Jodi.,Russell wouldn't learn who some tutor figured out that those legislatures weren't listening to.,Russell wouldn't learn that some tutor figured out whether those legislatures weren't listening to Jodi.,10
11,Rodney hadn't discovered that this waiter concealed that every senator had hated a lot of dresses.,Rodney hadn't discovered what this waiter concealed that every senator had hated.,Rodney hadn't discovered that this waiter concealed whether every senator had hated a lot of dresses.,11
12,John remembers that patients remember that the customers writes that commentary.,John remembers what patients remember that the customers writes.,John remembers that patients remember whether the customers writes that commentary.,12
13,Most companies conceal that Andrew realizes that every alumnus watch Natalie.,Most companies conceal who Andrew realizes that every alumnus watch.,Most companies conceal that Andrew realizes whether every alumnus watch Natalie.,13
14,Andrew isn't finding out that Cynthia has found out that that government had complained about the people.,Andrew isn't finding out who Cynthia has found out that that government had complained about.,Andrew isn't finding out that Cynthia has found out whether that government had complained about the people.,14
15,Most teachers aren't concealing that most museums shouldn't know that all legislatures haven't taken those apples.,Most teachers aren't concealing what most museums shouldn't know that all legislatures haven't taken.,Most teachers aren't concealing that most museums shouldn't know whether all legislatures haven't taken those apples.,15
16,Those tutors aren't remembering that many actresses couldn't reveal that the French teachers aren't drawing those scarves.,Those tutors aren't remembering what many actresses couldn't reveal that the French teachers aren't drawing.,Those tutors aren't remembering that many actresses couldn't reveal whether the French teachers aren't drawing those scarves.,16
17,Noah discovers that this hospital has forgotten that those oncologists appreciates Theresa.,Noah discovers who this hospital has forgotten that those oncologists appreciates.,Noah discovers that this hospital has forgotten whether those oncologists appreciates Theresa.,17
18,Jessica investigated that some person does figure out that that dentist forgave Vanessa.,Jessica investigated who some person does figure out that that dentist forgave.,Jessica investigated that some person does figure out whether that dentist forgave Vanessa.,18
19,Carol was finding out that Anna is discovering that those contractors were cleaning those movie theaters.,Carol was finding out what Anna is discovering that those contractors were cleaning.,Carol was finding out that Anna is discovering whether those contractors were cleaning those movie theaters.,19
20,Russell figures out that Sally knows that some woman hadn't understood Sarah.,Russell figures out who Sally knows that some woman hadn't understood.,Russell figures out that Sally knows whether some woman hadn't understood Sarah.,20
21,All boys revealed that Emily isn't realizing that a doctor taught Larry.,All boys revealed who Emily isn't realizing that a doctor taught.,All boys revealed that Emily isn't realizing whether a doctor taught Larry.,21
22,Those waiters aren't investigating that Andrea doesn't know that a committee shouldn't bike to all malls.,Those waiters aren't investigating what Andrea doesn't know that a committee shouldn't bike to.,Those waiters aren't investigating that Andrea doesn't know whether a committee shouldn't bike to all malls.,22
23,John figures out that every waiter can't find out that that waiter shouldn't drop by some high school.,John figures out what every waiter can't find out that that waiter shouldn't drop by.,John figures out that every waiter can't find out whether that waiter shouldn't drop by some high school.,23
