,prefix,continuation,surprisals
0,I know that my brother said that our aunt devoured the cake, at,8.006425857543945
1,I know that my brother said that our aunt devoured the cake at, the,3.605172634124756
2,I know that my brother said that our aunt devoured the cake at the, party,12.058733940124512
3,My neighbor told me that the fireman believes that the dog caught the cat, in,9.659585952758789
4,My neighbor told me that the fireman believes that the dog caught the cat in, the,4.015007019042969
5,My neighbor told me that the fireman believes that the dog caught the cat in the, garage,14.253812789916992
6,I know that our assistant believes that the committee delivered the report, by,8.980692863464355
7,I know that our assistant believes that the committee delivered the report by, the,3.843832015991211
8,I know that our assistant believes that the committee delivered the report by the, deadline,14.811065673828125
9,You remember that I discovered that the water ruined the new carpet, during,11.686017036437988
10,You remember that I discovered that the water ruined the new carpet during, the,4.005311965942383
11,You remember that I discovered that the water ruined the new carpet during the, flood,12.74591064453125
12,She told me that the teacher suspects that the star student stole answers to the test, last,12.361560821533203
13,She told me that the teacher suspects that the star student stole answers to the test last, semester,14.865887641906738
14,She knows that the expert can tell that the collector forged the painting, with,4.657435417175293
15,She knows that the expert can tell that the collector forged the painting with, the,3.894615411758423
16,She knows that the expert can tell that the collector forged the painting with the, help,10.307570457458496
17,She knows that the expert can tell that the collector forged the painting with the help, of,3.292985439300537
18,She knows that the expert can tell that the collector forged the painting with the help of, modern,13.004134178161621
19,She knows that the expert can tell that the collector forged the painting with the help of modern, technology,14.527098655700684
20,We all remember that the politician said that the convict smuggled a gun, into,12.942679405212402
21,We all remember that the politician said that the convict smuggled a gun into, the,3.9402544498443604
22,We all remember that the politician said that the convict smuggled a gun into the, prison,10.530633926391602
23,My friend reported that the banker predicts that the company will sell multiple assets, next,14.467726707458496
24,My friend reported that the banker predicts that the company will sell multiple assets next, quarter,14.380424499511719
25,I have an idea about that the actor suspects that her rival sabotaged the audition, last,12.249687194824219
26,I have an idea about that the actor suspects that her rival sabotaged the audition last, week,14.20084285736084
27,She can guess that our friend predicts that the movie star will be awarded an oscar, for,4.212034702301025
28,She can guess that our friend predicts that the movie star will be awarded an oscar for, her,7.637111663818359
29,She can guess that our friend predicts that the movie star will be awarded an oscar for her, hard,12.645149230957031
30,She can guess that our friend predicts that the movie star will be awarded an oscar for her hard, work,9.506556510925293
31,The newspaper reported that the police know that the suspect killed the witness, in,9.185296058654785
32,The newspaper reported that the police know that the suspect killed the witness in, the,4.272734642028809
33,The newspaper reported that the police know that the suspect killed the witness in the, middle,12.275875091552734
34,The newspaper reported that the police know that the suspect killed the witness in the middle, of,4.198120594024658
35,The newspaper reported that the police know that the suspect killed the witness in the middle of, the,3.9537172317504883
36,The newspaper reported that the police know that the suspect killed the witness in the middle of the, night,12.017163276672363
37,We recall that the old lady heard that the hot tea warmed the young girl, after,3.6365067958831787
38,We recall that the old lady heard that the hot tea warmed the young girl after, the,3.8086698055267334
39,We recall that the old lady heard that the hot tea warmed the young girl after the, shocking,7.093402862548828
40,We recall that the old lady heard that the hot tea warmed the young girl after the shocking, incident,15.083393096923828
41,I remember that the doctor decided that the nurse should administer the new medicine, to,5.604547500610352
42,I remember that the doctor decided that the nurse should administer the new medicine to, the,3.8749420642852783
43,I remember that the doctor decided that the nurse should administer the new medicine to the, sick,11.556777954101562
44,I remember that the doctor decided that the nurse should administer the new medicine to the sick, patient,7.878565788269043
45,Our friend guessed that my friend discovered that the gossip column revealed family secrets, to,5.142738342285156
46,Our friend guessed that my friend discovered that the gossip column revealed family secrets to, the,4.044998645782471
47,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the, whole,12.17220687866211
48,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the whole, town,14.224662780761719
49,The mayor told me that the town clerk heard that the town repaired the parking lot, over,9.348773956298828
50,The mayor told me that the town clerk heard that the town repaired the parking lot over, the,3.4796061515808105
51,The mayor told me that the town clerk heard that the town repaired the parking lot over the, summer,12.624019622802734
52,My friend remembers that the senator testified about that the government collected personal data, over,9.626729965209961
53,My friend remembers that the senator testified about that the government collected personal data over, the,3.8073041439056396
54,My friend remembers that the senator testified about that the government collected personal data over the, past,12.45253849029541
55,My friend remembers that the senator testified about that the government collected personal data over the past, decade,15.94886589050293
56,The newspaper said that the bureaucrat discovered that the manager followed company regulations, during,12.364311218261719
57,The newspaper said that the bureaucrat discovered that the manager followed company regulations during, the,3.719204902648926
58,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the, financial,12.262048721313477
59,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the financial, crisis,13.798139572143555
60,Our neighbor said that the professor intuits that the student despised the assigned materials, last,12.574870109558105
61,Our neighbor said that the professor intuits that the student despised the assigned materials last, semester,14.204404830932617
62,My friend told me that the consultant assumes that the university hired a new administrator, last,12.790558815002441
63,My friend told me that the consultant assumes that the university hired a new administrator last, week,14.147149085998535
64,She can not believe that I forgot that my good friend married my cousin, last,12.528511047363281
65,She can not believe that I forgot that my good friend married my cousin last, winter,12.641267776489258
66,Our neighbor reminded us that she remembers that the tow truck hauled the wagon, out,5.548137187957764
67,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out, of,5.336741924285889
68,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of, the,3.7557220458984375
69,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of the, ditch,14.802543640136719
70,The shop owner told me that the baker forgot that the restaurant prepared a new recipe, earlier,14.09040355682373
71,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier, that,3.103046417236328
72,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier that, week,14.933684349060059
73,My sister told me that our mother remembers that the newspaper published a scandalous story, last,12.365654945373535
74,My sister told me that our mother remembers that the newspaper published a scandalous story last, month,14.91384220123291
75,We remember that the judge decided that the lawyer must shred the evidence, before,6.010996341705322
76,We remember that the judge decided that the lawyer must shred the evidence before, the,3.6268529891967773
77,We remember that the judge decided that the lawyer must shred the evidence before the, trial,12.097286224365234
78,I know that my brother said that our aunt devoured, at,8.095514297485352
79,I know that my brother said that our aunt devoured at, the,3.806523084640503
80,I know that my brother said that our aunt devoured at the, party,12.021440505981445
81,My neighbor told me that the fireman believes that the dog caught, in,9.368794441223145
82,My neighbor told me that the fireman believes that the dog caught in, the,3.9116170406341553
83,My neighbor told me that the fireman believes that the dog caught in the, garage,14.189533233642578
84,I know that our assistant believes that the committee delivered, by,8.490350723266602
85,I know that our assistant believes that the committee delivered by, the,3.8995842933654785
86,I know that our assistant believes that the committee delivered by the, deadline,14.728009223937988
87,You remember that I discovered that the water ruined, during,11.55048656463623
88,You remember that I discovered that the water ruined during, the,4.123190402984619
89,You remember that I discovered that the water ruined during the, flood,13.204453468322754
90,She told me that the teacher suspects that the star student stole, last,12.328263282775879
91,She told me that the teacher suspects that the star student stole last, semester,14.935273170471191
92,She knows that the expert can tell that the collector forged, with,3.930415153503418
93,She knows that the expert can tell that the collector forged with, the,3.835644483566284
94,She knows that the expert can tell that the collector forged with the, help,10.26663589477539
95,She knows that the expert can tell that the collector forged with the help, of,3.3708932399749756
96,She knows that the expert can tell that the collector forged with the help of, modern,13.048863410949707
97,She knows that the expert can tell that the collector forged with the help of modern, technology,14.473255157470703
98,We all remember that the politician said that the convict smuggled, into,11.487709045410156
99,We all remember that the politician said that the convict smuggled into, the,3.9731860160827637
100,We all remember that the politician said that the convict smuggled into the, prison,10.695345878601074
101,My friend reported that the banker predicts that the company will sell, next,14.435370445251465
102,My friend reported that the banker predicts that the company will sell next, quarter,14.52540111541748
103,I have an idea about that the actor suspects that her rival sabotaged, last,12.469956398010254
104,I have an idea about that the actor suspects that her rival sabotaged last, week,14.61092472076416
105,She can guess that our friend predicts that the movie star will be awarded, for,3.9825854301452637
106,She can guess that our friend predicts that the movie star will be awarded for, her,6.753769397735596
107,She can guess that our friend predicts that the movie star will be awarded for her, hard,13.594865798950195
108,She can guess that our friend predicts that the movie star will be awarded for her hard, work,10.602943420410156
109,The newspaper reported that the police know that the suspect killed, in,9.269745826721191
110,The newspaper reported that the police know that the suspect killed in, the,4.012216567993164
111,The newspaper reported that the police know that the suspect killed in the, middle,12.388104438781738
