id,full_paragraph
cj50_0," Unfortunately , however , and for reasons to be discussed in the following chapter , no rate relationships can be made completely nondiscriminatory as long as all or some of the rates must be set above marginal costs in order to yield adequate revenues . And this fact may explain some of the disagreements among the experts as to the more rational formulas for the apportionment of total costs among different units of service . One such disagreement , which will receive attention in this next chapter , concerns the question whether rates for different kinds of service , in order to avoid the attribute of discrimination , must be made directly proportional to marginal costs , or whether they should be based instead on differences in marginal costs . Here , the choice is that between the horns of a dilemma ."
cf08_37," One such wife , Dr. Linden says , became disgusted with her weak husband and flurried through a series of extramarital affairs in the hope of finding a stronger man . But her personality was such that each affair lasted only until that lover , too , had been conquered and reduced to passivity . Then the wife bed-hopped to the next on the list ."
cl06_11," The kick came , sudden and vicious but short . Mickey's guts twisted with the effort , but he kept his eye on the weapon . It moved in a silver arc toward his throat , then veered downward . He hunched his left shoulder into it and slashed at Roberts' forearm with his own , felt the blade slide off his sleeve . Before Roberts could move inside to cut upward toward his face , he slammed his right fist into Roberts' belly . Roberts sagged and slashed at him wildly . Ducking , Mickey tripped and fell to one side , landing heavily on the wood floor . Then Roberts was on him , gasping for breath and for a couple of seconds Mickey lost sight of the blade . He felt it rip at the side of his jacket and a momentary sting under his left ribs . He got a knee up into Roberts' belly , used both hands and heaved him clear , then scrambled to his feet . They were in the center of the lobby now . Still clutching the razor , Roberts came up into a crouch , shaking his head . When he charged Mickey was ready . He hit Roberts with his left fist in the ribs and the razor cut toward him feebly , then wobbled in mid-air . With his right fist , and nearly all his weight behind it , he smashed at the bloodstained face ."
cl06_28," In the garage he checked the Jeep for signs of the use he had made of it . There were stains here and there and he cleaned them off , using an oiled rag he found on a nail . He wiped the steering wheel and all the places he might have touched the Jeep . He replaced the flashlight where it had been stowed , got into his own car and backed it out of the garage . There were tire marks where it had been , but they were overlapped by others and on the dusty floor would not be noticeable except under close scrutiny . Liz Peabody , he thought , might spend some time grieving for her lost lover , but he doubted that she would launch an investigation . He judged her to be a woman of some pride , though not much sense . Still she would probably have sense enough not to call in the local sheriff to find her boy friend who , apparently , had run away ."
cf30_4," Dartmouth students enjoy other unusual diversions with equal sang-froid . For example , groups regularly canoe down the Connecticut River . This is in honor of John Ledyard , class of 1773 , who scooped a canoe out of a handy tree and first set the course way back in his own student days . And these hardy travelers are not unappreciated today . They are hailed by the nation's press , and Smith girls throng the riverbanks at Northampton and refresh the voyageurs with hot soup and kisses ."
cf30_20," Dartmouth is numerically still a small college today , with approximately twenty-nine hundred undergraduates . But it has achieved a cross-section of students from almost all the states , and two-thirds of its undergraduates come from outside New England . Over 450 different schools are usually represented in each entering class . Only a dozen or so schools send as many as six students , and there are seldom more than fifteen men in any single delegation . About two-thirds of the boys now come from public schools ."
cj61_4," For the use of students and future restorers , a full , day-by-day record was kept of all three undertakings , complete technical reports on what we found and what we did . These may be consulted in the office of the Architect of the Capitol , or the Library of Congress ."
cj59_0," Rather than being deceived , the eye is puzzled ; ; instead of seeing objects in space , it sees nothing more than -- a picture ."
cj59_10," Analytical Cubism came to an end in the collage , but not conclusively ; ; nor did Synthetic Cubism fully begin there . Only when the collage had been exhaustively translated into oil , and transformed by this translation , did Cubism become an affair of positive color and flat , interlocking silhouettes whose legibility and placement created allusions to , if not the illusion of , unmistakable three-dimensional identities ."
cj66_8," What Parker and his contemporaries -- Gillespie , Davis , Monk , Roach ( Tristano is an anomaly ) , etc. -- did was to absorb the musical ornamentation of the older jazz into the basic structure , of which it then became an integral part , and with which it then developed . This is true of the melodic line which could be put together from selected passages of almost anybody -- Benny Carter , Johnny Hodges . It is true of the rhythmic pattern in which the beat shifts continuously , or at least is continuously sprung , so that it becomes ambiguous enough to allow the pattern to be dominated by the long pulsations of the phrase or strophe . This is exactly what happened in the transition from baroque to rococo music . It is the difference between Bach and Mozart ."
