,prefix,continuation,surprisals
0,I know that my brother said that our aunt devoured the cake, at,5.90101862
1,I know that my brother said that our aunt devoured the cake at, the,7.923080921
2,I know that my brother said that our aunt devoured the cake at the, party,10.0144825
3,My neighbor told me that the fireman believes that the dog caught the cat, in,5.096415997
4,My neighbor told me that the fireman believes that the dog caught the cat in, the,11.17758083
5,My neighbor told me that the fireman believes that the dog caught the cat in the, garage,13.13889694
6,I know that our assistant believes that the committee delivered the report, by,6.145801544
7,I know that our assistant believes that the committee delivered the report by, the,10.71268559
8,I know that our assistant believes that the committee delivered the report by the, deadline,11.98719883
9,You remember that I discovered that the water ruined the new carpet, during,9.635715485
10,You remember that I discovered that the water ruined the new carpet during, the,3.385586739
11,You remember that I discovered that the water ruined the new carpet during the, flood,14.50629425
12,She told me that the teacher suspects that the star student stole answers to the test, last,7.227192402
13,She told me that the teacher suspects that the star student stole answers to the test last, semester,17.84384155
14,She knows that the expert can tell that the collector forged the painting, with,5.641988277
15,She knows that the expert can tell that the collector forged the painting with, the,3.637808323
16,She knows that the expert can tell that the collector forged the painting with the, help,9.235274315
17,She knows that the expert can tell that the collector forged the painting with the help, of,4.364391804
18,She knows that the expert can tell that the collector forged the painting with the help of, modern,15.25041962
19,She knows that the expert can tell that the collector forged the painting with the help of modern, technology,7.35405302
20,We all remember that the politician said that the convict smuggled a gun, into,9.919426918
21,We all remember that the politician said that the convict smuggled a gun into, the,3.148054123
22,We all remember that the politician said that the convict smuggled a gun into the, prison,9.45203495
23,My friend reported that the banker predicts that the company will sell multiple assets, next,9.970617294
24,My friend reported that the banker predicts that the company will sell multiple assets next, quarter,13.29311562
27,She can guess that our friend predicts that the movie star will be awarded an oscar, for,4.908761978
28,She can guess that our friend predicts that the movie star will be awarded an oscar for, her,15.17788219
29,She can guess that our friend predicts that the movie star will be awarded an oscar for her, hard,20.14191818
30,She can guess that our friend predicts that the movie star will be awarded an oscar for her hard, work,9.595662117
31,The newspaper reported that the police know that the suspect killed the witness, in,4.873336315
32,The newspaper reported that the police know that the suspect killed the witness in, the,11.1936903
33,The newspaper reported that the police know that the suspect killed the witness in the, middle,11.58473682
34,The newspaper reported that the police know that the suspect killed the witness in the middle, of,4.27411747
35,The newspaper reported that the police know that the suspect killed the witness in the middle of, the,9.716029167
36,The newspaper reported that the police know that the suspect killed the witness in the middle of the, night,13.60515976
37,We recall that the old lady heard that the hot tea warmed the young girl, after,8.790436745
38,We recall that the old lady heard that the hot tea warmed the young girl after, the,4.472605228
39,We recall that the old lady heard that the hot tea warmed the young girl after the, shocking,18.96139526
40,We recall that the old lady heard that the hot tea warmed the young girl after the shocking, incident,10.36599064
41,I remember that the doctor decided that the nurse should administer the new medicine, to,4.775152206
42,I remember that the doctor decided that the nurse should administer the new medicine to, the,11.41939259
43,I remember that the doctor decided that the nurse should administer the new medicine to the, sick,12.45662022
44,I remember that the doctor decided that the nurse should administer the new medicine to the sick, patient,5.8358922
45,Our friend guessed that my friend discovered that the gossip column revealed family secrets, to,4.259088993
46,Our friend guessed that my friend discovered that the gossip column revealed family secrets to, the,13.10414696
47,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the, whole,15.62343693
48,Our friend guessed that my friend discovered that the gossip column revealed family secrets to the whole, town,10.16639423
49,The mayor told me that the town clerk heard that the town repaired the parking lot, over,9.945181847
50,The mayor told me that the town clerk heard that the town repaired the parking lot over, the,16.10928726
51,The mayor told me that the town clerk heard that the town repaired the parking lot over the, summer,18.11180687
56,The newspaper said that the bureaucrat discovered that the manager followed company regulations, during,9.810937881
57,The newspaper said that the bureaucrat discovered that the manager followed company regulations during, the,3.510239601
58,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the, financial,16.07690811
59,The newspaper said that the bureaucrat discovered that the manager followed company regulations during the financial, crisis,10.68990135
60,Our neighbor said that the professor intuits that the student despised the assigned materials, last,7.615254879
61,Our neighbor said that the professor intuits that the student despised the assigned materials last, semester,10.98365974
62,My friend told me that the consultant assumes that the university hired a new administrator, last,7.963177681
63,My friend told me that the consultant assumes that the university hired a new administrator last, week,11.33016777
64,She can not believe that I forgot that my good friend married my cousin, last,7.395150661
65,She can not believe that I forgot that my good friend married my cousin last, winter,9.621531487
66,Our neighbor reminded us that she remembers that the tow truck hauled the wagon, out,5.208221436
67,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out, of,4.391660213
68,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of, the,9.924204826
69,Our neighbor reminded us that she remembers that the tow truck hauled the wagon out of the, ditch,18.64484978
70,The shop owner told me that the baker forgot that the restaurant prepared a new recipe, earlier,9.865683556
71,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier, that,3.697215557
72,The shop owner told me that the baker forgot that the restaurant prepared a new recipe earlier that, week,8.109578133
73,My sister told me that our mother remembers that the newspaper published a scandalous story, last,7.164877415
74,My sister told me that our mother remembers that the newspaper published a scandalous story last, month,9.810562134
75,We remember that the judge decided that the lawyer must shred the evidence, before,8.707092285
76,We remember that the judge decided that the lawyer must shred the evidence before, the,2.943916798
77,We remember that the judge decided that the lawyer must shred the evidence before the, trial,11.28672504
78,I know that my brother said that our aunt devoured, at,6.402418137
79,I know that my brother said that our aunt devoured at, the,4.796138287
80,I know that my brother said that our aunt devoured at the, party,8.193918228
81,My neighbor told me that the fireman believes that the dog caught, in,4.716232777
82,My neighbor told me that the fireman believes that the dog caught in, the,10.14041805
83,My neighbor told me that the fireman believes that the dog caught in the, garage,11.7661581
84,I know that our assistant believes that the committee delivered, by,5.992306709
85,I know that our assistant believes that the committee delivered by, the,8.962627411
86,I know that our assistant believes that the committee delivered by the, deadline,10.04721832
87,You remember that I discovered that the water ruined, during,9.983775139
88,You remember that I discovered that the water ruined during, the,2.840944052
89,You remember that I discovered that the water ruined during the, flood,10.96355057
90,She told me that the teacher suspects that the star student stole, last,7.320641994
91,She told me that the teacher suspects that the star student stole last, semester,11.13446522
92,She knows that the expert can tell that the collector forged, with,6.118887901
93,She knows that the expert can tell that the collector forged with, the,3.248618364
94,She knows that the expert can tell that the collector forged with the, help,7.880360603
95,She knows that the expert can tell that the collector forged with the help, of,4.184321404
96,She knows that the expert can tell that the collector forged with the help of, modern,14.41297817
97,She knows that the expert can tell that the collector forged with the help of modern, technology,7.180810452
98,We all remember that the politician said that the convict smuggled, into,7.413053036
99,We all remember that the politician said that the convict smuggled into, the,3.134494543
100,We all remember that the politician said that the convict smuggled into the, prison,8.300951958
101,My friend reported that the banker predicts that the company will sell, next,9.554118156
102,My friend reported that the banker predicts that the company will sell next, quarter,12.78264618
105,She can guess that our friend predicts that the movie star will be awarded, for,4.814544678
106,She can guess that our friend predicts that the movie star will be awarded for, her,9.405446053
107,She can guess that our friend predicts that the movie star will be awarded for her, hard,13.70486259
108,She can guess that our friend predicts that the movie star will be awarded for her hard, work,5.620880127
