,prefix,continuation,surprisals
0,The teacher realized what the student in the first year was studying for the test, with,8.058778762817383
1,The teacher realized what the student in the first year was studying for the test with, great,11.131877899169922
2,The teacher realized what the student in the first year was studying for the test with great, enthusiasm,15.362127304077148
3,The policeman discovered what the convict with the shaved head smuggled a gun, into,12.086074829101562
4,The policeman discovered what the convict with the shaved head smuggled a gun into, the,4.87142276763916
5,The policeman discovered what the convict with the shaved head smuggled a gun into the, prison,11.535273551940918
6,The shop owner realized what the waiter in the white jacket placed a candle, near,13.184496879577637
7,The shop owner realized what the waiter in the white jacket placed a candle near, the,4.7403244972229
8,The shop owner realized what the waiter in the white jacket placed a candle near the, table,12.237592697143555
9,The committee asked what the banker from the big company sold a mortgage, with,7.988436222076416
10,The committee asked what the banker from the big company sold a mortgage with, faulty,13.400618553161621
11,The committee asked what the banker from the big company sold a mortgage with faulty, credit,14.8627347946167
12,The first mate said what the sailor in the rain jacket hauled a line, with,7.9110798835754395
13,The first mate said what the sailor in the rain jacket hauled a line with, all,5.115810394287109
14,The first mate said what the sailor in the rain jacket hauled a line with all, his,8.28737735748291
15,The first mate said what the sailor in the rain jacket hauled a line with all his, might,7.745931625366211
16,The newspaper said what the soccer player from the rival team scored a goal, during,10.887195587158203
17,The newspaper said what the soccer player from the rival team scored a goal during, the,5.168517112731934
18,The newspaper said what the soccer player from the rival team scored a goal during the, championship,14.018561363220215
19,The husband saw what the maid from the new cleaning service broke a vase, in,9.059179306030273
20,The husband saw what the maid from the new cleaning service broke a vase in, the,5.031898498535156
21,The husband saw what the maid from the new cleaning service broke a vase in the, hallway,12.653793334960938
22,The administrator discovered what the students who were all very diligent wrote about philosophy, for,7.869057655334473
23,The administrator discovered what the students who were all very diligent wrote about philosophy for, their,8.351310729980469
24,The administrator discovered what the students who were all very diligent wrote about philosophy for their, term,14.809096336364746
25,The administrator discovered what the students who were all very diligent wrote about philosophy for their term, paper,13.400541305541992
26,My mother recalled what the fireman who only recently started working for the department rescued her cat, from,6.605678558349609
27,My mother recalled what the fireman who only recently started working for the department rescued her cat from, the,5.116091728210449
28,My mother recalled what the fireman who only recently started working for the department rescued her cat from the, burning,11.963054656982422
29,My mother recalled what the fireman who only recently started working for the department rescued her cat from the burning, building,12.860817909240723
30,Our friend said what the customer who had never owned a vehicle before bought the new car, on,7.159402847290039
31,Our friend said what the customer who had never owned a vehicle before bought the new car on, credit,15.226648330688477
32,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about her serve, before,3.181307315826416
33,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about her serve before, the,5.115987300872803
34,The memoir recounted what the tennis player who hoped to win the grand island tournament was thinking about her serve before the, match,11.534492492675781
35,Your father noticed what the author who the fans adored  signed a copy of his book, after,3.3287863731384277
36,Your father noticed what the author who the fans adored  signed a copy of his book after, the,5.586017608642578
37,Your father noticed what the author who the fans adored  signed a copy of his book after the, reading,10.936559677124023
38,The report described what the zoo keeper who was sleeping on the job lost track of a kangaroo, at,7.1273393630981445
39,The report described what the zoo keeper who was sleeping on the job lost track of a kangaroo at, the,5.165095806121826
40,The report described what the zoo keeper who was sleeping on the job lost track of a kangaroo at the, zoo,13.220054626464844
41,The reporter said what the citizens who cared about civic engagement talked about a new bill, at,7.631752014160156
42,The reporter said what the citizens who cared about civic engagement talked about a new bill at, the,5.059950351715088
43,The reporter said what the citizens who cared about civic engagement talked about a new bill at the, town,12.360297203063965
44,The reporter said what the citizens who cared about civic engagement talked about a new bill at the town, hall,13.204103469848633
45,The reporter said what the citizens who cared about civic engagement talked about a new bill at the town hall, meeting,8.916121482849121
46,The assistant realized what the nurse in the white uniform comforted the patient, in,8.510161399841309
47,The assistant realized what the nurse in the white uniform comforted the patient in, the,4.802239418029785
48,The assistant realized what the nurse in the white uniform comforted the patient in the, waiting,9.951640129089355
49,The assistant realized what the nurse in the white uniform comforted the patient in the waiting, room,12.757831573486328
50,Your friend said what the librarian in the thick plastic glasses  placed the book, on,7.133692264556885
