,prefix,continuation,surprisals
0,I know that an indication that signaled depression caused us to recommend therapy, last,36.60763931274414
1,I know that an indication that signaled depression caused us to recommend therapy last, night,32.23929214477539
2,I remember that the gift that we bought Mary cost a lot of money, at,31.439422607421875
3,I remember that the gift that we bought Mary cost a lot of money at, the,22.157835006713867
4,I remember that the gift that we bought Mary cost a lot of money at the, last,27.021900177001953
5,I remember that the gift that we bought Mary cost a lot of money at the last, minute,34.06098175048828
6,The newspaper reported that the novel that provoked the famous author received favorable reviews, in,27.797595977783203
7,The newspaper reported that the novel that provoked the famous author received favorable reviews in, the,18.297086715698242
8,The newspaper reported that the novel that provoked the famous author received favorable reviews in the, press,30.060640335083008
9,I know that the painting that depicted Monet fetched a high price at auction, sometime,38.994850158691406
10,I know that the painting that depicted Monet fetched a high price at auction sometime, last,35.03846740722656
11,I know that the painting that depicted Monet fetched a high price at auction sometime last, year,30.738128662109375
12,You remember that the instructions that showed how to operate the submarine fell into the furnace, much,38.04161071777344
13,You remember that the instructions that showed how to operate the submarine fell into the furnace much, to,25.109312057495117
14,You remember that the instructions that showed how to operate the submarine fell into the furnace much to, our,26.664012908935547
15,You remember that the instructions that showed how to operate the submarine fell into the furnace much to our, regret,34.13274383544922
16,She told me that an allergy that is caused by peanuts causes him to avoid dining out, ever,29.759185791015625
17,She told me that an allergy that is caused by peanuts causes him to avoid dining out ever, since,35.73657989501953
18,She told me that an allergy that is caused by peanuts causes him to avoid dining out ever since, he,25.847400665283203
19,She told me that an allergy that is caused by peanuts causes him to avoid dining out ever since he, was,26.395631790161133
20,She told me that an allergy that is caused by peanuts causes him to avoid dining out ever since he was, young,27.435277938842773
21,She knows that the delivery that shocked Sarah arrived around noon, last,39.66787338256836
22,She knows that the delivery that shocked Sarah arrived around noon last, Tuesday,33.82041549682617
23,We all remember that the package that Sarah described to Robert got lost in the mail, in,33.82978820800781
24,We all remember that the package that Sarah described to Robert got lost in the mail in, the,20.317270278930664
25,We all remember that the package that Sarah described to Robert got lost in the mail in the, holiday,30.149080276489258
26,We all remember that the package that Sarah described to Robert got lost in the mail in the holiday, rush,42.756343841552734
27,My friend reported that the symphony that was dedicated to Mozart moved my mother to tears, yesterday,38.60117721557617
28,My friend reported that the symphony that was dedicated to Mozart moved my mother to tears yesterday, night,36.68088150024414
29,I have an idea about that the play that delighted the amateur comedian upset me, last,34.949337005615234
30,I have an idea about that the play that delighted the amateur comedian upset me last, night,31.133085250854492
31,She can guess that a forward that introduced the new manuscript claimed that Elvis is still alive, over,34.31833267211914
32,She can guess that a forward that introduced the new manuscript claimed that Elvis is still alive over, the,25.417156219482422
33,She can guess that a forward that introduced the new manuscript claimed that Elvis is still alive over the, weekend,31.83742332458496
34,The newspaper reported that a mix that included oil and vinegar was used for the salad dressing, every,34.79157257080078
35,The newspaper reported that a mix that included oil and vinegar was used for the salad dressing every, time,32.290950775146484
36,The newspaper reported that a mix that included oil and vinegar was used for the salad dressing every time, she,30.018848419189453
37,The newspaper reported that a mix that included oil and vinegar was used for the salad dressing every time she, cooked,39.86671447753906
38,We recall that a critique that was aimed at the fossil fuel industry found support online, late,35.90949630737305
39,We recall that a critique that was aimed at the fossil fuel industry found support online late, in,32.03252029418945
40,We recall that a critique that was aimed at the fossil fuel industry found support online late in, the,20.41145133972168
41,We recall that a critique that was aimed at the fossil fuel industry found support online late in the, afternoon,32.90995788574219
42,I remember that a diatribe that criticized the mayor was published in the local newspaper, yesterday,36.648719787597656
43,I remember that a diatribe that criticized the mayor was published in the local newspaper yesterday, night,35.28583526611328
44,Our friend guessed that a picture that showed the convict appeared in the newspaper, yesterday,38.68955612182617
45,Our friend guessed that a picture that showed the convict appeared in the newspaper yesterday, afternoon,39.698822021484375
46,The mayor told me that a photograph that shocked the public was taken by the war correspondent, two,37.655277252197266
47,The mayor told me that a photograph that shocked the public was taken by the war correspondent two, days,29.989511489868164
48,The mayor told me that a photograph that shocked the public was taken by the war correspondent two days, after,33.160030364990234
49,The mayor told me that a photograph that shocked the public was taken by the war correspondent two days after, the,19.6820068359375
50,The mayor told me that a photograph that shocked the public was taken by the war correspondent two days after the, battle,29.87773895263672
51,My friend remembers that a description that mocked abbey life was disliked by the bishop, over,37.84784698486328
52,My friend remembers that a description that mocked abbey life was disliked by the bishop over, a,28.026952743530273
53,My friend remembers that a description that mocked abbey life was disliked by the bishop over a, year,29.81783676147461
54,My friend remembers that a description that mocked abbey life was disliked by the bishop over a year, ago,40.043792724609375
55,The newspaper said that the present that we gave Simon was imported from Italy, while,36.52729797363281
56,The newspaper said that the present that we gave Simon was imported from Italy while, I,23.31138038635254
57,The newspaper said that the present that we gave Simon was imported from Italy while I, was,26.229881286621094
58,The newspaper said that the present that we gave Simon was imported from Italy while I was, on,21.919681549072266
59,The newspaper said that the present that we gave Simon was imported from Italy while I was on, vacation,29.157684326171875
60,Our neighbor said that the argument that concerned childcare tore their marriage apart, yesterday,33.897708892822266
61,My friend told me that a proposal that he will deliver to the board suggested increasing employe benefits, last,36.57777404785156
62,My friend told me that a proposal that he will deliver to the board suggested increasing employe benefits last, evening,37.52069091796875
63,She can not believe that a conference that popularized cell evolution took place downtown, last,36.96167755126953
64,She can not believe that a conference that popularized cell evolution took place downtown last, spring,35.637027740478516
65,I know that an indication that signaled caused us to recommend therapy, last,36.48497772216797
66,I know that an indication that signaled caused us to recommend therapy last, night,32.28987503051758
67,I remember that the gift that we bought cost a lot of money, at,30.824323654174805
68,I remember that the gift that we bought cost a lot of money at, the,21.599355697631836
69,I remember that the gift that we bought cost a lot of money at the, last,26.56792449951172
70,I remember that the gift that we bought cost a lot of money at the last, minute,34.017967224121094
71,The newspaper reported that the novel that provoked received favorable reviews, in,29.25296401977539
72,The newspaper reported that the novel that provoked received favorable reviews in, the,17.98923683166504
73,The newspaper reported that the novel that provoked received favorable reviews in the, press,29.162931442260742
74,I know that the painting that depicted fetched a high price at auction, sometime,38.95079040527344
75,I know that the painting that depicted fetched a high price at auction sometime, last,35.02329635620117
76,I know that the painting that depicted fetched a high price at auction sometime last, year,30.289833068847656
77,You remember that the instructions that showed how to operate fell into the furnace, much,37.77461242675781
78,You remember that the instructions that showed how to operate fell into the furnace much, to,25.701997756958008
79,You remember that the instructions that showed how to operate fell into the furnace much to, our,26.65511131286621
80,You remember that the instructions that showed how to operate fell into the furnace much to our, regret,33.788787841796875
81,She told me that an allergy that is caused by causes him to avoid dining out, ever,30.288330078125
82,She told me that an allergy that is caused by causes him to avoid dining out ever, since,35.2777214050293
83,She told me that an allergy that is caused by causes him to avoid dining out ever since, he,25.632184982299805
84,She told me that an allergy that is caused by causes him to avoid dining out ever since he, was,26.053810119628906
85,She told me that an allergy that is caused by causes him to avoid dining out ever since he was, young,27.34139060974121
86,She knows that the delivery that shocked arrived around noon, last,39.55206298828125
87,She knows that the delivery that shocked arrived around noon last, Tuesday,33.78368377685547
88,We all remember that the package that Sarah described to got lost in the mail, in,33.71860122680664
89,We all remember that the package that Sarah described to got lost in the mail in, the,20.420536041259766
90,We all remember that the package that Sarah described to got lost in the mail in the, holiday,29.806156158447266
91,We all remember that the package that Sarah described to got lost in the mail in the holiday, rush,42.519264221191406
92,My friend reported that the symphony that was dedicated to moved my mother to tears, yesterday,38.902835845947266
93,My friend reported that the symphony that was dedicated to moved my mother to tears yesterday, night,36.68827438354492
94,I have an idea about that the play that delighted upset me, last,34.64643096923828
95,I have an idea about that the play that delighted upset me last, night,31.05301284790039
96,She can guess that a forward that introduced claimed that Elvis is still alive, over,34.18284606933594
97,She can guess that a forward that introduced claimed that Elvis is still alive over, the,25.474971771240234
98,She can guess that a forward that introduced claimed that Elvis is still alive over the, weekend,31.06967544555664
99,The newspaper reported that a mix that included was used for the salad dressing, every,34.46439743041992
100,The newspaper reported that a mix that included was used for the salad dressing every, time,32.039878845214844
101,The newspaper reported that a mix that included was used for the salad dressing every time, she,30.075403213500977
102,The newspaper reported that a mix that included was used for the salad dressing every time she, cooked,38.445919036865234
103,We recall that a critique that was aimed at found support online, late,37.821571350097656
104,We recall that a critique that was aimed at found support online late, in,32.996681213378906
105,We recall that a critique that was aimed at found support online late in, the,19.948366165161133
106,We recall that a critique that was aimed at found support online late in the, afternoon,31.990589141845703
107,I remember that a diatribe that criticized was published in the local newspaper, yesterday,36.6563606262207
108,I remember that a diatribe that criticized was published in the local newspaper yesterday, night,35.24803924560547
109,Our friend guessed that a picture that showed appeared in the newspaper, yesterday,38.4422721862793
