,prefix,continuation,surprisals
0,I know that an indication what depression caused us to recommend therapy, .,7.4797210693359375
1,I remember that the gift who Mary cost a lot of money, .,7.776527404785156
2,The newspaper reported that the novel who the famous author received favorable reviews, .,7.193440914154053
3,I know that the painting who Monet fetched a high price at auction, .,7.367440223693848
4,You remember that the instructions what the submarine fell into the furnace, .,7.519049167633057
5,She told me that an allergy what peanuts causes him to avoid dining out, .,7.3571648597717285
6,She knows that the delivery who Sarah arrived around noon, .,7.625016212463379
7,We all remember that the package who Robert got lost in the mail, .,7.561588287353516
8,My friend reported that the symphony who Mozart moved my mother to tears, .,7.528393745422363
9,I have an idea about that the play who the amateur comedian upset me, .,7.780685901641846
10,She can guess that a forward what the new manuscript claimed that Elvis is still alive, .,7.399390697479248
11,The newspaper reported that a mix what oil and vinegar was used for the salad dressing, .,7.321468830108643
12,We recall that a critique what the fossil fuel industry found support online, .,7.543972015380859
13,I remember that a diatribe who the mayor was published in the local newspaper, .,7.377581596374512
14,Our friend guessed that a picture who the convict appeared in the newspaper, .,7.6804656982421875
15,The mayor told me that a photograph who the public was taken by the war correspondent, .,7.417531967163086
16,My friend remembers that a description what abbey life was disliked by the bishop, .,8.132819175720215
17,The newspaper said that the present who Simon was imported from Italy, .,7.432882308959961
18,Our neighbor said that the argument what childcare tore their marriage apart, .,7.538337707519531
19,My friend told me that a proposal who the board suggested increasing employe benefits, .,7.549981594085693
20,She can not believe that a conference what cell evolution took place downtown, .,7.5583696365356445
21,I know that an indication what caused us to recommend therapy, .,7.431868553161621
22,I remember that the gift who cost a lot of money, .,7.873531341552734
23,The newspaper reported that the novel who received favorable reviews, .,7.242311477661133
24,I know that the painting who fetched a high price at auction, .,7.344486713409424
25,You remember that the instructions what fell into the furnace, .,7.465874195098877
26,She told me that an allergy what causes him to avoid dining out, .,7.378170967102051
27,She knows that the delivery who arrived around noon, .,7.6177802085876465
28,We all remember that the package who got lost in the mail, .,7.576413631439209
29,My friend reported that the symphony who moved my mother to tears, .,7.506588459014893
30,I have an idea about that the play who upset me, .,7.89348840713501
31,She can guess that a forward what claimed that Elvis is still alive, .,7.662858486175537
32,The newspaper reported that a mix what was used for the salad dressing, .,7.270600318908691
33,We recall that a critique what found support online, .,7.792049407958984
34,I remember that a diatribe who was published in the local newspaper, .,7.43026876449585
35,Our friend guessed that a picture who appeared in the newspaper, .,7.705083847045898
36,The mayor told me that a photograph who was taken by the war correspondent, .,7.425316333770752
37,My friend remembers that a description what was disliked by the bishop, .,7.889134883880615
38,The newspaper said that the present who was imported from Italy, .,7.458402633666992
39,Our neighbor said that the argument what tore their marriage apart, .,7.693082809448242
40,My friend told me that a proposal who suggested increasing employe benefits, .,7.578315258026123
41,She can not believe that a conference what took place downtown, .,7.617580890655518
42,I know what an indication what depression caused us to recommend therapy, .,7.467006683349609
43,I remember who the gift who Mary cost a lot of money, .,7.709458827972412
44,The newspaper reported who the novel who the famous author received favorable reviews, .,7.1806321144104
45,I know who the painting who Monet fetched a high price at auction, .,7.376914024353027
46,You remember what the instructions what the submarine fell into the furnace, .,7.531661510467529
47,She told me what an allergy what peanuts causes him to avoid dining out, .,7.374485969543457
48,She knows who the delivery who Sarah arrived around noon, .,7.646456718444824
49,We all remember who the package who Robert got lost in the mail, .,7.587646007537842
50,My friend reported who the symphony who Mozart moved my mother to tears, .,7.543354034423828
51,I have an idea about who the play who the amateur comedian upset me, .,7.824565410614014
52,She can guess what a forward what the new manuscript claimed that Elvis is still alive, .,7.3873677253723145
53,The newspaper reported what a mix what oil and vinegar was used for the salad dressing, .,7.287574291229248
54,We recall what a critique what the fossil fuel industry found support online, .,7.526893615722656
55,I remember who a diatribe who the mayor was published in the local newspaper, .,7.413925647735596
56,Our friend guessed who a picture who the convict appeared in the newspaper, .,7.692025184631348
57,The mayor told me who a photograph who the public was taken by the war correspondent, .,7.392010688781738
58,My friend remembers what a description what abbey life was disliked by the bishop, .,8.126208305358887
59,The newspaper said who the present who Simon was imported from Italy, .,7.455250263214111
60,Our neighbor said what the argument what childcare tore their marriage apart, .,7.523675918579102
61,My friend told me who a proposal who the board suggested increasing employe benefits, .,7.608610153198242
62,She can not believe what a conference what cell evolution took place downtown, .,7.545468807220459
63,I know what an indication what caused us to recommend therapy, .,7.433627128601074
64,I remember who the gift who cost a lot of money, .,7.887386322021484
65,The newspaper reported who the novel who received favorable reviews, .,7.233519077301025
66,I know who the painting who fetched a high price at auction, .,7.364361763000488
67,You remember what the instructions what fell into the furnace, .,7.481649875640869
68,She told me what an allergy what causes him to avoid dining out, .,7.384299278259277
69,She knows who the delivery who arrived around noon, .,7.649404525756836
70,We all remember who the package who got lost in the mail, .,7.599233150482178
71,My friend reported who the symphony who moved my mother to tears, .,7.5188069343566895
72,I have an idea about who the play who upset me, .,7.959357738494873
73,She can guess what a forward what claimed that Elvis is still alive, .,7.629421234130859
74,The newspaper reported what a mix what was used for the salad dressing, .,7.2509284019470215
75,We recall what a critique what found support online, .,7.762138366699219
76,I remember who a diatribe who was published in the local newspaper, .,7.461785316467285
77,Our friend guessed who a picture who appeared in the newspaper, .,7.718782901763916
78,The mayor told me who a photograph who was taken by the war correspondent, .,7.428488254547119
79,My friend remembers what a description what was disliked by the bishop, .,7.908349990844727
80,The newspaper said who the present who was imported from Italy, .,7.472917556762695
81,Our neighbor said what the argument what tore their marriage apart, .,7.63873291015625
82,My friend told me who a proposal who suggested increasing employe benefits, .,7.650147914886475
83,She can not believe what a conference what took place downtown, .,7.610926151275635
