,np_that,np_wh,pairID
0,Patrick investigated that a woman who shouldn't walk through a movie theater conceals the book.,Patrick investigated what a woman who shouldn't walk through a movie theater conceals.,0
1,Every man might discover that all hats what weren't confusing that organization hinder Theodore.,Every man might discover who all hats what weren't confusing that organization hinder.,1
2,Nancy wasn't finding out that these mirrors what resemble most paintings hurt Janet.,Nancy wasn't finding out who these mirrors what resemble most paintings hurt.,2
3,Every guest hadn't learned that many waiters who exited this library weren't aggravating most lawyers.,Every guest hadn't learned who many waiters who exited this library weren't aggravating.,3
4,Pamela investigates that many teachers who hadn't hidden this vase haven't annoyed Katherine.,Pamela investigates who many teachers who hadn't hidden this vase haven't annoyed.,4
5,Those guests remember that that vase what resembled many sketches helps all guys.,Those guests remember who that vase what resembled many sketches helps.,5
6,Dennis couldn't forget that those dentists who drive to that movie theater bent some dish.,Dennis couldn't forget what those dentists who drive to that movie theater bent.,6
7,Teenagers figure out that these actresses who upset Laurie aid Robert.,Teenagers figure out who these actresses who upset Laurie aid.,7
8,These ladies know that a print what looks like that waitress bores Carmen.,These ladies know who a print what looks like that waitress bores.,8
9,Judy isn't revealing that the mouse what bored Linda had hurt the actress.,Judy isn't revealing who the mouse what bored Linda had hurt.,9
10,Connie hasn't discovered that the tutors who were discovering the Lutherans have descended a lot of stairs.,Connie hasn't discovered what the tutors who were discovering the Lutherans have descended.,10
11,Kenneth concealed that a lot of waiters who did fix some cars aren't distracting most waitresses.,Kenneth concealed who a lot of waiters who did fix some cars aren't distracting.,11
12,Claire isn't realizing that some waitresses who respect Beth will escape from John.,Claire isn't realizing who some waitresses who respect Beth will escape from.,12
13,Connie found out that the waitresses who talk to most actresses weren't complaining about all hairdressers.,Connie found out who the waitresses who talk to most actresses weren't complaining about.,13
14,Rose has forgotten that those oncologists who are keeping that ship weren't insulting Samantha.,Rose has forgotten who those oncologists who are keeping that ship weren't insulting.,14
15,Curtis learns that the teenagers who were hugging Maria would overwhelm Adam.,Curtis learns who the teenagers who were hugging Maria would overwhelm.,15
16,French teachers investigate that the guests who weren't discussing all boys have talked to some oncologist.,French teachers investigate who the guests who weren't discussing all boys have talked to.,16
17,Mark learned that some actors who might repair a carriage reference Danielle.,Mark learned who some actors who might repair a carriage reference.,17
18,The ladies reveal that a child who hid the mirrors hasn't bought this spotlight.,The ladies reveal what a child who hid the mirrors hasn't bought.,18
19,Some teachers find out that most drivers who reveal Katherine won't breed a lot of snakes.,Some teachers find out what most drivers who reveal Katherine won't breed.,19
20,These banks learn that the lawyer who does destroy screens disagrees with Naomi.,These banks learn who the lawyer who does destroy screens disagrees with.,20
21,Patrick was finding out that this partner who wasn't building these restaurants exposed gates.,Patrick was finding out what this partner who wasn't building these restaurants exposed.,21
22,Claire isn't learning that some hamsters what hadn't descended this ladder won't climb down ladders.,Claire isn't learning what some hamsters what hadn't descended this ladder won't climb down.,22
23,Daniel reveals that that associate who wore many hats will criticize Dan.,Daniel reveals who that associate who wore many hats will criticize.,23
24,That organization wasn't discovering that those men who distracted some company forgot Anne.,That organization wasn't discovering who those men who distracted some company forgot.,24
25,Organizations are figuring out that many patients who shake Kevin talk about Lori.,Organizations are figuring out who many patients who shake Kevin talk about.,25
26,Harvard University had discovered that that hairdresser who loses Eric has lifted most slopes.,Harvard University had discovered what that hairdresser who loses Eric has lifted.,26
27,Ann can't reveal that those committees what were fighting Rose fight Julie.,Ann can't reveal who those committees what were fighting Rose fight.,27
28,Richard knew that every pedestrian who researches all rivers won't teach Daniel.,Richard knew who every pedestrian who researches all rivers won't teach.,28
29,Those actresses realized that the men who haven't eaten a lot of peppers haven't talked about Cindy.,Those actresses realized who the men who haven't eaten a lot of peppers haven't talked about.,29
30,Stacey will conceal that tutors who shoot Omar wrote the play.,Stacey will conceal what tutors who shoot Omar wrote.,30
31,Raymond couldn't learn that this woman who is praising that actor fights Kirsten.,Raymond couldn't learn who this woman who is praising that actor fights.,31
32,Guy learns that that contractor who lifted the pasta could aggravate Kenneth.,Guy learns who that contractor who lifted the pasta could aggravate.,32
33,The guy reveals that many students who sell the gates are lighting candles.,The guy reveals what many students who sell the gates are lighting.,33
34,Mary figures out that the contractors who are wearing a jacket couldn't see most chairs.,Mary figures out what the contractors who are wearing a jacket couldn't see.,34
35,Brenda reveals that these glasses what disturb Brian aren't hurting every girl.,Brenda reveals who these glasses what disturb Brian aren't hurting.,35
36,Joseph was revealing that that dancer who had skated around a lot of college campuses drove to those hospitals.,Joseph was revealing what that dancer who had skated around a lot of college campuses drove to.,36
37,Alexander didn't know that this waiter who had cared for Catherine embarrasses Sarah.,Alexander didn't know who this waiter who had cared for Catherine embarrasses.,37
38,Senators investigate that every oncologist who wasn't distracting Teresa didn't have those grocery stores.,Senators investigate what every oncologist who wasn't distracting Teresa didn't have.,38
39,Some boys realize that some piano teachers who can't confuse these partners led Ruth.,Some boys realize who some piano teachers who can't confuse these partners led.,39
40,That waiter isn't discovering that many dentists who bite Patricia weren't choosing those mountains.,That waiter isn't discovering what many dentists who bite Patricia weren't choosing.,40
41,Joel isn't learning that this patient who should notice jackets should tour that high school.,Joel isn't learning what this patient who should notice jackets should tour.,41
42,The lawyer has realized that hairdressers who hadn't researched some hill annoy these partners.,The lawyer has realized who hairdressers who hadn't researched some hill annoy.,42
43,That organization investigated that that associate who went to some public parks breeds the rabbits.,That organization investigated what that associate who went to some public parks breeds.,43
44,Some pedestrians conceal that the girls who lead Mary love Roger.,Some pedestrians conceal who the girls who lead Mary love.,44
45,The associates reveal that universities what weren't fighting Stephen shouldn't embarrass those guests.,The associates reveal who universities what weren't fighting Stephen shouldn't embarrass.,45
46,Many museums reveal that those actresses who meet a French teacher were boasting about some oncologist.,Many museums reveal who those actresses who meet a French teacher were boasting about.,46
47,Sarah learned that this boy who reveals jackets was exploring most malls.,Sarah learned what this boy who reveals jackets was exploring.,47
48,Denise hasn't found out that a lot of guys who argue about Amanda can argue about Alan.,Denise hasn't found out who a lot of guys who argue about Amanda can argue about.,48
49,April remembers that some drivers who sweep a lot of kitchens expose Diane.,April remembers who some drivers who sweep a lot of kitchens expose.,49
50,Marie knows that those teenagers who lost Carla cared for Julie.,Marie knows who those teenagers who lost Carla cared for.,50
51,Vincent has revealed that some pedestrian who lit some spotlights went to many schools.,Vincent has revealed what some pedestrian who lit some spotlights went to.,51
52,Anna was concealing that customers who exited this high school hadn't cured Valerie.,Anna was concealing who customers who exited this high school hadn't cured.,52
53,A lot of dancers haven't forgotten that the partner who cured Debra lost Omar.,A lot of dancers haven't forgotten who the partner who cured Debra lost.,53
54,The girls have investigated that some dentists who go to some restaurant had brought every mirror.,The girls have investigated what some dentists who go to some restaurant had brought.,54
55,Ladies were discovering that a lawyer who walks through some closet was overwhelming Colleen.,Ladies were discovering who a lawyer who walks through some closet was overwhelming.,55
56,All guests hadn't found out that many students who kiss many students were looking like some photographs.,All guests hadn't found out what many students who kiss many students were looking like.,56
57,The driver knows that a tutor who had shaken Kathleen questioned most libraries.,The driver knows what a tutor who had shaken Kathleen questioned.,57
58,Alice realizes that some children who exit a mall wouldn't sweep all kitchens.,Alice realizes what some children who exit a mall wouldn't sweep.,58
59,Rose investigated that a lot of dancers who draw Gary had forgiven Danielle.,Rose investigated who a lot of dancers who draw Gary had forgiven.,59
60,Most universities discover that some girl who walked through a closet can't scan all newspaper articles.,Most universities discover what some girl who walked through a closet can't scan.,60
61,Diana learns that that dancer who shakes Monica was thinking about a scarf.,Diana learns what that dancer who shakes Monica was thinking about.,61
62,Danielle knows that that French teacher who sank most canoes has distracted Kimberley.,Danielle knows who that French teacher who sank most canoes has distracted.,62
