,surprisals,prefix,continuation
0,0.32363454,I know that our uncle grabbed the food in front of<extra_id_0> ,.
1,2.7060874e-05,I know that our uncle grabbed the food in front of the guests<extra_id_0> ,.
2,7.867844e-06,I know who our uncle grabbed the food in front of<extra_id_0> ,.
3,0.00019248192,I know who our uncle grabbed the food in front of the guests<extra_id_0> ,.
4,0.19196732,My neighbor told me that the dog caught the mouse in full view of<extra_id_0> ,.
5,9.978315e-05,My neighbor told me that the dog caught the mouse in full view of the neighbors<extra_id_0> ,.
6,7.987054e-06,My neighbor told me who the dog caught the mouse in full view of<extra_id_0> ,.
7,8.762267e-05,My neighbor told me who the dog caught the mouse in full view of the neighbors<extra_id_0> ,.
8,0.11798247,I know that the committee delivered the report report to<extra_id_0> ,.
9,3.993591e-05,I know that the committee delivered the report report to the president<extra_id_0> ,.
10,2.6226387e-05,I know who the committee delivered the report report to<extra_id_0> ,.
11,0.0019325202,I know who the committee delivered the report report to the president<extra_id_0> ,.
12,0.19153166,You remember that the businessman showed the presentation presentation to<extra_id_0> ,.
13,4.8042497e-05,You remember that the businessman showed the presentation presentation to the visitors<extra_id_0> ,.
14,2.7060874e-05,You remember who the businessman showed the presentation presentation to<extra_id_0> ,.
15,0.00019737045,You remember who the businessman showed the presentation presentation to the visitors<extra_id_0> ,.
16,0.17102274,She told me that the star student stole answers to the test test from<extra_id_0> ,.
17,3.409444e-05,She told me that the star student stole answers to the test test from the history teacher<extra_id_0> ,.
18,1.3113108e-05,She told me who the star student stole answers to the test test from<extra_id_0> ,.
19,2.6703237e-05,She told me who the star student stole answers to the test test from the history teacher<extra_id_0> ,.
20,0.7908464,She knows that the collector forged the painting with the help of<extra_id_0> ,.
21,7.4270145e-05,She knows that the collector forged the painting with the help of a new technology<extra_id_0> ,.
22,1.1205736e-05,She knows what the collector forged the painting with the help of<extra_id_0> ,.
23,0.00010288291,She knows what the collector forged the painting with the help of a new technology<extra_id_0> ,.
24,0.13413675,We all remember that the convict brought a gun gun into<extra_id_0> ,.
25,5.4360913e-05,We all remember that the convict brought a gun gun into the prison<extra_id_0> ,.
26,3.9697483e-05,We all remember what the convict brought a gun gun into<extra_id_0> ,.
27,0.012379243,We all remember what the convict brought a gun gun into the prison<extra_id_0> ,.
28,0.010119084,My friend reported that the company will sell multiple assets assets for<extra_id_0> ,.
29,4.1604908e-05,My friend reported that the company will sell multiple assets assets for stock holders<extra_id_0> ,.
30,2.9802766e-05,My friend reported who the company will sell multiple assets assets for<extra_id_0> ,.
31,4.6254274e-05,My friend reported who the company will sell multiple assets assets for stock holders<extra_id_0> ,.
32,0.28031614,I do not know that her rival derailed the performance performance with<extra_id_0> ,.
33,3.719399e-05,I do not know that her rival derailed the performance performance with a cruel plan<extra_id_0> ,.
34,2.2053962e-05,I do not know what her rival derailed the performance performance with<extra_id_0> ,.
35,5.4837776e-05,I do not know what her rival derailed the performance performance with a cruel plan<extra_id_0> ,.
36,0.002492671,She can guess that the movie star will be awarded a prize prize for<extra_id_0> ,.
37,0.000113255235,She can guess that the movie star will be awarded a prize prize for her hard work<extra_id_0> ,.
38,2.1457903e-05,She can guess what the movie star will be awarded a prize prize for<extra_id_0> ,.
39,0.00015224185,She can guess what the movie star will be awarded a prize prize for her hard work<extra_id_0> ,.
40,0.0005316359,The newspaper reported that the suspect killed the witness witness with<extra_id_0> ,.
41,4.220098e-05,The newspaper reported that the suspect killed the witness witness with a gun<extra_id_0> ,.
42,9.536789e-06,The newspaper reported what the suspect killed the witness witness with<extra_id_0> ,.
43,2.9325915e-05,The newspaper reported what the suspect killed the witness witness with a gun<extra_id_0> ,.
44,0.22346486,We recall that the man placed a delicate plate next to<extra_id_0> ,.
45,3.0279618e-05,We recall that the man placed a delicate plate next to the open fire<extra_id_0> ,.
46,3.8982198e-05,We recall what the man placed a delicate plate next to<extra_id_0> ,.
47,2.9802766e-05,We recall what the man placed a delicate plate next to the open fire<extra_id_0> ,.
48,0.05584811,I remember that the nurse should administer the new medicine medicine to<extra_id_0> ,.
49,4.243941e-05,I remember that the nurse should administer the new medicine medicine to the sick patient<extra_id_0> ,.
50,8.9530186e-05,I remember who the nurse should administer the new medicine medicine to<extra_id_0> ,.
51,8.4880616e-05,I remember who the nurse should administer the new medicine medicine to the sick patient<extra_id_0> ,.
52,0.00046478581,Our friend knew that the gossip column revealed family secrets secrets to<extra_id_0> ,.
53,3.5524998e-05,Our friend knew that the gossip column revealed family secrets secrets to the public<extra_id_0> ,.
54,2.193475e-05,Our friend knew who the gossip column revealed family secrets secrets to<extra_id_0> ,.
55,2.8968278e-05,Our friend knew who the gossip column revealed family secrets secrets to the public<extra_id_0> ,.
56,0.054747235,The mayor told me that the authorities repaired the golf course course for<extra_id_0> ,.
57,5.555307e-05,The mayor told me that the authorities repaired the golf course course for a wealthy businessman<extra_id_0> ,.
58,1.335153e-05,The mayor told me who the authorities repaired the golf course course for<extra_id_0> ,.
59,5.448013e-05,The mayor told me who the authorities repaired the golf course course for a wealthy businessman<extra_id_0> ,.
60,0.036469806,My friend remembers that the government collected sensitive data data about<extra_id_0> ,.
61,5.996407e-05,My friend remembers that the government collected sensitive data data about foreign threats<extra_id_0> ,.
62,1.3947584e-05,My friend remembers what the government collected sensitive data data about<extra_id_0> ,.
