,surprisals,prefix,continuation
0,16.199484,I know that our uncle grabbed the food in front of<extra_id_0> ,at
1,10.686528,I know that our uncle grabbed the food in front of at<extra_id_0> ,the
2,14.563139,I know that our uncle grabbed the food in front of at the<extra_id_0> ,holiday
3,14.2158165,I know that our uncle grabbed the food in front of at the holiday<extra_id_0> ,party
4,17.016626,I know that our uncle grabbed the food in front of the guests<extra_id_0> ,at
5,6.8644576,I know that our uncle grabbed the food in front of the guests at<extra_id_0> ,the
6,13.027589,I know that our uncle grabbed the food in front of the guests at the<extra_id_0> ,holiday
7,15.456895,I know that our uncle grabbed the food in front of the guests at the holiday<extra_id_0> ,party
8,16.503717,I know who our uncle grabbed the food in front of<extra_id_0> ,at
9,11.065927,I know who our uncle grabbed the food in front of at<extra_id_0> ,the
10,13.463857,I know who our uncle grabbed the food in front of at the<extra_id_0> ,holiday
11,15.075865,I know who our uncle grabbed the food in front of at the holiday<extra_id_0> ,party
12,15.069564,I know who our uncle grabbed the food in front of the guests<extra_id_0> ,at
13,11.152945,I know who our uncle grabbed the food in front of the guests at<extra_id_0> ,the
14,12.768674,I know who our uncle grabbed the food in front of the guests at the<extra_id_0> ,holiday
15,15.93941,I know who our uncle grabbed the food in front of the guests at the holiday<extra_id_0> ,party
16,14.271461,My neighbor told me that the dog caught the mouse in full view of<extra_id_0> ,yesterday
17,20.241308,My neighbor told me that the dog caught the mouse in full view of the neighbors<extra_id_0> ,yesterday
18,18.68325,My neighbor told me who the dog caught the mouse in full view of<extra_id_0> ,yesterday
19,20.253855,My neighbor told me who the dog caught the mouse in full view of the neighbors<extra_id_0> ,yesterday
20,17.289463,I know that the committee delivered the report report to<extra_id_0> ,by
21,10.419578,I know that the committee delivered the report report to by<extra_id_0> ,the
22,8.219773,I know that the committee delivered the report report to by the<extra_id_0> ,deadline
23,18.381657,I know that the committee delivered the report report to the president<extra_id_0> ,by
24,8.478545,I know that the committee delivered the report report to the president by<extra_id_0> ,the
25,9.444073,I know that the committee delivered the report report to the president by the<extra_id_0> ,deadline
26,18.412397,I know who the committee delivered the report report to<extra_id_0> ,by
27,11.488091,I know who the committee delivered the report report to by<extra_id_0> ,the
28,11.889571,I know who the committee delivered the report report to by the<extra_id_0> ,deadline
29,17.326424,I know who the committee delivered the report report to the president<extra_id_0> ,by
30,11.555714,I know who the committee delivered the report report to the president by<extra_id_0> ,the
31,11.309892,I know who the committee delivered the report report to the president by the<extra_id_0> ,deadline
32,15.081384,You remember that the businessman showed the presentation presentation to<extra_id_0> ,after
33,15.02229,You remember that the businessman showed the presentation presentation to after<extra_id_0> ,lunch
34,18.643942,You remember that the businessman showed the presentation presentation to the visitors<extra_id_0> ,after
35,14.0252285,You remember that the businessman showed the presentation presentation to the visitors after<extra_id_0> ,lunch
36,17.176952,You remember who the businessman showed the presentation presentation to<extra_id_0> ,after
37,13.502274,You remember who the businessman showed the presentation presentation to after<extra_id_0> ,lunch
38,15.090746,You remember who the businessman showed the presentation presentation to the visitors<extra_id_0> ,after
39,16.735374,You remember who the businessman showed the presentation presentation to the visitors after<extra_id_0> ,lunch
40,15.209183,She told me that the star student stole answers to the test test from<extra_id_0> ,last
41,0.8366145,She told me that the star student stole answers to the test test from last<extra_id_0> ,year
42,20.295996,She told me that the star student stole answers to the test test from the history teacher<extra_id_0> ,last
43,4.595975,She told me that the star student stole answers to the test test from the history teacher last<extra_id_0> ,year
44,19.22036,She told me who the star student stole answers to the test test from<extra_id_0> ,last
45,2.7255807,She told me who the star student stole answers to the test test from last<extra_id_0> ,year
46,20.040796,She told me who the star student stole answers to the test test from the history teacher<extra_id_0> ,last
47,5.5704384,She told me who the star student stole answers to the test test from the history teacher last<extra_id_0> ,year
48,0.7908463,She knows that the collector forged the painting with the help of<extra_id_0> ,a
49,17.303204,She knows that the collector forged the painting with the help of a<extra_id_0> ,short
50,8.516044,She knows that the collector forged the painting with the help of a short<extra_id_0> ,while
51,18.660845,She knows that the collector forged the painting with the help of a short while<extra_id_0> ,ago
52,7.4270145e-05,She knows that the collector forged the painting with the help of a new technology<extra_id_0> ,a
53,18.46815,She knows that the collector forged the painting with the help of a new technology a<extra_id_0> ,short
