,item,Correct,gap,island,C1,C2,Response
0,1,FALSE,no,that,I know what my brother said that our aunt devoured the cake,I know that my brother said that our aunt devoured the cake,Both sequences are complete sentences.
0,2,FALSE,no,that,My neighbor told me what the fireman believes that the dog caught the cat,My neighbor told me that the fireman believes that the dog caught the cat,Both sequences are complete sentences.
0,3,TRUE,no,that,I know what our assistant believes that the committee delivered the report,I know that our assistant believes that the committee delivered the report,"""I know that our assistant believes that the committee delivered the report."""
0,4,FALSE,no,that,You remember what I discovered that the water ruined the new carpet,You remember that I discovered that the water ruined the new carpet,Both sequences are complete sentences.
0,5,FALSE,no,that,She told me what the teacher suspects that the star student stole answers to the test,She told me that the teacher suspects that the star student stole answers to the test,Both sequences are complete sentences.
0,6,FALSE,no,that,She knows what the expert can tell that the collector forged the painting,She knows that the expert can tell that the collector forged the painting,Both sequences are complete sentences.
0,7,FALSE,no,that,We all remember what the politician said that the convict smuggled a gun,We all remember that the politician said that the convict smuggled a gun,Both sequences are complete sentences.
0,8,FALSE,no,that,My friend reported what the banker predicts that the company will sell multiple assets,My friend reported that the banker predicts that the company will sell multiple assets,Both sequences are complete sentences.
0,10,FALSE,no,that,She can guess what our friend predicts that the movie star will be awarded an oscar,She can guess that our friend predicts that the movie star will be awarded an oscar,Both sequences are complete sentences.
0,11,FALSE,no,that,The newspaper reported who the police know that the suspect killed the witness,The newspaper reported that the police know that the suspect killed the witness,Both sequences are complete sentences.
0,12,FALSE,no,that,We recall who the old lady heard that the hot tea warmed the young girl,We recall that the old lady heard that the hot tea warmed the young girl,Both sequences are complete sentences.
0,13,FALSE,no,that,I remember what the doctor decided that the nurse should administer the new medicine,I remember that the doctor decided that the nurse should administer the new medicine,Both sequences are complete sentences.
0,14,FALSE,no,that,Our friend guessed what my friend discovered that the gossip column revealed family secrets,Our friend guessed that my friend discovered that the gossip column revealed family secrets,Both sequences are complete sentences.
0,15,FALSE,no,that,The mayor told me what the town clerk heard that the town repaired the parking lot,The mayor told me that the town clerk heard that the town repaired the parking lot,Both sequences are complete sentences.
0,17,FALSE,no,that,The newspaper said what the bureaucrat discovered that the manager followed company regulations,The newspaper said that the bureaucrat discovered that the manager followed company regulations,Both sequences are complete sentences.
0,18,TRUE,no,that,Our neighbor said what the professor intuits that the student despised the assigned materials,Our neighbor said that the professor intuits that the student despised the assigned materials,"""Our neighbor said that the professor intuits that the student despised the assigned materials."""
0,19,FALSE,no,that,My friend told me who the consultant assumes that the university hired a new administrator,My friend told me that the consultant assumes that the university hired a new administrator,Both sequences are complete sentences.
0,20,TRUE,no,that,She can not believe who I forgot that my good friend married my cousin,She can not believe that I forgot that my good friend married my cousin,"""She can not believe that I forgot that my good friend married my cousin."""
0,21,FALSE,no,that,Our neighbor reminded us what she remembers that the tow truck hauled the wagon,Our neighbor reminded us that she remembers that the tow truck hauled the wagon,Both sequences are complete sentences.
0,22,FALSE,no,that,The shop owner told me what the baker forgot that the restaurant prepared a new recipe,The shop owner told me that the baker forgot that the restaurant prepared a new recipe,Both sequences are complete sentences.
0,23,FALSE,no,that,My sister told me what our mother remembers that the newspaper published a scandalous story,My sister told me that our mother remembers that the newspaper published a scandalous story,Both sequences are complete sentences.
0,24,FALSE,no,that,We remember what the judge decided that the lawyer must shred the evidence,We remember that the judge decided that the lawyer must shred the evidence,Both sequences are complete sentences.
0,1,FALSE,yes,that,I know what my brother said that our aunt devoured,I know that my brother said that our aunt devoured,Both sequences are complete sentences.
0,2,FALSE,yes,that,My neighbor told me what the fireman believes that the dog caught,My neighbor told me that the fireman believes that the dog caught,Both sequences are complete sentences.
0,3,FALSE,yes,that,I know what our assistant believes that the committee delivered,I know that our assistant believes that the committee delivered,Both sequences are complete sentences.
0,4,FALSE,yes,that,You remember what I discovered that the water ruined,You remember that I discovered that the water ruined," ""You remember that I discovered that the water ruined."""
0,5,FALSE,yes,that,She told me what the teacher suspects that the star student stole,She told me that the teacher suspects that the star student stole,Both sequences are complete sentences.
0,6,FALSE,yes,that,She knows what the expert can tell that the collector forged,She knows that the expert can tell that the collector forged,Both sequences are complete sentences.
0,7,FALSE,yes,that,We all remember what the politician said that the convict smuggled,We all remember that the politician said that the convict smuggled," ""We all remember that the politician said that the convict smuggled."""
0,8,FALSE,yes,that,My friend reported what the banker predicts that the company will sell,My friend reported that the banker predicts that the company will sell,Both sequences are complete sentences.
0,10,FALSE,yes,that,She can guess what our friend predicts that the movie star will be awarded,She can guess that our friend predicts that the movie star will be awarded,Both sequences are complete sentences.
