,prefix,continuation,surprisals
0,I know that our uncle grabbed the food in front of, at,10.31617259979248
1,I know that our uncle grabbed the food in front of at, the,2.8988513946533203
2,I know that our uncle grabbed the food in front of at the, holiday,9.524141311645508
3,I know that our uncle grabbed the food in front of at the holiday, party,0.8960957527160645
4,I know that our uncle grabbed the food in front of the guests, at,3.7289085388183594
5,I know that our uncle grabbed the food in front of the guests at, the,0.717505931854248
6,I know that our uncle grabbed the food in front of the guests at the, holiday,8.241813659667969
7,I know that our uncle grabbed the food in front of the guests at the holiday, party,0.693975567817688
8,I know who our uncle grabbed the food in front of, at,8.532379150390625
9,I know who our uncle grabbed the food in front of at, the,1.25503408908844
10,I know who our uncle grabbed the food in front of at the, holiday,9.124550819396973
11,I know who our uncle grabbed the food in front of at the holiday, party,0.7901419401168823
12,I know who our uncle grabbed the food in front of the guests, at,3.7518868446350098
13,I know who our uncle grabbed the food in front of the guests at, the,0.8252997398376465
14,I know who our uncle grabbed the food in front of the guests at the, holiday,7.993631839752197
15,I know who our uncle grabbed the food in front of the guests at the holiday, party,0.7181418538093567
16,My neighbor told me that the dog caught the mouse in full view of, yesterday,11.339237213134766
17,My neighbor told me that the dog caught the mouse in full view of the neighbors, yesterday,10.50927448272705
18,My neighbor told me who the dog caught the mouse in full view of, yesterday,9.228981971740723
19,My neighbor told me who the dog caught the mouse in full view of the neighbors, yesterday,9.514010429382324
20,I know that the committee delivered the report report to, by,9.55993938446045
21,I know that the committee delivered the report report to by, the,1.5566184520721436
22,I know that the committee delivered the report report to by the, deadline,7.558597087860107
23,I know that the committee delivered the report report to the president, by,5.119428634643555
24,I know that the committee delivered the report report to the president by, the,1.9560729265213013
25,I know that the committee delivered the report report to the president by the, deadline,5.30704927444458
26,I know who the committee delivered the report report to, by,6.560575485229492
27,I know who the committee delivered the report report to by, the,2.0226261615753174
28,I know who the committee delivered the report report to by the, deadline,7.085446357727051
29,I know who the committee delivered the report report to the president, by,6.324641227722168
30,I know who the committee delivered the report report to the president by, the,2.938973903656006
31,I know who the committee delivered the report report to the president by the, deadline,6.499642372131348
32,You remember that the businessman showed the presentation presentation to, after,10.613829612731934
33,You remember that the businessman showed the presentation presentation to after, lunch,5.252508163452148
