,surprisals,prefix,continuation
0,9.139938,I know that your tears signaled an indication<extra_id_0> ,last
1,1.3466705,I know that your tears signaled an indication last<extra_id_0> ,night
2,5.208827,I remember that we all pitched in to buy the gift<extra_id_0> ,at
3,1.0185909,I remember that we all pitched in to buy the gift at<extra_id_0> ,the
4,4.9788113,I remember that we all pitched in to buy the gift at the<extra_id_0> ,last
5,1.2514511,I remember that we all pitched in to buy the gift at the last<extra_id_0> ,minute
6,2.7326825,The newspaper reported that the critics reviewed the novel<extra_id_0> ,in
7,1.3589593,The newspaper reported that the critics reviewed the novel in<extra_id_0> ,the
8,4.6450105,The newspaper reported that the critics reviewed the novel in the<extra_id_0> ,press
9,8.310587,I know that the family bought the painting<extra_id_0> ,sometime
10,4.6506066,I know that the family bought the painting sometime<extra_id_0> ,last
11,0.41691276,I know that the family bought the painting sometime last<extra_id_0> ,year
12,9.031449,You remember that the spy sold the instructions<extra_id_0> ,much
13,2.9002259,You remember that the spy sold the instructions much<extra_id_0> ,to
14,5.1109476,You remember that the spy sold the instructions much to<extra_id_0> ,our
15,5.135358,You remember that the spy sold the instructions much to our<extra_id_0> ,regret
16,7.3453045,She told me that he has had an allergy<extra_id_0> ,ever
17,0.029275896,She told me that he has had an allergy ever<extra_id_0> ,since
18,1.8664718,She told me that he has had an allergy ever since<extra_id_0> ,he
19,0.6498342,She told me that he has had an allergy ever since he<extra_id_0> ,was
20,4.908334,She told me that he has had an allergy ever since he was<extra_id_0> ,young
21,6.399354,She knows that the doorman accepted the delivery<extra_id_0> ,last
22,4.234651,She knows that the doorman accepted the delivery last<extra_id_0> ,Tuesday
23,2.8557315,We all remember that the mailman lost the package<extra_id_0> ,in
24,0.84803724,We all remember that the mailman lost the package in<extra_id_0> ,the
25,8.497297,We all remember that the mailman lost the package in the<extra_id_0> ,holiday
26,3.7618837,We all remember that the mailman lost the package in the holiday<extra_id_0> ,rush
27,5.2641177,My friend reported that we listened to the symphony<extra_id_0> ,yesterday
28,3.1261795,My friend reported that we listened to the symphony yesterday<extra_id_0> ,night
29,4.7202053,I have an idea about that I saw the play<extra_id_0> ,last
30,0.8478085,I have an idea about that I saw the play last<extra_id_0> ,night
31,8.181505,She can guess that my friend wrote a forward<extra_id_0> ,over
32,1.8755615,She can guess that my friend wrote a forward over<extra_id_0> ,the
33,2.8767629,She can guess that my friend wrote a forward over the<extra_id_0> ,weekend
34,12.2737465,The newspaper reported that she made the salad dressing from a mix<extra_id_0> ,every
35,2.934867,The newspaper reported that she made the salad dressing from a mix every<extra_id_0> ,time
36,0.4941353,The newspaper reported that she made the salad dressing from a mix every time<extra_id_0> ,she
37,3.5980043,The newspaper reported that she made the salad dressing from a mix every time she<extra_id_0> ,cooked
38,9.933443,We recall that the blogger drafted a critique<extra_id_0> ,late
39,1.4488186,We recall that the blogger drafted a critique late<extra_id_0> ,in
40,0.43259236,We recall that the blogger drafted a critique late in<extra_id_0> ,the
