,surprisals,prefix,continuation
0,5.822966,I know what my brother said that our aunt devoured the cake<extra_id_0> ,at
1,1.7683725,I know what my brother said that our aunt devoured the cake at<extra_id_0> ,the
2,2.9990575,I know what my brother said that our aunt devoured the cake at the<extra_id_0> ,party
3,3.2136073,My neighbor told me what the fireman believes that the dog caught the cat<extra_id_0> ,in
4,0.7264607,My neighbor told me what the fireman believes that the dog caught the cat in<extra_id_0> ,the
5,3.5337253,My neighbor told me what the fireman believes that the dog caught the cat in the<extra_id_0> ,garage
6,7.0495567,I know what our assistant believes that the committee delivered the report<extra_id_0> ,by
7,2.3673413,I know what our assistant believes that the committee delivered the report by<extra_id_0> ,the
8,3.5471644,I know what our assistant believes that the committee delivered the report by the<extra_id_0> ,deadline
9,8.640862,You remember what I discovered that the water ruined the new carpet<extra_id_0> ,during
10,1.2239777,You remember what I discovered that the water ruined the new carpet during<extra_id_0> ,the
11,3.763083,You remember what I discovered that the water ruined the new carpet during the<extra_id_0> ,flood
12,5.6508365,She told me what the teacher suspects that the star student stole answers to the test<extra_id_0> ,last
13,4.2326045,She told me what the teacher suspects that the star student stole answers to the test last<extra_id_0> ,semester
14,4.89094,She knows what the expert can tell that the collector forged the painting<extra_id_0> ,with
15,2.965641,She knows what the expert can tell that the collector forged the painting with<extra_id_0> ,the
16,4.305637,She knows what the expert can tell that the collector forged the painting with the<extra_id_0> ,help
17,0.050344538,She knows what the expert can tell that the collector forged the painting with the help<extra_id_0> ,of
18,6.4597416,She knows what the expert can tell that the collector forged the painting with the help of<extra_id_0> ,modern
19,1.342129,She knows what the expert can tell that the collector forged the painting with the help of modern<extra_id_0> ,technology
20,2.1265922,We all remember what the politician said that the convict smuggled a gun<extra_id_0> ,into
21,1.09066,We all remember what the politician said that the convict smuggled a gun into<extra_id_0> ,the
22,3.0419862,We all remember what the politician said that the convict smuggled a gun into the<extra_id_0> ,prison
23,5.4936614,My friend reported what the banker predicts that the company will sell multiple assets<extra_id_0> ,next
24,4.8394566,My friend reported what the banker predicts that the company will sell multiple assets next<extra_id_0> ,quarter
27,2.4453106,She can guess what our friend predicts that the movie star will be awarded an oscar<extra_id_0> ,for
28,1.5764941,She can guess what our friend predicts that the movie star will be awarded an oscar for<extra_id_0> ,her
29,4.605602,She can guess what our friend predicts that the movie star will be awarded an oscar for her<extra_id_0> ,hard
30,0.030027844,She can guess what our friend predicts that the movie star will be awarded an oscar for her hard<extra_id_0> ,work
31,4.3837094,The newspaper reported who the police know that the suspect killed the witness<extra_id_0> ,in
32,1.7764943,The newspaper reported who the police know that the suspect killed the witness in<extra_id_0> ,the
33,7.8895526,The newspaper reported who the police know that the suspect killed the witness in the<extra_id_0> ,middle
34,0.030120533,The newspaper reported who the police know that the suspect killed the witness in the middle<extra_id_0> ,of
35,0.30163762,The newspaper reported who the police know that the suspect killed the witness in the middle of<extra_id_0> ,the
36,0.6540334,The newspaper reported who the police know that the suspect killed the witness in the middle of the<extra_id_0> ,night
37,7.7064147,We recall who the old lady heard that the hot tea warmed the young girl<extra_id_0> ,after
38,3.0677893,We recall who the old lady heard that the hot tea warmed the young girl after<extra_id_0> ,the
39,10.721193,We recall who the old lady heard that the hot tea warmed the young girl after the<extra_id_0> ,shocking
40,1.6259835,We recall who the old lady heard that the hot tea warmed the young girl after the shocking<extra_id_0> ,incident
41,3.2806807,I remember what the doctor decided that the nurse should administer the new medicine<extra_id_0> ,to
