,surprisals,prefix,continuation
0,8.903732,I know that your tears signaled an indication<extra_id_0> ,last
1,1.3211449,I know that your tears signaled an indication last<extra_id_0> ,night
2,5.1154976,I remember that we all pitched in to buy the gift<extra_id_0> ,at
3,1.2491553,I remember that we all pitched in to buy the gift at<extra_id_0> ,the
4,5.080254,I remember that we all pitched in to buy the gift at the<extra_id_0> ,last
5,0.37865025,I remember that we all pitched in to buy the gift at the last<extra_id_0> ,minute
6,2.8154638,The newspaper reported that the critics reviewed the novel<extra_id_0> ,in
7,1.4480538,The newspaper reported that the critics reviewed the novel in<extra_id_0> ,the
8,4.2857265,The newspaper reported that the critics reviewed the novel in the<extra_id_0> ,press
9,8.539055,I know that the family bought the painting<extra_id_0> ,sometime
10,4.6831236,I know that the family bought the painting sometime<extra_id_0> ,last
11,0.33047068,I know that the family bought the painting sometime last<extra_id_0> ,year
12,9.12966,You remember that the spy sold the instructions<extra_id_0> ,much
13,3.2528684,You remember that the spy sold the instructions much<extra_id_0> ,to
14,5.3794174,You remember that the spy sold the instructions much to<extra_id_0> ,our
15,5.7584677,You remember that the spy sold the instructions much to our<extra_id_0> ,regret
16,7.2429085,She told me that he has had an allergy<extra_id_0> ,ever
17,0.024220193,She told me that he has had an allergy ever<extra_id_0> ,since
18,2.2061875,She told me that he has had an allergy ever since<extra_id_0> ,he
19,0.4796259,She told me that he has had an allergy ever since he<extra_id_0> ,was
20,4.8664804,She told me that he has had an allergy ever since he was<extra_id_0> ,young
21,6.7534857,She knows that the doorman accepted the delivery<extra_id_0> ,last
22,4.634811,She knows that the doorman accepted the delivery last<extra_id_0> ,Tuesday
23,3.265676,We all remember that the mailman lost the package<extra_id_0> ,in
24,0.86171204,We all remember that the mailman lost the package in<extra_id_0> ,the
25,8.842294,We all remember that the mailman lost the package in the<extra_id_0> ,holiday
26,4.0534363,We all remember that the mailman lost the package in the holiday<extra_id_0> ,rush
27,5.221394,My friend reported that we listened to the symphony<extra_id_0> ,yesterday
28,3.664537,My friend reported that we listened to the symphony yesterday<extra_id_0> ,night
29,4.7806644,I have an idea about that I saw the play<extra_id_0> ,last
30,0.97385263,I have an idea about that I saw the play last<extra_id_0> ,night
31,8.317989,She can guess that my friend wrote a forward<extra_id_0> ,over
32,1.5976532,She can guess that my friend wrote a forward over<extra_id_0> ,the
33,2.7097526,She can guess that my friend wrote a forward over the<extra_id_0> ,weekend
34,12.282473,The newspaper reported that she made the salad dressing from a mix<extra_id_0> ,every
35,2.5864341,The newspaper reported that she made the salad dressing from a mix every<extra_id_0> ,time
36,0.56638634,The newspaper reported that she made the salad dressing from a mix every time<extra_id_0> ,she
37,3.3014326,The newspaper reported that she made the salad dressing from a mix every time she<extra_id_0> ,cooked
38,10.599018,We recall that the blogger drafted a critique<extra_id_0> ,late
39,1.3032517,We recall that the blogger drafted a critique late<extra_id_0> ,in
40,0.39738512,We recall that the blogger drafted a critique late in<extra_id_0> ,the
41,3.4735386,We recall that the blogger drafted a critique late in the<extra_id_0> ,afternoon
42,5.888051,I remember that the politician wrote a diatribe<extra_id_0> ,yesterday
43,4.8466024,I remember that the politician wrote a diatribe yesterday<extra_id_0> ,night
44,6.72408,Our friend guessed that we saw a picture<extra_id_0> ,yesterday
45,6.242581,Our friend guessed that we saw a picture yesterday<extra_id_0> ,afternoon
46,8.121843,The mayor told me that the newspapers printed a photograph<extra_id_0> ,two
47,1.6838753,The mayor told me that the newspapers printed a photograph two<extra_id_0> ,days
48,1.2915565,The mayor told me that the newspapers printed a photograph two days<extra_id_0> ,after
49,1.1134281,The mayor told me that the newspapers printed a photograph two days after<extra_id_0> ,the
50,7.1593056,The mayor told me that the newspapers printed a photograph two days after the<extra_id_0> ,battle
51,7.5303707,My friend remembers that the monk penned a description<extra_id_0> ,over
52,1.8248605,My friend remembers that the monk penned a description over<extra_id_0> ,a
53,3.37199,My friend remembers that the monk penned a description over a<extra_id_0> ,year
54,0.37350398,My friend remembers that the monk penned a description over a year<extra_id_0> ,ago
55,7.7289157,The newspaper said that I picked out the present<extra_id_0> ,while
56,1.5386934,The newspaper said that I picked out the present while<extra_id_0> ,I
57,0.78266585,The newspaper said that I picked out the present while I<extra_id_0> ,was
58,3.7675557,The newspaper said that I picked out the present while I was<extra_id_0> ,on
59,1.4644989,The newspaper said that I picked out the present while I was on<extra_id_0> ,vacation
60,6.3812633,Our neighbor said that she won the argument<extra_id_0> ,yesterday
61,5.254845,My friend told me that he wrote a proposal<extra_id_0> ,last
62,6.220945,My friend told me that he wrote a proposal last<extra_id_0> ,evening
63,2.6863403,She can not believe that we attended a conference<extra_id_0> ,last
64,5.649488,She can not believe that we attended a conference last<extra_id_0> ,spring
65,8.745627,I know that your tears signaled<extra_id_0> ,last
66,1.2085888,I know that your tears signaled last<extra_id_0> ,night
67,7.4572825,I remember that we all pitched in to buy<extra_id_0> ,at
68,1.476197,I remember that we all pitched in to buy at<extra_id_0> ,the
69,5.056641,I remember that we all pitched in to buy at the<extra_id_0> ,last
70,1.2911576,I remember that we all pitched in to buy at the last<extra_id_0> ,minute
71,7.275324,The newspaper reported that the critics reviewed<extra_id_0> ,in
72,1.3395476,The newspaper reported that the critics reviewed in<extra_id_0> ,the
73,4.841817,The newspaper reported that the critics reviewed in the<extra_id_0> ,press
74,11.57286,I know that the family bought<extra_id_0> ,sometime
75,3.9715004,I know that the family bought sometime<extra_id_0> ,last
76,0.35386413,I know that the family bought sometime last<extra_id_0> ,year
77,8.426328,You remember that the spy sold<extra_id_0> ,much
78,4.786842,You remember that the spy sold much<extra_id_0> ,to
79,5.4512353,You remember that the spy sold much to<extra_id_0> ,our
80,8.064171,You remember that the spy sold much to our<extra_id_0> ,regret
81,10.17745,She told me that he has had<extra_id_0> ,ever
82,1.9061089,She told me that he has had ever<extra_id_0> ,since
83,2.674898,She told me that he has had ever since<extra_id_0> ,he
84,0.45535898,She told me that he has had ever since he<extra_id_0> ,was
85,4.8494844,She told me that he has had ever since he was<extra_id_0> ,young
86,9.183974,She knows that the doorman accepted<extra_id_0> ,last
87,5.539409,She knows that the doorman accepted last<extra_id_0> ,Tuesday
88,6.4640775,We all remember that the mailman lost<extra_id_0> ,in
89,1.4659716,We all remember that the mailman lost in<extra_id_0> ,the
90,9.16282,We all remember that the mailman lost in the<extra_id_0> ,holiday
91,4.781799,We all remember that the mailman lost in the holiday<extra_id_0> ,rush
92,8.136987,My friend reported that we listened to<extra_id_0> ,yesterday
93,3.6234539,My friend reported that we listened to yesterday<extra_id_0> ,night
94,4.074517,I have an idea about that I saw<extra_id_0> ,last
95,1.9866573,I have an idea about that I saw last<extra_id_0> ,night
96,7.4513946,She can guess that my friend wrote<extra_id_0> ,over
97,2.1619053,She can guess that my friend wrote over<extra_id_0> ,the
98,3.010705,She can guess that my friend wrote over the<extra_id_0> ,weekend
99,9.99065,The newspaper reported that she made the salad dressing from<extra_id_0> ,every
100,7.376982,The newspaper reported that she made the salad dressing from every<extra_id_0> ,time
101,1.1070006,The newspaper reported that she made the salad dressing from every time<extra_id_0> ,she
102,3.9119794,The newspaper reported that she made the salad dressing from every time she<extra_id_0> ,cooked
103,11.335859,We recall that the blogger drafted<extra_id_0> ,late
104,4.2500973,We recall that the blogger drafted late<extra_id_0> ,in
