,prefix,continuation,surprisals
0,I know that your tears signaled an indication of depression, last,12.37164306640625
1,I know that your tears signaled an indication of depression last, night,9.302102088928223
2,I remember that we all pitched in to buy the gift for Mary, at,14.708602905273438
3,I remember that we all pitched in to buy the gift for Mary at, the,3.297603130340576
4,I remember that we all pitched in to buy the gift for Mary at the, last,7.661077499389648
5,I remember that we all pitched in to buy the gift for Mary at the last, minute,10.928507804870605
6,The newspaper reported that the critics reviewed the novel by the famous author, in,6.3326005935668945
7,The newspaper reported that the critics reviewed the novel by the famous author in, the,3.073331832885742
8,The newspaper reported that the critics reviewed the novel by the famous author in the, press,10.692193031311035
9,I know that the family bought the painting by Monet, sometime,12.896724700927734
10,I know that the family bought the painting by Monet sometime, last,8.332138061523438
11,I know that the family bought the painting by Monet sometime last, year,8.254043579101562
12,You remember that the spy sold the instructions for the submarine, much,15.306891441345215
13,You remember that the spy sold the instructions for the submarine much, to,4.85623836517334
14,You remember that the spy sold the instructions for the submarine much to, our,7.971497535705566
15,You remember that the spy sold the instructions for the submarine much to our, regret,12.118191719055176
16,She told me that he has had an allergy to peanuts, ever,17.096393585205078
17,She told me that he has had an allergy to peanuts ever, since,8.95650577545166
18,She told me that he has had an allergy to peanuts ever since, he,6.5398406982421875
19,She told me that he has had an allergy to peanuts ever since he, was,4.99172830581665
20,She told me that he has had an allergy to peanuts ever since he was, young,8.43555736541748
21,She knows that the doorman accepted the delivery for Sarah, last,12.096680641174316
22,She knows that the doorman accepted the delivery for Sarah last, Tuesday,9.963099479675293
23,We all remember that the mailman lost the package for Robert, in,12.956686973571777
24,We all remember that the mailman lost the package for Robert in, the,3.3656373023986816
25,We all remember that the mailman lost the package for Robert in the, holiday,10.57985782623291
26,We all remember that the mailman lost the package for Robert in the holiday, rush,17.916427612304688
27,My friend reported that we listened to the symphony by Mozart, yesterday,9.863778114318848
28,My friend reported that we listened to the symphony by Mozart yesterday, night,9.065595626831055
29,I have an idea about that I saw the play by the amateur comedian, last,15.818316459655762
30,I have an idea about that I saw the play by the amateur comedian last, night,9.23205280303955
31,She can guess that my friend wrote a forward for the new manuscript, over,15.047816276550293
32,She can guess that my friend wrote a forward for the new manuscript over, the,3.3713366985321045
33,She can guess that my friend wrote a forward for the new manuscript over the, weekend,10.512391090393066
34,The newspaper reported that she made the salad dressing from a mix of oil and vinegar, every,16.199514389038086
35,The newspaper reported that she made the salad dressing from a mix of oil and vinegar every, time,8.461665153503418
36,The newspaper reported that she made the salad dressing from a mix of oil and vinegar every time, she,7.324620246887207
37,The newspaper reported that she made the salad dressing from a mix of oil and vinegar every time she, cooked,12.300251007080078
38,We recall that the blogger drafted a critique of the fossil fuel industry, late,13.429972648620605
39,We recall that the blogger drafted a critique of the fossil fuel industry late, in,6.016942024230957
40,We recall that the blogger drafted a critique of the fossil fuel industry late in, the,2.8586666584014893
41,We recall that the blogger drafted a critique of the fossil fuel industry late in the, afternoon,12.016636848449707
42,I remember that the politician wrote a diatribe against the mayor, yesterday,14.920356750488281
43,I remember that the politician wrote a diatribe against the mayor yesterday, night,9.659963607788086
44,Our friend guessed that we saw a picture of the convict, yesterday,14.72618579864502
45,Our friend guessed that we saw a picture of the convict yesterday, afternoon,11.627931594848633
46,The mayor told me that the newspapers printed a photograph of the general, two,7.4045186042785645
47,The mayor told me that the newspapers printed a photograph of the general two, days,8.90440559387207
48,The mayor told me that the newspapers printed a photograph of the general two days, after,8.891698837280273
49,The mayor told me that the newspapers printed a photograph of the general two days after, the,3.1602063179016113
50,The mayor told me that the newspapers printed a photograph of the general two days after the, battle,9.900765419006348
51,My friend remembers that the monk penned a description of abbey life, over,9.767646789550781
52,My friend remembers that the monk penned a description of abbey life over, a,3.937349319458008
53,My friend remembers that the monk penned a description of abbey life over a, year,8.34111499786377
54,My friend remembers that the monk penned a description of abbey life over a year, ago,11.231977462768555
55,The newspaper said that I picked out the present for Simon, while,11.838799476623535
56,The newspaper said that I picked out the present for Simon while, I,5.971994400024414
57,The newspaper said that I picked out the present for Simon while I, was,5.035510063171387
58,The newspaper said that I picked out the present for Simon while I was, on,5.676975250244141
59,The newspaper said that I picked out the present for Simon while I was on, vacation,11.027379989624023
60,Our neighbor said that she won the argument about childcare, yesterday,13.329392433166504
61,My friend told me that he wrote a proposal for the board, last,8.216340065002441
62,My friend told me that he wrote a proposal for the board last, evening,10.91894817352295
63,She can not believe that we attended a conference on cell evolution, last,16.087160110473633
64,She can not believe that we attended a conference on cell evolution last, spring,9.957107543945312
65,I know that your tears signaled an indication of, last,7.851160049438477
66,I know that your tears signaled an indication of last, night,9.321728706359863
67,I remember that we all pitched in to buy the gift for, at,6.315035343170166
68,I remember that we all pitched in to buy the gift for at, the,3.325678825378418
69,I remember that we all pitched in to buy the gift for at the, last,7.632023334503174
