,surprisals,prefix,continuation
0,8.430775,I know that an indication what depression caused us to recommend therapy<extra_id_0> ,last
1,4.402116,I know that an indication what depression caused us to recommend therapy last<extra_id_0> ,night
2,5.899799,I remember that the gift who Mary cost a lot of money<extra_id_0> ,at
3,1.1616331,I remember that the gift who Mary cost a lot of money at<extra_id_0> ,the
4,5.404519,I remember that the gift who Mary cost a lot of money at the<extra_id_0> ,last
5,3.5409048,I remember that the gift who Mary cost a lot of money at the last<extra_id_0> ,minute
6,2.6147852,The newspaper reported that the novel who the famous author received favorable reviews<extra_id_0> ,in
7,0.76044816,The newspaper reported that the novel who the famous author received favorable reviews in<extra_id_0> ,the
8,3.4726324,The newspaper reported that the novel who the famous author received favorable reviews in the<extra_id_0> ,press
9,9.3979225,I know that the painting who Monet fetched a high price at auction<extra_id_0> ,sometime
10,4.01041,I know that the painting who Monet fetched a high price at auction sometime<extra_id_0> ,last
11,0.5798782,I know that the painting who Monet fetched a high price at auction sometime last<extra_id_0> ,year
12,10.531804,You remember that the instructions what the submarine fell into the furnace<extra_id_0> ,much
13,4.27294,You remember that the instructions what the submarine fell into the furnace much<extra_id_0> ,to
14,4.340578,You remember that the instructions what the submarine fell into the furnace much to<extra_id_0> ,our
15,7.054339,You remember that the instructions what the submarine fell into the furnace much to our<extra_id_0> ,regret
16,8.521413,She told me that an allergy what peanuts causes him to avoid dining out<extra_id_0> ,ever
17,1.9058219,She told me that an allergy what peanuts causes him to avoid dining out ever<extra_id_0> ,since
18,2.1148741,She told me that an allergy what peanuts causes him to avoid dining out ever since<extra_id_0> ,he
19,1.5912243,She told me that an allergy what peanuts causes him to avoid dining out ever since he<extra_id_0> ,was
20,4.7273054,She told me that an allergy what peanuts causes him to avoid dining out ever since he was<extra_id_0> ,young
21,4.9413867,She knows that the delivery who Sarah arrived around noon<extra_id_0> ,last
22,3.299019,She knows that the delivery who Sarah arrived around noon last<extra_id_0> ,Tuesday
23,4.14545,We all remember that the package who Robert got lost in the mail<extra_id_0> ,in
24,1.678107,We all remember that the package who Robert got lost in the mail in<extra_id_0> ,the
25,8.32712,We all remember that the package who Robert got lost in the mail in the<extra_id_0> ,holiday
26,6.1959987,We all remember that the package who Robert got lost in the mail in the holiday<extra_id_0> ,rush
27,8.307964,My friend reported that the symphony who Mozart moved my mother to tears<extra_id_0> ,yesterday
28,3.7356398,My friend reported that the symphony who Mozart moved my mother to tears yesterday<extra_id_0> ,night
29,7.1210623,I have an idea about that the play who the amateur comedian upset me<extra_id_0> ,last
30,1.9541115,I have an idea about that the play who the amateur comedian upset me last<extra_id_0> ,night
31,8.099739,She can guess that a forward what the new manuscript claimed that Elvis is still alive<extra_id_0> ,over
32,2.171289,She can guess that a forward what the new manuscript claimed that Elvis is still alive over<extra_id_0> ,the
33,5.676803,She can guess that a forward what the new manuscript claimed that Elvis is still alive over the<extra_id_0> ,weekend
34,10.045744,The newspaper reported that a mix what oil and vinegar was used for the salad dressing<extra_id_0> ,every
35,3.3358061,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every<extra_id_0> ,time
36,4.6598783,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every time<extra_id_0> ,she
37,5.7344055,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every time she<extra_id_0> ,cooked
38,10.764393,We recall that a critique what the fossil fuel industry found support online<extra_id_0> ,late
39,3.3738494,We recall that a critique what the fossil fuel industry found support online late<extra_id_0> ,in
40,1.6468889,We recall that a critique what the fossil fuel industry found support online late in<extra_id_0> ,the
41,7.900423,We recall that a critique what the fossil fuel industry found support online late in the<extra_id_0> ,afternoon
42,5.755253,I remember that a diatribe who the mayor was published in the local newspaper<extra_id_0> ,yesterday
43,4.069744,I remember that a diatribe who the mayor was published in the local newspaper yesterday<extra_id_0> ,night
44,6.6138153,Our friend guessed that a picture who the convict appeared in the newspaper<extra_id_0> ,yesterday
45,6.3810577,Our friend guessed that a picture who the convict appeared in the newspaper yesterday<extra_id_0> ,afternoon
46,8.295049,The mayor told me that a photograph who the public was taken by the war correspondent<extra_id_0> ,two
47,2.432613,The mayor told me that a photograph who the public was taken by the war correspondent two<extra_id_0> ,days
48,2.0579772,The mayor told me that a photograph who the public was taken by the war correspondent two days<extra_id_0> ,after
49,0.73603505,The mayor told me that a photograph who the public was taken by the war correspondent two days after<extra_id_0> ,the
50,5.1007824,The mayor told me that a photograph who the public was taken by the war correspondent two days after the<extra_id_0> ,battle
51,8.019712,My friend remembers that a description what abbey life was disliked by the bishop<extra_id_0> ,over
52,2.261237,My friend remembers that a description what abbey life was disliked by the bishop over<extra_id_0> ,a
53,3.471963,My friend remembers that a description what abbey life was disliked by the bishop over a<extra_id_0> ,year
54,1.853438,My friend remembers that a description what abbey life was disliked by the bishop over a year<extra_id_0> ,ago
55,7.770319,The newspaper said that the present who Simon was imported from Italy<extra_id_0> ,while
56,5.0505314,The newspaper said that the present who Simon was imported from Italy while<extra_id_0> ,I
57,2.3122993,The newspaper said that the present who Simon was imported from Italy while I<extra_id_0> ,was
58,3.9999812,The newspaper said that the present who Simon was imported from Italy while I was<extra_id_0> ,on
59,1.5712003,The newspaper said that the present who Simon was imported from Italy while I was on<extra_id_0> ,vacation
60,7.9899096,Our neighbor said that the argument what childcare tore their marriage apart<extra_id_0> ,yesterday
61,8.323467,My friend told me that a proposal who the board suggested increasing employe benefits<extra_id_0> ,last
62,7.041754,My friend told me that a proposal who the board suggested increasing employe benefits last<extra_id_0> ,evening
63,7.622635,She can not believe that a conference what cell evolution took place downtown<extra_id_0> ,last
64,5.539469,She can not believe that a conference what cell evolution took place downtown last<extra_id_0> ,spring
65,7.9750476,I know that an indication what caused us to recommend therapy<extra_id_0> ,last
66,4.212203,I know that an indication what caused us to recommend therapy last<extra_id_0> ,night
67,5.708045,I remember that the gift who cost a lot of money<extra_id_0> ,at
68,1.1718732,I remember that the gift who cost a lot of money at<extra_id_0> ,the
69,4.897875,I remember that the gift who cost a lot of money at the<extra_id_0> ,last
70,3.4852138,I remember that the gift who cost a lot of money at the last<extra_id_0> ,minute
71,2.9089675,The newspaper reported that the novel who received favorable reviews<extra_id_0> ,in
72,0.9517018,The newspaper reported that the novel who received favorable reviews in<extra_id_0> ,the
73,4.533511,The newspaper reported that the novel who received favorable reviews in the<extra_id_0> ,press
74,10.259901,I know that the painting who fetched a high price at auction<extra_id_0> ,sometime
75,3.8721442,I know that the painting who fetched a high price at auction sometime<extra_id_0> ,last
76,0.7943734,I know that the painting who fetched a high price at auction sometime last<extra_id_0> ,year
77,10.751893,You remember that the instructions what fell into the furnace<extra_id_0> ,much
78,4.8298717,You remember that the instructions what fell into the furnace much<extra_id_0> ,to
79,4.7628145,You remember that the instructions what fell into the furnace much to<extra_id_0> ,our
80,8.088719,You remember that the instructions what fell into the furnace much to our<extra_id_0> ,regret
