,surprisals,prefix,continuation
0,10.15732,I know that an indication what depression caused us to recommend therapy<extra_id_0> ,last
1,3.771287,I know that an indication what depression caused us to recommend therapy last<extra_id_0> ,night
2,5.8782315,I remember that the gift who Mary cost a lot of money<extra_id_0> ,at
3,1.1978055,I remember that the gift who Mary cost a lot of money at<extra_id_0> ,the
4,6.895332,I remember that the gift who Mary cost a lot of money at the<extra_id_0> ,last
5,0.28552845,I remember that the gift who Mary cost a lot of money at the last<extra_id_0> ,minute
6,3.5352247,The newspaper reported that the novel who the famous author received favorable reviews<extra_id_0> ,in
7,1.0310323,The newspaper reported that the novel who the famous author received favorable reviews in<extra_id_0> ,the
8,2.4617324,The newspaper reported that the novel who the famous author received favorable reviews in the<extra_id_0> ,press
9,7.873021,I know that the painting who Monet fetched a high price at auction<extra_id_0> ,sometime
10,3.8481932,I know that the painting who Monet fetched a high price at auction sometime<extra_id_0> ,last
11,0.3160308,I know that the painting who Monet fetched a high price at auction sometime last<extra_id_0> ,year
12,11.058022,You remember that the instructions what the submarine fell into the furnace<extra_id_0> ,much
13,4.960619,You remember that the instructions what the submarine fell into the furnace much<extra_id_0> ,to
14,3.2138138,You remember that the instructions what the submarine fell into the furnace much to<extra_id_0> ,our
15,5.0681252,You remember that the instructions what the submarine fell into the furnace much to our<extra_id_0> ,regret
16,8.2411995,She told me that an allergy what peanuts causes him to avoid dining out<extra_id_0> ,ever
17,2.7952368,She told me that an allergy what peanuts causes him to avoid dining out ever<extra_id_0> ,since
18,3.3875546,She told me that an allergy what peanuts causes him to avoid dining out ever since<extra_id_0> ,he
19,0.49548668,She told me that an allergy what peanuts causes him to avoid dining out ever since he<extra_id_0> ,was
20,3.52353,She told me that an allergy what peanuts causes him to avoid dining out ever since he was<extra_id_0> ,young
21,5.6076355,She knows that the delivery who Sarah arrived around noon<extra_id_0> ,last
22,3.5962224,She knows that the delivery who Sarah arrived around noon last<extra_id_0> ,Tuesday
23,4.568581,We all remember that the package who Robert got lost in the mail<extra_id_0> ,in
24,2.0589926,We all remember that the package who Robert got lost in the mail in<extra_id_0> ,the
25,8.128132,We all remember that the package who Robert got lost in the mail in the<extra_id_0> ,holiday
26,4.975127,We all remember that the package who Robert got lost in the mail in the holiday<extra_id_0> ,rush
27,7.3583384,My friend reported that the symphony who Mozart moved my mother to tears<extra_id_0> ,yesterday
28,2.7753704,My friend reported that the symphony who Mozart moved my mother to tears yesterday<extra_id_0> ,night
29,6.4297824,I have an idea about that the play who the amateur comedian upset me<extra_id_0> ,last
30,0.98753095,I have an idea about that the play who the amateur comedian upset me last<extra_id_0> ,night
31,8.591116,She can guess that a forward what the new manuscript claimed that Elvis is still alive<extra_id_0> ,over
32,1.562375,She can guess that a forward what the new manuscript claimed that Elvis is still alive over<extra_id_0> ,the
33,3.40536,She can guess that a forward what the new manuscript claimed that Elvis is still alive over the<extra_id_0> ,weekend
34,11.024772,The newspaper reported that a mix what oil and vinegar was used for the salad dressing<extra_id_0> ,every
35,1.6893293,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every<extra_id_0> ,time
36,5.507653,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every time<extra_id_0> ,she
37,3.23472,The newspaper reported that a mix what oil and vinegar was used for the salad dressing every time she<extra_id_0> ,cooked
38,10.382403,We recall that a critique what the fossil fuel industry found support online<extra_id_0> ,late
39,2.9632142,We recall that a critique what the fossil fuel industry found support online late<extra_id_0> ,in
40,1.5136397,We recall that a critique what the fossil fuel industry found support online late in<extra_id_0> ,the
41,4.1912985,We recall that a critique what the fossil fuel industry found support online late in the<extra_id_0> ,afternoon
42,5.582555,I remember that a diatribe who the mayor was published in the local newspaper<extra_id_0> ,yesterday
43,4.028195,I remember that a diatribe who the mayor was published in the local newspaper yesterday<extra_id_0> ,night
44,5.9127927,Our friend guessed that a picture who the convict appeared in the newspaper<extra_id_0> ,yesterday
45,5.661114,Our friend guessed that a picture who the convict appeared in the newspaper yesterday<extra_id_0> ,afternoon
46,9.339811,The mayor told me that a photograph who the public was taken by the war correspondent<extra_id_0> ,two
47,1.5452763,The mayor told me that a photograph who the public was taken by the war correspondent two<extra_id_0> ,days
48,2.1726422,The mayor told me that a photograph who the public was taken by the war correspondent two days<extra_id_0> ,after
49,0.6102733,The mayor told me that a photograph who the public was taken by the war correspondent two days after<extra_id_0> ,the
50,4.3277464,The mayor told me that a photograph who the public was taken by the war correspondent two days after the<extra_id_0> ,battle
51,7.823333,My friend remembers that a description what abbey life was disliked by the bishop<extra_id_0> ,over
52,3.143067,My friend remembers that a description what abbey life was disliked by the bishop over<extra_id_0> ,a
53,2.4376714,My friend remembers that a description what abbey life was disliked by the bishop over a<extra_id_0> ,year
54,0.56522655,My friend remembers that a description what abbey life was disliked by the bishop over a year<extra_id_0> ,ago
55,10.382531,The newspaper said that the present who Simon was imported from Italy<extra_id_0> ,while
