,surprisals,prefix,continuation
0,10.892215,I know that our uncle grabbed the food in front of<extra_id_0> ,at
1,3.51436,I know that our uncle grabbed the food in front of at<extra_id_0> ,the
2,7.8446918,I know that our uncle grabbed the food in front of at the<extra_id_0> ,holiday
3,2.230509,I know that our uncle grabbed the food in front of at the holiday<extra_id_0> ,party
4,5.9890885,I know that our uncle grabbed the food in front of the guests<extra_id_0> ,at
5,0.8742748,I know that our uncle grabbed the food in front of the guests at<extra_id_0> ,the
6,6.963366,I know that our uncle grabbed the food in front of the guests at the<extra_id_0> ,holiday
7,1.6863552,I know that our uncle grabbed the food in front of the guests at the holiday<extra_id_0> ,party
8,9.157131,I know who our uncle grabbed the food in front of<extra_id_0> ,at
9,1.5887372,I know who our uncle grabbed the food in front of at<extra_id_0> ,the
10,7.3900685,I know who our uncle grabbed the food in front of at the<extra_id_0> ,holiday
11,2.0106564,I know who our uncle grabbed the food in front of at the holiday<extra_id_0> ,party
12,6.602805,I know who our uncle grabbed the food in front of the guests<extra_id_0> ,at
13,0.93808925,I know who our uncle grabbed the food in front of the guests at<extra_id_0> ,the
14,6.191692,I know who our uncle grabbed the food in front of the guests at the<extra_id_0> ,holiday
15,1.912353,I know who our uncle grabbed the food in front of the guests at the holiday<extra_id_0> ,party
16,11.84232,My neighbor told me that the dog caught the mouse in full view of<extra_id_0> ,yesterday
17,12.679381,My neighbor told me that the dog caught the mouse in full view of the neighbors<extra_id_0> ,yesterday
18,8.161369,My neighbor told me who the dog caught the mouse in full view of<extra_id_0> ,yesterday
19,11.64212,My neighbor told me who the dog caught the mouse in full view of the neighbors<extra_id_0> ,yesterday
20,9.298149,I know that the committee delivered the report report to<extra_id_0> ,by
21,2.394905,I know that the committee delivered the report report to by<extra_id_0> ,the
22,4.0978084,I know that the committee delivered the report report to by the<extra_id_0> ,deadline
23,7.8189335,I know that the committee delivered the report report to the president<extra_id_0> ,by
24,2.3478148,I know that the committee delivered the report report to the president by<extra_id_0> ,the
25,3.3796318,I know that the committee delivered the report report to the president by the<extra_id_0> ,deadline
26,7.516895,I know who the committee delivered the report report to<extra_id_0> ,by
